1	1	-7.789516	-1.636686	1.889584	7.245253	5.424311	2.323028	0.851233	0.750047	1.215319	6.552376	6.426850	2.795914	2.616314	0.215188
2	1	-9.206038	3.673423	5.671149	8.524946	8.578208	7.246005	0.445576	1.436474	-6.265623	4.521058	6.832913	4.647777	1.120725	-0.365375
3	1	-7.846635	2.126928	1.527834	0.464610	5.635098	6.357827	2.154254	6.465893	-5.930922	3.429584	4.364838	-2.272277	4.040245	5.504146
5	1	9.986721	9.433283	8.684147	4.082708	3.153136	4.808784	6.763675	7.503004	8.428918	-4.369600	3.765681	3.953734	6.138677	2.749548
7	1	-5.542613	-1.689328	1.265435	5.321214	5.069298	2.599958	1.250466	-3.913103	-1.619761	4.585224	7.159129	4.660849	5.053049	4.678072
8	1	-18.362975	0.682030	-2.764243	5.625660	8.801270	7.292512	-0.162676	-1.425806	-10.645913	8.182108	8.515096	3.511104	-0.409137	2.888409
11	1	8.281702	6.740006	8.477666	3.395661	1.461454	1.856913	8.094357	2.766874	6.956386	-1.269253	-2.169601	6.670535	-0.204142	6.244071
13	1	9.577769	5.721113	5.746745	2.879565	4.920018	5.924192	7.219142	7.942814	1.725461	1.305657	4.171770	6.624217	-0.262498	5.698730
16	1	9.338733	6.555858	7.481221	3.304836	1.433632	-3.299083	6.757592	8.898719	6.294910	-4.989110	-0.445318	6.160203	5.147584	6.593796
17	1	-11.078343	-1.296266	1.619395	6.939790	6.152074	4.580656	1.511924	3.331304	-2.696661	7.161819	7.834361	1.554346	7.106246	0.855909
18	1	-12.303832	0.801565	5.422121	9.749753	7.949304	8.520532	3.625458	1.558803	-7.300001	6.968033	7.392216	2.569191	6.560802	1.239396
20	1	7.698633	6.194591	6.626455	1.982655	-2.430045	2.921155	7.737267	7.879065	6.074689	-7.065587	-0.888684	7.353802	1.786657	6.459423
21	1	-7.948485	2.397186	0.492290	6.204576	5.605775	5.287442	4.807087	0.198105	-3.206720	4.118039	5.375184	-1.946039	8.231134	1.383495
22	1	4.573769	8.153388	6.815412	-2.031308	-4.052107	4.051996	7.125000	5.720041	4.232796	-1.254517	-0.023871	5.516664	3.227216	8.791252
24	1	11.906172	7.664113	6.542685	-0.948738	0.926517	2.871002	5.695872	7.518244	7.766006	-1.872679	1.741251	4.305994	6.406339	6.344625
28	1	-11.815587	-1.118925	-2.874737	6.187164	6.379203	3.930607	2.423932	1.639617	-5.431385	7.397146	4.894783	-0.613218	4.499512	2.075100
30	1	7.655771	6.215399	7.142495	-0.167764	4.579801	2.261432	6.754293	7.973738	4.610722	-7.250142	1.968140	6.496106	2.957623	6.219818
32	1	9.150066	5.975840	8.047775	-4.863077	5.362390	6.176122	8.762939	6.430013	1.198516	-2.005533	1.546730	6.515937	2.707672	8.199222
33	1	-11.196791	2.675840	4.610762	7.160499	8.862927	8.299192	1.803441	2.440988	-7.580001	2.149870	5.288387	2.982512	6.999142	3.324984
34	1	-5.630860	0.386710	0.923482	8.123767	6.378005	7.298453	1.791632	-1.918562	-15.736234	5.933146	9.320001	0.742012	6.331008	6.996884
36	1	8.079181	7.243965	5.790993	-0.899850	0.016267	0.884882	2.085813	6.374554	5.344381	-3.819978	2.027930	6.168537	5.503786	4.643064
39	1	10.765728	5.736286	8.538759	2.719531	1.530552	4.260534	7.176667	7.053725	5.652642	-2.756525	0.997304	7.923021	-2.235955	5.646974
40	1	7.308402	5.821606	5.683957	2.272305	2.238738	1.765172	5.634112	6.682714	4.237792	-9.711286	-0.903291	6.956562	0.061968	7.219493
41	1	-5.854119	-0.642746	5.603437	6.851641	5.977015	5.405672	-0.081748	-0.611400	-1.672294	5.962446	4.601626	1.118163	7.507614	0.907150
43	1	-6.374536	1.219902	0.602527	7.009927	7.175133	7.063806	1.414078	3.062240	-16.103165	7.756296	7.434536	-2.440192	6.780901	3.418814
48	1	9.730030	7.163213	7.385233	-0.005091	0.830985	-0.773249	9.160019	7.917904	5.826312	-2.298816	-0.384990	8.011223	0.483721	6.372917
50	1	-10.228078	2.725761	0.990001	4.588428	7.435742	5.492433	-0.350976	-2.487243	-7.162932	6.844956	3.527777	1.731520	6.397997	6.678632
52	1	8.485555	8.995676	4.713730	-1.085317	4.999235	2.258847	7.399890	7.604343	4.430273	-1.162316	0.152656	6.476774	-0.215233	7.025799
55	1	12.013760	7.020173	8.387940	0.587173	0.401492	3.256140	7.160976	6.778666	3.634577	-0.130604	-0.851185	6.281289	4.534575	4.647231
56	1	11.952807	5.864146	6.444267	0.054733	1.203534	0.447045	6.002515	6.766481	6.874590	-3.646301	2.907628	6.360990	4.079193	7.198690
57	1	-8.123293	0.829356	1.831391	6.126610	7.196420	6.734143	2.880756	4.019443	-4.667181	6.629427	8.510936	0.558838	4.612614	4.738170
58	1	-13.260220	2.098781	3.781168	5.920904	6.115578	8.074153	3.879438	0.410200	-7.663694	5.189130	6.796007	2.052892	8.106701	6.794840
61	1	4.114544	5.943663	6.041321	5.959250	5.911757	5.162462	7.419132	4.977192	0.855740	4.544510	5.835467	3.438742	6.444483	2.824540
63	1	8.647726	8.527779	5.099066	5.139749	4.164431	0.157250	3.507958	6.093473	-2.835782	2.365228	2.811901	4.905762	6.253096	3.657473
65	1	-9.964940	2.823479	-0.154163	3.631046	4.689166	3.848965	1.321859	-3.131359	1.894118	4.435281	5.615983	1.913501	5.972942	6.236381
66	1	-10.119614	-0.427740	-1.057300	2.439469	6.965349	8.700634	-0.713183	3.641972	-7.852113	4.029238	2.618451	0.280220	7.542112	8.416729
