4	2	6.909559	6.153011	6.129785	5.289025	5.623585	5.425670	5.645277	4.635558	-0.321156	5.629975	6.404721	6.721426	2.561209	5.833012	-1.040789	1.821704	-0.192024	5.291752	5.623590	5.425690	1.123491	-1.585720	-4.249822	5.667044	6.408486	5.986900	3.731495	5.831742
6	2	6.097704	6.308728	6.987590	-5.059956	1.153991	0.977154	7.217285	7.624038	7.173341	-7.175978	3.229799	6.964281	4.004826	7.025483	-1.831187	0.925528	1.876822	-0.994040	1.158643	0.977154	3.296084	2.787830	2.036152	3.073245	3.234191	4.115741	9.136339	7.025423
9	2	7.297673	6.655183	6.995935	0.997016	-1.355776	5.801941	6.785872	8.800946	5.903375	-0.637322	-1.377648	5.572855	5.553730	6.014225	-4.000029	0.730124	3.699222	7.446649	3.954624	5.842979	1.172213	3.414297	1.401795	9.302350	5.066392	-0.729335	6.548020	2.251937
10	2	-10.215015	1.160389	0.900563	3.824728	6.678422	8.691253	-1.822625	0.561511	-10.063140	7.732284	6.585662	-0.565343	5.859545	7.839567	6.330286	7.290496	6.721011	2.120230	1.740260	6.417852	4.515054	6.793092	2.163952	-2.013475	2.142439	5.543802	5.021608	8.769932
12	2	-5.031584	5.493133	7.417009	8.387089	7.103889	6.730091	1.166886	1.927193	-7.404853	6.737572	5.712159	1.398401	7.728938	-1.491416	4.233163	9.183845	7.607318	5.461771	4.020208	6.466957	6.716051	6.334640	-1.715648	-2.751442	5.021579	7.186071	1.156526	3.498542
14	2	-7.709866	-0.923497	2.619688	6.235877	6.054489	8.162331	1.060697	-0.760178	-12.528486	6.381479	4.307790	1.195757	4.277092	4.916846	6.031022	5.102450	8.380091	0.870741	1.984971	2.760321	7.361450	5.263059	6.469513	-3.739076	-2.298507	7.345227	-0.391275	7.370000
15	2	-7.188943	-2.279059	2.661573	8.899105	6.800537	2.490693	2.563205	1.223462	-8.515866	5.096420	7.094988	0.170893	3.682788	3.681905	5.904495	3.688351	6.011246	3.089373	1.677977	1.953151	5.663883	7.534354	5.792986	-5.213030	3.666128	6.086257	0.939052	7.430808
19	2	-5.828967	-0.442529	-0.183336	6.669974	5.371545	4.648861	-2.208698	1.191258	-3.186437	3.172483	6.459495	2.466728	6.621680	0.957536	7.473463	5.830881	5.674449	5.793301	5.208186	3.927783	4.111263	7.394750	3.072807	-8.515884	6.089270	8.103468	0.736370	1.112277
23	2	-7.161237	4.212077	7.565933	6.857578	5.016613	6.099782	0.505669	1.723131	-3.776231	3.662460	6.826101	0.879497	7.811214	5.159485	4.563020	6.025911	7.583335	3.705646	-0.704558	3.286018	5.442779	6.568174	3.495567	-1.885580	0.391768	7.401006	4.610930	6.487297
25	2	6.494241	5.332544	6.895648	0.350254	0.246275	-0.090382	5.620532	5.171385	5.569503	-4.570459	0.148225	6.446618	2.635212	6.002762	-0.628175	0.648410	4.087155	5.379058	1.693281	1.247638	3.727966	-1.336203	2.689255	3.580958	2.249191	2.683563	7.841949	5.599907
26	2	9.635739	6.540120	5.606403	0.752047	-5.745572	0.117072	3.935238	3.782053	6.636683	-7.012840	0.224867	7.765848	4.252790	7.653658	-3.682365	0.304431	1.393577	7.140027	0.776696	0.117072	-2.685151	0.607503	-3.360986	4.047500	6.782776	1.832434	6.965071	3.543550
