state_type,network_T_s,intra_module_T_s,raw_module_T_s,inter_module_sum_T_s,intra_module_sum_T_s,inter_module_T_s,impurity,density,intra_density,inter_density
dominant_module,0.9146,0.5549,0.5334,0.6146,0.7202,0.6312,-0.676,0.0339,-0.1563,0.1576
top30_module,0.9057,0.5573,0.5299,0.6028,0.7143,0.6282,-0.6698,0.0398,-0.1313,0.1311
top60_module,0.908,0.5526,0.4872,0.4536,0.7285,0.5249,-0.6202,0.1045,-0.0766,0.1516
dominant_network,0.9698,0.3698,0.2632,0.6053,0.543,0.4496,-0.7829,0.0221,-0.2727,0.3282
top30_network,0.961,0.3878,0.2796,0.5508,0.5784,0.3919,-0.7706,0.0515,-0.1651,0.2311
top60_network,0.8845,0.3587,0.2673,0.4315,0.4989,0.3342,-0.6448,0.2134,-0.0133,0.2929
PC1_var,0.5475,0.1077,0.1147,0.6951,0.1648,0.4824,-0.2948,0.4827,0.0855,0.5416
NumPC_90,-0.3396,-0.4721,-0.4737,-0.4807,-0.6493,-0.2303,0.0373,-0.3455,-0.1782,-0.2249
PCA_entropy,-0.5416,-0.393,-0.3603,-0.7467,-0.5563,-0.4409,0.2364,-0.3974,-0.2093,-0.2325
