state_type,network_T_s,intra_module_T_s,raw_module_T_s,inter_module_sum_T_s,intra_module_sum_T_s,inter_module_T_s,impurity,density,intra_density,inter_density
dominant_module,-0.326,-0.1993,-0.1364,-0.5924,0.0379,-0.355,0.1157,0.0664,0.102,-0.0968
top30_module,-0.5994,-0.342,-0.2572,-0.6672,-0.4156,-0.2908,0.2932,0.0997,0.17,-0.1268
top60_module,-0.1955,0.0146,0.0289,-0.0157,0.3007,-0.0918,0.3906,0.1166,0.4864,-0.312
dominant_network,0.5229,0.3672,0.2592,-0.2743,0.5086,-0.2092,-0.4554,-0.2086,-0.1642,-0.1156
top30_network,0.3297,0.2079,0.1003,-0.3256,0.2879,-0.2483,-0.3765,-0.325,-0.183,-0.2208
top60_network,0.3457,0.0735,-0.0469,0.0439,0.1018,0.0335,-0.1053,0.1879,0.3653,-0.1474
PC1_var,0.6893,0.2038,0.1479,0.6522,0.2822,0.4974,-0.4272,0.3908,0.0717,0.4625
NumPC_90,-0.0711,-0.2023,-0.2971,-0.2831,-0.2802,-0.2159,-0.0636,-0.5463,-0.1946,-0.5316
