,PC1,PC2
0,5.412298995243435,-2.4358596621796824
1,-3.7784547270634414,2.509002296231088
2,-1.9424666282258904,-3.9984910371347273
3,-1.5152554705165802,-3.5267316760541596
4,5.456847271404075,-1.6043056750283349
5,-3.2597617322965,2.804351443094788
6,3.8431001105848863,4.1069793605452505
7,4.116050414297921,2.61912486904871
8,-2.0503489115439795,-3.8648197342250885
9,5.317657760561839,-2.1319826211739756
10,-3.2814423204600645,0.8825624867618874
11,3.609861517904635,4.175292550055611
12,-3.8347569694669987,2.614921786759768
13,-3.1172260492172614,-3.792722859907131
14,-4.951416730560199,2.6657907269958043
15,2.0604651902446767,4.4776544488478685
16,3.8730280646413635,-1.908852834645142
17,2.231259864695145,4.469267344282269
18,4.116216692896896,-2.414127060598144
19,-2.5335471027317316,-3.8917324088880982
20,-4.472993109699378,2.993662118629568
21,5.753865197291199,-2.3539209259170635
22,4.021431639091679,4.323074903710477
23,-1.874827145451765,-3.574201920699082
24,-3.7669618186130585,3.1546937352919424
25,3.7173963288947136,4.76148334348485
26,5.518168728534954,-1.7057461287819982
27,5.282590389370854,-1.5842948129711378
28,-3.229007174494444,3.1885196166531653
29,3.481575474963238,4.742493586137236
30,-1.3808290183157776,-3.175921871610842
31,5.120238338632792,-1.7222741642219264
32,-1.7478221323517036,-2.996237022599886
33,3.430206940595459,4.511902933167189
34,-3.440854443649849,3.109170355668823
35,-4.51845782117898,2.714478479140006
36,-1.3608034258051482,-3.6749360115191236
37,-2.5992139048034772,-4.075662393660438
38,4.9833890540742205,-2.2181513853738215
39,-3.283063940826422,3.0801624520611846
40,3.0727358981989403,4.641185279403572
41,4.063592616575727,-2.5440500878039147
42,-4.70661052762172,2.3589620292630142
43,-2.8945659274846927,-4.271510317757402
44,2.346820067063991,3.6820213363061454
45,5.174872912436154,-2.6491711977031356
46,-1.8275510132539674,-4.535418401204793
47,-3.566961287637459,2.1703381275036358
48,-3.2396426253275323,-4.545737636575332
49,-5.050603568951361,1.7277069441897588
50,-4.612246485209889,2.487505776530786
51,-2.8191127666706692,-4.386355231270781
52,-2.5721429635141995,-4.036770952582298
53,-4.245324582045664,2.2420265208350467
54,4.6304420332410565,-2.2158456981262478
55,1.3504880445291136,-2.72870120720687
56,-0.3319284029861798,3.4532814179671085
57,4.773604452400177,-1.7394407694602096
58,-4.668489135502613,2.374853881864182
59,-2.930419401807294,-3.698195684343737
60,3.1113158143615096,4.142000581466439
61,-2.828447684288808,-3.922463974545182
62,-4.657845770889499,2.51701177679665
63,4.998072646028994,-1.802413244105943
64,3.2401362786704424,4.37005383299332
65,-2.5932123254241395,3.035187904705906
66,5.45662921438759,-2.1755282761786296
67,3.7305412902061885,4.316338281102396
68,-0.7769591368522223,-3.3339576950284173
69,4.973708696742186,-2.642174493946798
70,-2.2891578555324896,-3.9138063172294015
71,3.413832791975883,3.5162829715787924
72,-4.326896601458414,2.8359057453745065
73,-2.407276554278985,-4.023879222402119
74,5.227051906754542,-1.8921136501363534
75,3.3295086237551392,4.834210337826793
76,-3.843279635784866,3.029562510791254
77,4.732609576053253,-1.550249060108378
78,3.030095266302775,4.383994159616002
79,-2.566274864873727,-1.4178479784679279
80,-2.3138126804886348,-2.447180473429419
81,3.3306516791166056,-2.14131374550918
82,-2.935268691568605,-4.118580979610307
83,-4.759671512752605,2.676866184672312
84,1.5078637845266216,4.31596387279774
85,-1.0325886386308183,-2.3415895388250725
86,1.0021879727982004,3.9052710793640757
87,2.420790205453814,-1.3806233951005924
88,-2.455994569023055,2.8850465864904757
89,-4.485879759339675,2.952713168961565
90,-2.796804890011361,-2.882195550568683
91,4.95428667132528,-1.0227161821371715
92,3.273887576689069,4.76806381835229
93,4.121192842735808,-2.8749975305325157
94,-2.165260637293898,-4.36948538230361
95,2.2315948855703636,4.040719999727399
96,-4.110475142019935,2.7454430177416596
97,-3.0498769907787917,-4.385294551687839
98,-4.758358166813009,2.365229690718765
99,-4.221495464891373,2.7453217001693435
100,-2.596064287609689,-3.3847842251448195
101,2.8940443883539877,4.626361679755365
102,4.586300098834329,-1.807971960018207
103,5.608979306721339,-1.987664093681336
104,-2.0216504105440727,-3.5025918091571575
105,-3.7532518520572338,2.9109091366896522
106,-3.1714937239935703,-4.985187124363129
107,4.9887981040865865,-2.3598661536252976
108,-2.146670827025831,-4.029191152364201
109,3.3257850125621067,3.8320087262358795
110,-3.9351832459036062,2.4984489377821415
111,-2.8845867511162715,-4.2056820900558884
112,-4.702179463381076,2.314124922977955
113,4.266534991102523,-2.4559391460221933
114,2.5392315274501716,3.8362606122496623
115,-4.2679180252867575,2.8137301999712547
116,-2.315738958680091,-4.213133051713483
117,2.866495877861104,4.510410476819915
118,4.802864554430014,-2.417479510696348
119,-2.599601679483046,-3.8509280009283082
120,-4.444891709864372,2.3929817091835437
121,3.8312027378520463,-2.067390201849881
122,1.9972793288660693,4.304039965713692
123,3.944551036718459,-2.064536461500323
124,-2.9232121357553122,-3.959303818826184
125,-4.591087951602981,2.2762789818437152
126,2.2946102954900796,4.05273706332272
127,-4.919319801607081,2.2524853108604357
128,-3.0939795567963073,-3.4623224996444804
129,-4.71303591276445,2.6741556974606984
