l_max,network_name,modA,modB,T_network,T_modA_intra,T_modB_intra,T_AtoB,T_BtoA
4,Comb_AS_C,AS,C,0.5954560556313605,0.6510962995337995,0.12232142857142857,0.0,0.0
5,Comb_AS_C,AS,C,0.5854415493199028,0.6117713365539452,0.13076923076923075,0.0,0.0
6,Comb_AS_C,AS,C,0.6335701842306224,0.6611689814814815,0.14403292181069963,0.0,0.0
7,Comb_AS_C,AS,C,0.6848050646375387,0.7088293650793653,0.1587301587301587,0.0,0.0
8,Comb_AS_C,AS,C,0.7242044315578465,0.7452256944444445,0.1701388888888889,0.0,0.0
9,Comb_AS_C,AS,C,0.7548483836069745,0.7735339506172839,0.1790123456790123,0.0,0.0
10,Comb_AS_C,AS,C,0.7793635452462773,0.7961805555555554,0.18611111111111112,0.0,0.0
4,Comb_AS_E,AS,E,0.6517884036144578,0.6510962995337995,0.7958984375,0.4211309523809524,0.0
5,Comb_AS_E,AS,E,0.63481005446288,0.6117713365539452,0.8367187500000001,0.3965656565656566,0.0
6,Comb_AS_E,AS,E,0.6561334138801607,0.6611689814814815,0.8639322916666667,0.37921146953405016,0.0
7,Comb_AS_E,AS,E,0.6646141724971792,0.7088293650793653,0.8833705357142856,0.3834960965632473,0.0
8,Comb_AS_E,AS,E,0.6831327922783037,0.7452256944444445,0.89794921875,0.39668459864603484,0.0
9,Comb_AS_E,AS,E,0.7150420665682289,0.7735339506172839,0.9092881944444443,0.4537037037037036,0.0
10,Comb_AS_E,AS,E,0.7435378599114066,0.7961805555555554,0.9183593749999998,0.5083333333333332,0.0
4,Comb_AS_M,AS,M,0.5922065016945773,0.6510962995337995,0.36328125,0.38958333333333334,0.0
5,Comb_AS_M,AS,M,0.5749345355060105,0.6117713365539452,0.39374999999999993,0.4126600985221675,0.0
6,Comb_AS_M,AS,M,0.6023715680307041,0.6611689814814815,0.4609375,0.4232295482295483,0.0
7,Comb_AS_M,AS,M,0.6313963603874728,0.7088293650793652,0.5,0.371583850931677,0.0
8,Comb_AS_M,AS,M,0.6726644961328481,0.7452256944444445,0.5546875,0.4322916666666667,0.0
9,Comb_AS_M,AS,M,0.7090351076736425,0.7735339506172838,0.6041666666666667,0.49537037037037024,0.0
10,Comb_AS_M,AS,M,0.7381315969062784,0.7961805555555556,0.64375,0.5458333333333334,0.0
4,Comb_AS_PS,AS,PS,0.48908869784442555,0.6460620445424173,0.5015950155627975,0.37622205380826074,0.2820197462776505
5,Comb_AS_PS,AS,PS,0.44233574553010374,0.6021549931396635,0.4580049716355561,0.3291602302187665,0.2432230473392194
6,Comb_AS_PS,AS,PS,0.42951433772903813,0.6438941026346297,0.4122259922074233,0.32285091430700036,0.21691952511651735
7,Comb_AS_PS,AS,PS,0.40117636512888627,0.6798100820747217,0.368649425251229,0.27674012913719165,0.1932642226313992
8,Comb_AS_PS,AS,PS,0.38843977939700314,0.7008975018774555,0.32944415357224754,0.2748385912955539,0.17698054780704392
9,Comb_AS_PS,AS,PS,0.380306002114746,0.7102756502407368,0.2955401908998904,0.2804328155860565,0.16249071488031835
10,Comb_AS_PS,AS,PS,0.3707751854975065,0.7102850603710591,0.2667576021463593,0.2810244718829463,0.14879002146292897
4,Comb_AS_RS,AS,RS,0.5936751071095971,0.650855914918415,0.791232638888889,0.3823512108673251,0.4256845238095238
5,Comb_AS_RS,AS,RS,0.5466710535278547,0.6105971456183976,0.8329861111111112,0.2941923857900182,0.4630990783410139
6,Comb_AS_RS,AS,RS,0.565196604765488,0.6584397347755179,0.8606770833333334,0.2876170493054555,0.500609984984985
7,Comb_AS_RS,AS,RS,0.5971601228909991,0.7039607120482816,0.8799232075895493,0.31648117900613143,0.5347319962467745
8,Comb_AS_RS,AS,RS,0.6241684398726024,0.7376512244445448,0.893467011217433,0.3392241504027189,0.5669981060606061
9,Comb_AS_RS,AS,RS,0.6474861751193652,0.7626662027360196,0.9029186698409202,0.35464484867337603,0.6064735176690452
10,Comb_AS_RS,AS,RS,0.6687951918871067,0.7814861717352684,0.9093014604719599,0.36626119873263807,0.6457875907020407
4,Comb_C_M,C,M,0.5105473884469042,0.4853422619047619,0.5,0.42709525171624707,0.5949652777777779
5,Comb_C_M,C,M,0.5658870858688303,0.5446024904214559,0.5875,0.47124999999999995,0.6670833333333333
6,Comb_C_M,C,M,0.6275,0.6100925925925926,0.65625,0.5364583333333334,0.7225694444444446
7,Comb_C_M,C,M,0.6807142857142857,0.6657936507936508,0.7053571428571428,0.6026785714285714,0.7622023809523809
8,Comb_C_M,C,M,0.7206249999999998,0.7075694444444445,0.7421875,0.65234375,0.7919270833333334
9,Comb_C_M,C,M,0.7516666666666666,0.7400617283950621,0.7708333333333334,0.6909722222222223,0.8150462962962963
10,Comb_C_M,C,M,0.7765,0.7660555555555556,0.79375,0.7218749999999999,0.8335416666666667
4,Comb_C_PS,C,PS,0.46640735341831063,0.49568452380952377,0.5308362140689137,0.32806637806637806,0.0
5,Comb_C_PS,C,PS,0.4594982768946083,0.5309027777777777,0.49312898796415106,0.3672423470136108,0.0
6,Comb_C_PS,C,PS,0.45811990714143314,0.5854166666666667,0.4483530318994945,0.38226482098788106,0.0
