l_max,network_name,modA,modB,T_network,T_modA_intra,T_modB_intra,T_AtoB,T_BtoA
7,Comb_C_PS,C,PS,0.45486055671467057,0.6428571428571428,0.40338402800468554,0.39217983954715346,0.0
8,Comb_C_PS,C,PS,0.44355971403373756,0.6875,0.361890776757344,0.3827637522484125,0.0
9,Comb_C_PS,C,PS,0.4285252067261851,0.7222222222222224,0.325418795302551,0.361834008477433,0.0
10,Comb_C_PS,C,PS,0.4129012739394692,0.7500000000000001,0.294127425859316,0.33717219592686054,0.0
4,Comb_C_RS,C,RS,0.5905288183757598,0.49568452380952377,0.791232638888889,0.5298878205128205,0.0
5,Comb_C_RS,C,RS,0.6280898217636023,0.5309027777777777,0.8329861111111112,0.5876515151515153,0.0
6,Comb_C_RS,C,RS,0.6750844641469641,0.5854166666666667,0.8608217592592593,0.6472222222222223,0.0
7,Comb_C_RS,C,RS,0.7206892809571381,0.6428571428571428,0.880704365079365,0.6976190476190475,0.0
8,Comb_C_RS,C,RS,0.7556031208374958,0.6875,0.8956163194444444,0.7354166666666667,0.0
9,Comb_C_RS,C,RS,0.7827583296333298,0.7222222222222224,0.9072145061728396,0.764814814814815,0.0
10,Comb_C_RS,C,RS,0.8044824966699966,0.7500000000000001,0.9164930555555557,0.7883333333333334,0.0
4,Comb_E_AS,E,AS,0.6517884036144578,0.7958984375,0.6510962995337995,0.0,0.4211309523809524
5,Comb_E_AS,E,AS,0.63481005446288,0.8367187500000001,0.6117713365539452,0.0,0.3965656565656566
6,Comb_E_AS,E,AS,0.6561334138801607,0.8639322916666667,0.6611689814814815,0.0,0.37921146953405016
7,Comb_E_AS,E,AS,0.6646141724971792,0.8833705357142856,0.7088293650793653,0.0,0.3834960965632473
8,Comb_E_AS,E,AS,0.6831327922783037,0.89794921875,0.7452256944444445,0.0,0.39668459864603484
9,Comb_E_AS,E,AS,0.7150420665682289,0.9092881944444443,0.7735339506172839,0.0,0.4537037037037036
10,Comb_E_AS,E,AS,0.7435378599114066,0.9183593749999998,0.7961805555555554,0.0,0.5083333333333332
4,Comb_E_C,E,C,0.5543031905235569,0.7824435763888888,0.4697485902255639,0.3270089285714286,0.44270833333333337
5,Comb_E_C,E,C,0.538183467923809,0.7803199404761905,0.4990909090909091,0.33293679500576057,0.40867623604465714
6,Comb_E_C,E,C,0.5397801793023268,0.7683077948872786,0.5489583333333333,0.37032224532224534,0.380275974025974
7,Comb_E_C,E,C,0.5647680475041883,0.7953249007936506,0.6028571428571428,0.4255952380952381,0.38655154369440087
8,Comb_E_C,E,C,0.6095097282612598,0.8209092881944445,0.6525000000000001,0.49739583333333337,0.4392227564102564
9,Comb_E_C,E,C,0.6516606056870478,0.8408082561728394,0.6911111111111112,0.5532407407407408,0.499074074074074
10,Comb_E_C,E,C,0.6864945451183433,0.8567274305555553,0.722,0.5979166666666667,0.5491666666666668
4,Comb_E_M,E,M,0.5940506692428316,0.7958984375,0.3828125,0.41964285714285715,0.32916666666666666
5,Comb_E_M,E,M,0.6118705035971223,0.8367187500000001,0.44375000000000003,0.5,0.34930555555555554
6,Comb_E_M,E,M,0.6704282407407406,0.8639322916666667,0.5364583333333334,0.5833333333333333,0.4375
7,Comb_E_M,E,M,0.7175099206349206,0.8833705357142856,0.6026785714285714,0.6428571428571428,0.5178571428571428
8,Comb_E_M,E,M,0.7528211805555556,0.89794921875,0.65234375,0.6875,0.578125
9,Comb_E_M,E,M,0.7802854938271604,0.9092881944444443,0.6909722222222223,0.7222222222222223,0.625
10,Comb_E_M,E,M,0.8022569444444446,0.9183593749999998,0.721875,0.75,0.6625
4,Comb_E_PS,E,PS,0.641546254936068,0.7958984375,0.13718304849401902,0.0,0.16115952682869494
5,Comb_E_PS,E,PS,0.6424010756224354,0.8367187500000001,0.12862712316223465,0.0,0.16200133915144493
6,Comb_E_PS,E,PS,0.6388455412120493,0.8639322916666667,0.11764343567820743,0.0,0.15427119015810908
7,Comb_E_PS,E,PS,0.6344412380249248,0.8833705357142856,0.10624554961098619,0.0,0.1486416144617856
8,Comb_E_PS,E,PS,0.6294719732887876,0.89794921875,0.09556243336448908,0.0,0.14400553756469342
9,Comb_E_PS,E,PS,0.6233611643914867,0.9092881944444443,0.08607541251891593,0.0,0.1368369718345779
10,Comb_E_PS,E,PS,0.6168605690164178,0.9183593749999998,0.07787913488339902,0.0,0.12849961352432906
4,Comb_E_RS,E,RS,0.7045353286261152,0.7958984375,0.2002551020408163,0.0,0.19117965367965367
5,Comb_E_RS,E,RS,0.7248747068882042,0.83671875,0.21020408163265303,0.0,0.18366080540157273
6,Comb_E_RS,E,RS,0.7441811594254479,0.8639322916666667,0.2168367346938776,0.0,0.18405747954204021
7,Comb_E_RS,E,RS,0.7608874375602985,0.8833705357142855,0.22157434402332352,0.0,0.18497944762697593
8,Comb_E_RS,E,RS,0.7724519800313502,0.89794921875,0.22512755102040816,0.0,0.18350565055526816
9,Comb_E_RS,E,RS,0.7808513251655533,0.9092881944444443,0.22789115646258495,0.0,0.18104199231939427
10,Comb_E_RS,E,RS,0.7872760735234076,0.9183593749999999,0.23010204081632643,0.0,0.17870887791025453
4,Comb_M_PS,M,PS,0.5333040711942831,0.1125,0.5325446455094222,0.0,0.0
5,Comb_M_PS,M,PS,0.5089508183121079,0.126,0.49911125585015503,0.0,0.0
6,Comb_M_PS,M,PS,0.4759283617892959,0.14,0.4571829462022071,0.0,0.0
7,Comb_M_PS,M,PS,0.4408834196464331,0.15285714285714286,0.41342144905295053,0.0,0.0
8,Comb_M_PS,M,PS,0.4074477950246569,0.16375,0.3721526382894211,0.0,0.0
9,Comb_M_PS,M,PS,0.3776730258018801,0.1733333333333333,0.33536851036224397,0.0,0.0
10,Comb_M_PS,M,PS,0.3516625311964377,0.18100000000000002,0.30351751145954253,0.0,0.0
4,Comb_M_RS,M,RS,0.7411917892156863,0.1125,0.791232638888889,0.0,0.0
5,Comb_M_RS,M,RS,0.7826593137254902,0.126,0.8329861111111112,0.0,0.0
6,Comb_M_RS,M,RS,0.8139808006535948,0.14,0.8608217592592593,0.0,0.0
7,Comb_M_RS,M,RS,0.8384541316526611,0.15285714285714286,0.8807043650793651,0.0,0.0
8,Comb_M_RS,M,RS,0.8577282475490196,0.16375,0.8956163194444444,0.0,0.0
9,Comb_M_RS,M,RS,0.873536220043573,0.17333333333333337,0.9072145061728395,0.0,0.0
10,Comb_M_RS,M,RS,0.8861825980392158,0.18099999999999997,0.9164930555555556,0.0,0.0
4,Comb_PS_RS,PS,RS,0.49807153471058263,0.48931198868617265,0.7405556686278076,0.30814752061374334,0.49491318729701644
5,Comb_PS_RS,PS,RS,0.4833613921402994,0.4437046506191036,0.7358757386027343,0.2952673009418471,0.5191406390191572
6,Comb_PS_RS,PS,RS,0.45459452576214016,0.39850800158759747,0.7101988568534785,0.26869956617905666,0.5158104997940861
7,Comb_PS_RS,PS,RS,0.4223386406281956,0.356574264033058,0.6728734327526066,0.24521101138676937,0.4954320655280444
8,Comb_PS_RS,PS,RS,0.38925716690212364,0.3196980104363717,0.6303880531204955,0.22288096743638186,0.46675152538309894
9,Comb_PS_RS,PS,RS,0.3577883233019469,0.2880500609959571,0.5868984760714189,0.20279674672081463,0.4352781820005083
10,Comb_PS_RS,PS,RS,0.32901634942886665,0.2611880082838137,0.5448964561169155,0.1851460519234975,0.4041266643238586
