l_max,network_name,modA,modB,T_network,T_AS_intra,T_AS→C,T_C→AS,T_C_intra,T_AS→E,T_E→AS,T_E_intra,T_AS→M,T_M→AS,T_M_intra,T_AS→PS,T_PS→AS,T_PS_intra,T_AS→RS,T_RS→AS,T_RS_intra,T_C→M,T_M→C,T_C→PS,T_PS→C,T_C→RS,T_RS→C,T_E→C,T_C→E,T_E→M,T_M→E,T_E→PS,T_PS→E,T_E→RS,T_RS→E,T_M→PS,T_PS→M,T_M→RS,T_RS→M,T_PS→RS,T_RS→PS
8,Comb_AS_PS,AS,PS,0.23837401202619285,0.3483925163651805,,,,,,,,,,0.03457987342908136,0.12947208949454672,0.4287040036730058,,,,,,,,,,,,,,,,,,,,,,,
9,Comb_AS_PS,AS,PS,0.2362861962267901,0.34839321706654325,,,,,,,,,,0.034051224486248616,0.12947195568212744,0.4287033467631378,,,,,,,,,,,,,,,,,,,,,,,
10,Comb_AS_PS,AS,PS,0.23610690046336172,0.3483932751193195,,,,,,,,,,0.033988085033235665,0.1294719389429018,0.42870327882302506,,,,,,,,,,,,,,,,,,,,,,,
4,Comb_AS_RS,AS,RS,0.371990577652978,0.43831407413724466,,,,,,,,,,,,,0.21797337685299772,0.1340650406504065,0.5755420054200542,,,,,,,,,,,,,,,,,,,,
5,Comb_AS_RS,AS,RS,0.2881228549697964,0.3560307743466395,,,,,,,,,,,,,0.11184297654579964,0.11254529998657778,0.5776024811218986,,,,,,,,,,,,,,,,,,,,
6,Comb_AS_RS,AS,RS,0.2624096903077322,0.3490131929868421,,,,,,,,,,,,,0.08571342398229989,0.0985042352008803,0.5779432486751099,,,,,,,,,,,,,,,,,,,,
7,Comb_AS_RS,AS,RS,0.25490818323277165,0.3490857187816109,,,,,,,,,,,,,0.0833648280917704,0.09255026246980436,0.5779914538372869,,,,,,,,,,,,,,,,,,,,
8,Comb_AS_RS,AS,RS,0.2508827667524647,0.34909473134050073,,,,,,,,,,,,,0.08337059812368751,0.08909002774384335,0.5779973758387414,,,,,,,,,,,,,,,,,,,,
9,Comb_AS_RS,AS,RS,0.24896866019399386,0.34909571556146474,,,,,,,,,,,,,0.08337119619235488,0.08852571236079367,0.5779980182048874,,,,,,,,,,,,,,,,,,,,
10,Comb_AS_RS,AS,RS,0.24896875748759642,0.3490958120716697,,,,,,,,,,,,,0.08337125377282452,0.08852585847860509,0.5779980805512854,,,,,,,,,,,,,,,,,,,,
4,Comb_C_M,C,M,0.2878773485417315,,,,0.2790214866434378,,,,,,0.3243140243902439,,,,,,,0.17265376458112405,0.35975609756097565,,,,,,,,,,,,,,,,,,
5,Comb_C_M,C,M,0.2688247684410222,,,,0.26289964847673253,,,,,,0.3272906553398058,,,,,,,0.1618729773462783,0.3583131067961165,,,,,,,,,,,,,,,,,,
6,Comb_C_M,C,M,0.2646663073744724,,,,0.25958501751549445,,,,,,0.3278344785772028,,,,,,,0.15962004850444622,0.3588318512530315,,,,,,,,,,,,,,,,,,
7,Comb_C_M,C,M,0.2647512188863228,,,,0.25967051578137024,,,,,,0.32791209584295605,,,,,,,0.15971709006928406,0.3589058891454965,,,,,,,,,,,,,,,,,,
8,Comb_C_M,C,M,0.2647618314464925,,,,0.2596812016762653,,,,,,0.3279217967408091,,,,,,,0.15972921868910667,0.35891514267981117,,,,,,,,,,,,,,,,,,
9,Comb_C_M,C,M,0.2647630106009335,,,,0.2596823889788783,,,,,,0.32792287460106173,,,,,,,0.15973056629191856,0.358916170833801,,,,,,,,,,,,,,,,,,
10,Comb_C_M,C,M,0.2647631285161695,,,,0.2596825077089302,,,,,,0.32792298238689677,,,,,,,0.15973070105196202,0.3589162736490187,,,,,,,,,,,,,,,,,,
4,Comb_C_PS,C,PS,0.31485051911616535,,,,0.3107433217189315,,,,,,,,,0.43642233744884296,,,,,,0.07858705936180829,0.0,,,,,,,,,,,,,,,,
5,Comb_C_PS,C,PS,0.29136836104540703,,,,0.28428229503775626,,,,,,,,,0.4359139927787028,,,,,,0.07075407414658055,0.0,,,,,,,,,,,,,,,,
6,Comb_C_PS,C,PS,0.2816635488500302,,,,0.27730446645109125,,,,,,,,,0.435730957684157,,,,,,0.06376246044059927,0.0,,,,,,,,,,,,,,,,
7,Comb_C_PS,C,PS,0.2816806155664967,,,,0.2773864751732101,,,,,,,,,0.43569442837457734,,,,,,0.06380725345335474,0.0,,,,,,,,,,,,,,,,
8,Comb_C_PS,C,PS,0.2816817576994181,,,,0.2773969053564469,,,,,,,,,0.43568904648994217,,,,,,0.06381090588169303,0.0,,,,,,,,,,,,,,,,
9,Comb_C_PS,C,PS,0.28168179675304794,,,,0.2773980642471092,,,,,,,,,0.43568839324163267,,,,,,0.06381111531051348,0.0,,,,,,,,,,,,,,,,
10,Comb_C_PS,C,PS,0.28168179505518187,,,,0.277398180135971,,,,,,,,,0.43568832492712395,,,,,,0.06381112355466523,0.0,,,,,,,,,,,,,,,,
4,Comb_C_RS,C,RS,0.36006040988531285,,,,0.3107433217189315,,,,,,,,,,,,0.5755420054200541,,,,,0.22331665624348546,0.0,,,,,,,,,,,,,,
5,Comb_C_RS,C,RS,0.3390692453414452,,,,0.28428229503775626,,,,,,,,,,,,0.5776024811218986,,,,,0.2108593520152986,0.0,,,,,,,,,,,,,,
6,Comb_C_RS,C,RS,0.333468479517749,,,,0.27730446645109125,,,,,,,,,,,,0.577943950417677,,,,,0.20859438156831034,0.0,,,,,,,,,,,,,,
7,Comb_C_RS,C,RS,0.3335447901069292,,,,0.2773864751732101,,,,,,,,,,,,0.5779926866820632,,,,,0.20868576789838333,0.0,,,,,,,,,,,,,,
8,Comb_C_RS,C,RS,0.33355440970263217,,,,0.2773969053564469,,,,,,,,,,,,0.5779987779237212,,,,,0.20869718970569126,0.0,,,,,,,,,,,,,,
9,Comb_C_RS,C,RS,0.3335554785294574,,,,0.2773980642471092,,,,,,,,,,,,0.5779994547174956,,,,,0.20869845877503887,0.0,,,,,,,,,,,,,,
10,Comb_C_RS,C,RS,0.3335555854119511,,,,0.277398180135971,,,,,,,,,,,,0.5779995223967536,,,,,0.20869858568174973,0.0,,,,,,,,,,,,,,
4,Comb_E_AS,E,AS,0.4268004072037276,0.43833752629484324,,,,0.11759581881533102,0.0,0.5720274390243901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Comb_E_AS,E,AS,0.364047899765937,0.3560755094742273,,,,0.0736184662155536,0.0,0.5741049757281552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Comb_E_AS,E,AS,0.3403491749300993,0.3490649982035391,,,,0.048681215516952335,0.0,0.5744492724333063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Comb_E_AS,E,AS,0.31728702163884837,0.34913956248396205,,,,0.03564097992556153,0.0,0.5744984122401848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Comb_E_AS,E,AS,0.30505461682272034,0.34914895698516035,,,,0.029419154849352466,0.0,0.5745045539181017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Comb_E_AS,E,AS,0.3038132793812778,0.3491500008018861,,,,0.028452344915240645,0.0,0.5745052363158148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Comb_E_AS,E,AS,0.30381339103374166,0.3491501051833746,,,,0.028452500729315232,0.0,0.5745053045554658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Comb_E_C,E,C,0.3379958793134254,,,,0.28359771379668686,,,0.5566141598915988,,,,,,,,,,,,,,,,0.10111788617886178,0.16361788617886175,,,,,,,,,,,,
5,Comb_E_C,E,C,0.27240043501746647,,,,0.24958317572395247,,,0.5221083275543226,,,,,,,,,,,,,,,,0.07092229367924044,0.10052395441383688,,,,,,,,,,,,
6,Comb_E_C,E,C,0.23038837597627385,,,,0.235787186742118,,,0.4882733325132099,,,,,,,,,,,,,,,,0.05724524661468881,0.06235244267656353,,,,,,,,,,,,
7,Comb_E_C,E,C,0.21103302375601127,,,,0.23147806004618934,,,0.48408511354888395,,,,,,,,,,,,,,,,0.0512158391070054,0.04871972133656223,,,,,,,,,,,,
8,Comb_E_C,E,C,0.20719914527213162,,,,0.2314891528701953,,,0.48409256024980396,,,,,,,,,,,,,,,,0.05122953383082423,0.04593102634051813,,,,,,,,,,,,
9,Comb_E_C,E,C,0.2067736858511337,,,,0.23149038538642885,,,0.4840933876477476,,,,,,,,,,,,,,,,0.05123105544240052,0.045688810081311246,,,,,,,,,,,,
10,Comb_E_C,E,C,0.20677381306653425,,,,0.23149050863783482,,,0.484093470387396,,,,,,,,,,,,,,,,0.05123120760328972,0.04568896313105013,,,,,,,,,,,,
4,Comb_E_M,E,M,0.3776496183560625,,,,,,,0.5720274390243901,,,0.2709603658536585,,,,,,,,,,,,,,,0.16996951219512194,0.0959349593495935,,,,,,,,,,
5,Comb_E_M,E,M,0.34057341505436417,,,,,,,0.5741049757281552,,,0.2729824029126213,,,,,,,,,,,,,,,0.16717233009708735,0.07209074973031285,,,,,,,,,,
