3	3	-8.989043	-8.789188	-9.921173	-13.371784	-0.298722	6.304856	3.466013	3.314888	5.121787	-1.020306	4.182226	-5.747877	7.011255	-10.477707	6.213487	7.723315	3.077429	1.779791	-12.833450	3.894259	0.028180	-2.972285	-8.877535	-9.707711	-0.297619	0.553685	-1.626646	0.432718	5.121787	4.947374	6.826211	1.763482	0.546555	-1.972571	-0.003088	9.403242	3.073556	1.779791	-12.432536	5.285879	9.111232	6.347349	7.006915	1.324442	6.040289	-5.809755	-8.113767	-3.102428	0.309276	5.141160	6.995659	7.946437	-1.488030	6.977988	-0.042320	9.404420	3.073556	6.852763	7.017770	5.454187
4	3	-11.510184	-11.267136	-13.761278	-15.546044	0.592426	7.281750	4.980932	6.628332	6.207807	0.132093	1.702592	-9.825865	8.075156	-12.068656	7.534330	0.653264	5.263389	2.610790	-12.848850	2.324859	10.024812	5.846318	4.828933	4.308723	6.801109	-3.075005	-3.328293	-2.113487	1.059709	5.959206	7.018209	9.698104	1.742051	7.617905	0.995528	6.327982	-0.113357	7.466377	7.275363	5.857325	8.347149	5.682646	3.750487	-0.583306	6.801108	-3.075005	1.981863	2.768007	6.207789	5.959206	7.018209	8.356200	1.742051	7.616517	0.995528	6.327982	-0.113357	3.038463	3.026818	5.857325
15	3	-3.567597	6.639181	6.487639	1.873422	5.806543	6.613022	7.332832	6.594148	6.178248	6.932311	-2.363955	-13.539845	7.441601	-1.211879	6.114879	3.079850	4.542449	4.468241	1.319928	3.458705	4.533292	7.188588	8.520225	7.476405	5.806797	-0.455344	1.585921	2.563442	5.900943	8.272930	4.190715	-2.825266	0.096183	3.604350	0.222858	5.929865	3.721628	5.003324	4.118478	4.494196	-15.427110	-9.617016	-5.356064	-3.912167	0.052501	6.618902	7.373228	6.594375	6.487191	6.932192	-2.364611	-19.727860	7.445067	-13.243162	6.114922	0.722586	4.696113	0.754262	-14.225128	3.458646
31	3	-10.780107	-11.444418	-16.400167	-12.997137	0.465312	6.979310	6.652178	6.410570	5.912281	0.231281	2.022978	-13.310098	6.355428	-14.355932	4.658624	-1.941935	1.848698	-0.883572	-16.581168	1.775225	3.674406	-6.129298	-16.379623	-9.405493	0.471181	0.386234	1.951785	3.171757	5.912281	6.435568	5.621959	-0.526927	0.669210	-8.802964	2.696766	4.608320	1.801841	-0.883572	-16.581167	6.452965	11.117890	4.438431	2.164311	4.276039	6.358240	-5.820802	-1.472188	0.392316	3.130189	6.435569	5.666019	11.290389	0.614244	5.099524	2.678371	4.608320	1.801841	5.171455	0.691749	6.459975
32	3	4.877386	8.200978	5.026437	0.135646	7.410634	-2.452934	0.988568	4.139843	7.439272	6.801449	7.857613	2.335481	-9.251978	5.038453	0.065289	7.183991	3.574375	3.404414	2.045587	7.196867	-11.443147	-10.397333	-7.217574	-15.286162	0.986336	4.767384	4.666254	6.373090	7.439814	1.414611	2.666971	-13.147951	2.462067	-10.373025	4.617414	2.377375	6.331062	2.585372	-14.076859	1.104943	11.170512	8.265859	6.721703	4.309676	7.410634	-2.452934	-1.193145	-3.803478	1.239748	6.801449	7.864480	7.407936	-9.379537	5.137087	0.065289	7.183991	3.574375	7.373006	6.502828	7.196867
48	3	11.398573	3.792376	8.719239	6.703903	7.723047	-4.639486	-0.616236	-6.019551	0.141533	6.292549	6.598652	10.206233	-6.880697	3.725220	1.216524	6.528127	2.654414	6.059411	5.386692	6.872135	-0.937419	-8.521954	-9.033311	-10.316803	2.146113	0.493866	3.007898	0.784714	6.133048	4.246177	5.794824	1.905864	-5.572013	-8.365857	1.469223	2.662877	5.100665	0.093595	-15.172273	6.762507	-8.052758	-13.093356	-9.030121	-15.900493	2.146112	5.705045	6.053530	4.977648	6.133048	-0.173915	4.426387	-8.438297	1.971711	-19.847900	7.049143	0.622735	5.100675	0.093445	-15.172273	4.929617
51	3	10.300210	7.400640	8.587361	5.301678	7.552483	-4.725183	0.957643	-2.476870	3.987233	7.352351	4.017424	6.954236	0.873500	6.695373	0.861654	4.694808	5.194935	5.907048	4.177628	6.590163	-2.527494	-2.341584	-2.783632	-3.292875	1.678321	2.365005	4.131910	2.891908	4.608025	2.714149	1.231525	3.375942	6.697737	1.979812	5.869096	4.455948	5.575485	0.103607	-11.695721	6.588987	-8.609108	-6.858001	-9.087083	-10.635158	1.657616	6.775705	4.139677	2.907153	4.608027	0.768270	1.167257	-0.276753	6.938741	-11.716151	7.205288	-1.654871	6.383144	-0.422769	-18.286642	0.241816
52	3	-3.592388	-9.722351	-8.874977	-8.400037	0.638719	7.532344	-0.303993	-1.473032	3.727867	3.115766	0.478919	-2.797356	6.523759	-20.536629	4.505204	4.012301	6.647734	1.438354	-10.315818	0.772176	2.015373	5.569152	1.943773	0.209737	6.471659	3.839238	-0.430273	-6.013889	-2.563056	6.157062	3.385190	3.036200	1.402423	-2.697268	4.488895	7.118884	0.737001	7.730320	1.914130	1.396217	8.354465	6.737054	7.399282	5.753395	6.471678	-2.790956	-3.858649	-6.014507	-2.603463	6.157063	3.386553	9.649506	1.402277	3.256745	-0.391925	7.466815	0.642760	7.875522	7.091900	6.669815
53	3	-19.996205	-8.789483	-9.521474	-11.232326	2.635286	6.681594	6.699588	6.594658	6.820041	1.218496	7.105205	-12.464775	2.896032	-14.665865	4.178954	-0.303697	5.957331	1.962630	-9.837058	4.374207	8.115057	6.731153	6.761808	6.392795	8.165276	-1.734954	-1.512836	-2.782642	1.186780	7.008799	7.304740	10.962082	-3.709166	7.426601	-1.458010	5.354264	5.116287	7.103575	7.906234	6.482381	3.719319	1.138541	-1.278570	0.918175	7.474509	3.336891	2.932667	-0.845683	1.346566	7.008799	7.292729	4.581665	-3.707609	-4.409766	2.254417	5.353649	5.117530	6.975182	2.687257	5.716357
60	3	-0.687440	7.207371	4.767503	4.984138	7.930616	5.436347	2.016294	3.520596	1.677156	6.090761	7.600505	6.356770	4.770241	0.793623	4.535363	5.311961	6.606635	8.643818	2.922334	2.878868	-14.644522	-8.956595	-12.246602	-11.003052	2.000330	7.269100	7.352361	7.165065	6.087068	1.586208	5.327031	-5.570022	5.254400	-12.673073	4.540160	3.200281	6.800572	2.262280	-12.474340	2.629719	9.166164	7.359374	5.878174	5.687031	7.937127	-1.703054	-2.983432	0.443006	1.677156	6.107207	9.356385	10.239566	-0.402886	2.746257	0.663778	7.626251	4.121787	8.643818	2.940363	8.887726
