11	5	7.661889	-10.955465	-17.325286	-14.511502	6.443367	-7.070703	-14.885670	-4.553593	-11.382215	5.094958	-15.012395	2.219584	9.535958	-2.192380	-0.862219	-10.123138	2.620460	1.558354	-1.961346	7.661889	-10.955465	-17.300454	-14.315206	2.156435	-4.149270	-14.885570	-4.553593	-11.381791	2.802171	-15.012395	7.002001	9.535955	-2.192375	-6.117534	-11.902574	12.120491	4.779673	6.971522	7.661889	-10.955465	-17.325422	-14.511865	7.209417	-7.350828	-14.885010	-4.553593	-5.766669	9.415470	-15.012395	-10.172482	9.535958	-2.192380	5.227439	3.749572	-17.037477	-4.592756	-5.025068	7.661889	-10.955465	-14.011692	-8.310990	-3.968211	-1.830857	-14.825462	-4.553593	-7.398411	2.802171	-15.012395	7.002001	9.534465	3.575024	-6.117534	-11.902574	12.120491	4.779673	6.971522	-0.798609	7.772470	10.792106	2.848928	-6.733323	7.100189	4.187002	1.738659	4.382526	9.415470	2.075535	-10.172482	-7.382564	8.090717	5.227439	3.749573	-17.061755	-4.592756	-5.025068
15	5	-12.229416	7.544479	8.018892	6.954244	-19.752244	7.390995	4.623883	6.951868	5.418424	6.855908	6.332348	-5.727322	-11.880070	7.358749	6.039584	5.647009	-18.968316	-4.012462	-11.338602	-7.954586	7.544453	3.096646	6.814649	-20.700093	7.289785	2.108351	6.951868	-0.539822	4.628822	4.364982	4.024494	-11.859129	7.358749	0.073846	-0.665047	-5.873562	0.594841	-4.702604	5.896792	-7.876366	-21.385577	-11.418415	10.580531	-3.312387	-12.418326	0.025568	-6.756188	6.855908	-10.657997	-5.727340	10.333103	-4.749678	6.039584	5.647009	-18.968316	-4.012462	-11.338602	5.896792	-7.876366	-21.369520	-11.418415	9.605088	-3.312387	-12.418326	0.025568	-12.714430	4.628823	-10.816676	4.024494	10.333103	-4.749678	0.073847	-0.665047	-5.873562	0.594841	-4.702604	5.896792	-7.876366	-21.226086	-11.418415	7.106715	-3.312387	-12.418326	0.025568	-12.717214	1.268512	-10.816681	9.212595	10.333103	-4.749678	-6.488277	-6.456155	4.723667	6.846951	3.983122
23	5	-10.852486	8.223838	9.818763	8.865503	-10.135044	6.166502	9.675688	7.576520	7.458571	7.146357	2.188105	-12.659838	-14.760902	4.712720	5.830977	8.147883	-18.675741	-5.462265	-10.417326	-1.893356	2.532629	-2.865697	3.708095	1.877840	-4.182865	2.903213	7.561156	1.807781	7.146357	0.024212	-12.659838	-9.330294	-3.307812	5.830977	8.147883	-18.675741	-5.462265	-10.417326	5.864533	-6.924535	-16.384279	-4.626944	11.492699	-10.539783	-12.764768	-2.308056	-3.717286	7.146357	-16.565679	-12.659838	9.738615	-3.697029	5.830977	8.147883	-18.675741	-5.462265	-10.417326	-10.852486	8.223838	9.818755	8.865003	-15.507954	6.166502	8.814967	7.576520	1.794524	0.955857	1.026389	5.600039	-14.760902	2.350752	0.385388	-2.686728	7.877242	6.709649	7.498610	5.864533	-6.924534	-16.385974	-4.626944	6.119789	-10.538268	-13.604939	-2.308056	-9.381333	0.955857	-16.600508	5.600039	9.738615	-3.697028	0.385388	-2.686728	7.877242	6.709649	7.498610
26	5	5.167101	-12.681776	-16.372038	-9.016213	8.238977	-11.439426	-13.696787	-1.959469	-5.288714	5.987778	-9.495671	-11.290303	8.289993	-4.235337	5.729816	7.097783	-9.671327	-3.687519	-9.662765	5.166325	-12.678903	-10.938950	-2.855953	-4.492357	-5.218997	-14.166963	-1.958969	-6.184722	0.095718	-9.495672	5.702580	8.285565	-0.116955	-4.390039	-10.582422	10.790238	5.758245	7.159006	5.167083	-12.681939	-16.505182	-5.564985	2.086835	-11.439422	-15.064407	-1.959457	-11.807873	0.095718	-9.495672	5.702580	8.289890	-2.919820	-4.390039	-10.582422	10.790238	5.758245	7.159006	-10.716984	5.275717	12.344193	6.370089	-19.830883	5.997650	6.587457	6.702165	5.978118	5.987778	6.136170	-11.290303	-17.720762	6.362419	5.729816	7.097783	-9.671327	-3.687519	-9.662765	-9.937467	5.275717	6.317918	5.448039	-25.401643	5.997585	5.630842	6.702012	-0.571164	0.095718	1.351399	5.702580	-17.608703	3.119901	-4.390039	-10.582422	10.790238	5.758245	7.159006
29	5	7.798595	-3.807001	1.344464	-2.692017	-3.373658	4.252776	-7.720938	-3.184020	-0.163182	1.266686	-5.139650	6.812052	9.183510	1.505978	-5.714205	-13.498136	9.753575	7.576500	5.517522	7.821992	-12.140668	-10.432894	-8.712219	9.455545	-7.326196	-11.519130	-3.184026	1.304126	7.370418	-3.223700	-6.458912	9.259419	-4.878766	5.552036	5.893158	-20.181725	-0.337775	-9.525097	-7.987655	7.240206	9.883338	7.028852	-21.829152	7.839352	4.420858	7.075407	1.584260	1.266686	5.236099	6.812052	-14.783181	7.850979	-5.713653	-13.498136	9.753575	7.576500	5.517522	-7.987773	7.240214	9.964617	7.029212	-15.758967	7.839299	5.217567	7.075407	7.860564	7.370418	6.103747	-6.458912	-15.285508	7.850995	5.552036	5.893158	-20.181725	-0.337775	-9.525097	7.821992	-12.136738	-12.494568	-8.657295	3.385322	-5.132427	-13.394166	-3.184026	-4.972178	1.266686	-7.309831	6.812052	9.259913	-4.873028	-5.714172	-13.498136	9.753575	7.576500	5.517522
31	5	6.795835	-13.011551	-14.585465	-10.779074	2.085921	-2.121463	-16.144937	-1.850224	-9.127751	1.455213	-12.219525	7.340695	9.753054	-4.669770	-2.624014	-6.304882	9.529327	5.954875	7.157150	-11.382345	5.286605	12.010157	4.852899	-19.926707	7.490012	6.517729	5.799232	2.019906	1.455213	4.557038	7.340695	-17.653565	5.730980	-2.624014	-6.304882	9.529327	5.954875	7.157150	6.795835	-13.011309	-9.357439	-7.191190	-1.797769	-0.169961	-15.741893	-1.850224	-3.315119	1.455213	-12.219072	7.340695	9.753003	-2.130877	-2.624014	-6.304882	9.529327	5.954875	7.157150	6.795835	-13.011553	-14.102303	-12.712524	4.618743	-4.099014	-15.911892	-1.850224	-3.748883	7.320959	-12.219279	-7.157575	9.753053	-4.669782	5.641758	6.107942	-16.437101	-3.184087	-6.569375	-11.382364	5.286670	12.825947	4.854112	-17.401290	7.490054	6.737292	5.799232	7.399110	7.320959	5.365925	-7.157575	-17.769616	5.741191	5.641758	6.107942	-16.437101	-3.184087	-6.569375
32	5	-6.598928	7.777320	10.850461	6.004329	-21.729326	4.502281	7.824344	6.363636	7.074943	5.732446	6.863518	-9.402617	-15.763445	6.436885	6.692237	8.195395	-14.597605	-3.332742	-8.193103	-6.598725	7.777319	9.865879	6.004156	-26.782087	4.502281	6.524751	6.363635	1.866147	-0.453592	6.850796	7.401435	-15.763287	6.436885	-5.770821	-9.390330	9.128109	5.975034	7.354199	7.599848	-7.447058	-9.630743	-6.299177	-5.392563	-1.544027	-13.942101	-4.716403	-2.149150	-0.453592	-9.515705	7.401435	10.133593	1.080109	-5.770821	-9.390330	9.128109	5.975034	7.354199	7.599848	-7.447058	-12.124786	-12.134057	0.107164	-7.375567	-14.001593	-4.716403	-3.449153	-0.453592	-9.516215	7.401435	10.137580	-0.635898	-5.770821	-9.390330	9.128109	5.975034	7.354199	7.599848	-7.447058	-16.252511	-12.159214	5.163980	-7.980608	-14.001544	-4.716403	-2.174599	5.732446	-9.515757	-9.402617	10.137582	-0.658897	6.692237	8.195395	-14.597605	-3.332742	-8.193103
34	5	6.149975	-10.034636	-13.636603	-9.280631	10.913813	-10.801477	-16.795213	-2.194025	-6.761792	7.854129	-6.915518	-11.700324	8.512589	-1.652898	6.774774	6.284786	-16.042656	-1.792133	-8.844916	-6.254255	3.249115	5.054283	-0.142567	-8.693483	3.860676	-6.680836	5.711169	-0.443683	3.999912	1.371211	3.911259	-4.887051	5.372857	0.296797	-2.182045	5.435700	7.189972	8.576017	-7.858629	4.983531	9.680491	3.024981	-10.697890	6.731970	-0.659132	6.113398	5.940325	7.854129	6.301526	-11.700325	-7.235176	6.851916	6.774774	6.284786	-16.042656	-1.792134	-8.844918	-10.097057	4.983538	10.783404	5.932653	-11.656326	6.749233	4.458730	6.113399	5.940327	7.854129	8.009416	-11.700324	-12.829020	6.917980	6.774774	6.284786	-16.042656	-1.792134	-8.844918	6.149779	-10.034636	-13.794286	-8.986005	6.976169	-10.801629	-16.795197	-2.194025	-13.143629	3.999912	-7.226625	3.911259	8.512380	-1.665721	0.296797	-2.182045	5.435700	7.189972	8.576017
38	5	-7.299411	6.999527	9.586311	7.554977	-16.663243	7.439236	9.007694	6.735552	6.531536	4.436092	4.799625	-10.787866	-19.448455	5.325428	7.213833	9.389180	-15.169442	-4.212348	-7.583535	8.318596	-9.384805	-15.713190	-4.564733	9.223277	-4.056002	-11.848617	-5.260420	-4.509716	4.436092	-12.219728	-10.787866	4.669633	-4.593455	7.213833	9.389180	-15.066782	-4.212348	-7.583535	-7.153362	6.999514	8.855818	7.554700	-22.739030	7.439236	9.007394	6.735552	1.792008	-2.073962	4.678449	6.372586	-19.448430	5.323800	-1.226972	-5.903294	12.132510	5.514943	5.984890	8.318368	-9.071452	-16.039441	-2.809979	3.099108	-4.055997	-11.848620	-5.260420	-9.249242	-2.073962	-12.219728	6.372586	4.668208	-4.593404	-1.226972	-5.903294	12.132510	5.514943	5.984890	8.017255	-5.906731	-3.603487	0.052916	-5.697825	-1.519658	-11.846567	-5.260308	-4.674186	-2.073962	-12.219343	6.372586	4.609569	0.099152	-1.226972	-5.903294	12.132510	5.514943	5.984890
47	5	7.961837	-9.274609	-16.256600	-10.536424	5.920057	-11.270372	-17.495923	-4.119051	-6.846800	0.182451	-13.716974	5.427071	10.859636	1.143757	-6.910825	-12.648294	9.725819	5.479245	8.732165	-4.588908	5.668819	8.344036	8.092539	-19.581007	4.592994	4.759659	6.594129	1.915560	0.182451	3.489443	5.427071	-12.133517	7.158745	-6.910825	-12.648294	9.725819	5.479245	8.732165	7.961837	-9.274609	-16.615990	-10.536421	9.167656	-11.285586	-17.380335	-4.119051	-1.975864	4.971786	-13.714600	-9.287815	10.859635	1.143758	4.887755	4.434219	-11.969454	-1.601054	-5.811786	7.961837	-9.274609	-16.615990	-10.536421	9.167656	-11.285586	-17.380335	-4.119051	-1.975864	4.971786	-13.714600	-6.257442	10.859635	1.143758	4.887755	4.429917	-7.100944	2.748135	2.229821	-4.588909	5.668819	8.942031	8.109061	-16.426573	4.592994	5.087086	6.594129	6.792128	4.971786	3.594010	-9.287815	-12.373867	7.186776	4.887755	4.434219	-11.969454	-1.601060	-5.811804
