1	4	-4.610778	8.572962	7.447990	7.204776	-19.919564	5.533874	6.813147	4.445516	0.627456	2.406465	3.951954	6.633058	-19.706308	6.720266	-4.717408	-7.419338	9.495384	5.483028	6.722880	-4.610784	8.572987	8.193678	7.219216	-16.255424	5.533874	6.821426	4.445516	6.995440	6.588016	5.374618	-6.053631	-19.706308	6.829787	8.231748	8.471434	-15.446650	-7.105736	-11.510185	6.377785	-8.231085	-12.319185	-6.013698	9.187479	-10.999934	-8.692050	-6.032990	-1.621285	6.588016	-11.064019	-6.053631	9.795472	-4.937238	8.231748	8.471434	-15.061271	-7.105714	-11.510183	6.377785	-8.231085	-14.343663	-6.013698	5.523337	-10.999934	-14.556101	-6.032990	-7.989269	2.406465	-12.771156	6.633058	9.795472	-4.937239	-4.717408	-7.419338	9.495384	5.483028	6.722880
2	4	3.356686	-7.450884	-15.627670	-12.563822	10.140302	-12.769269	-13.909397	-2.211948	-5.236673	8.305838	-12.169733	-8.532120	8.131397	-8.207979	6.559741	6.455509	-14.402932	-4.440737	-4.819017	-11.139987	6.720656	9.100696	6.057280	-14.409439	5.033635	7.922462	6.901510	5.903094	8.305838	5.813383	-8.532120	-19.990656	4.442916	6.559741	6.455509	-14.402932	-4.440737	-4.819017	3.356687	-7.450853	-15.627679	-12.564777	7.714956	-12.768942	-13.914973	-2.211949	-9.566967	3.766093	-12.178961	5.650780	8.131397	-8.053626	1.329129	-10.114464	10.230650	7.867117	5.480333	-11.139040	6.720651	8.927221	6.053580	-16.774737	5.033635	7.922261	6.901510	1.457628	3.766093	4.852377	5.650780	-19.985257	4.443028	1.329129	-10.114464	10.230650	7.867117	5.480333
3	4	-13.349044	7.355383	10.307025	5.857013	-16.854050	6.255953	6.988353	7.741833	5.516399	8.145580	8.370817	-9.024909	-17.426313	6.256174	6.709181	6.898236	-15.126976	-1.938766	-9.957041	5.558177	-7.605645	-17.579044	-10.354290	4.681896	-11.086844	-17.307478	-4.574578	-11.941317	2.500759	-8.959462	7.546488	9.660283	-3.194395	-1.071051	-10.499132	8.198596	9.316765	7.071166	-13.349044	7.355383	10.155912	5.856434	-19.658296	6.255953	6.326901	7.741833	-0.431439	2.500759	8.342964	7.546488	-17.399467	6.255982	-1.071051	-10.499132	8.198596	9.316765	7.071166	5.558177	-7.605645	-17.579295	-11.149152	7.490146	-11.086844	-17.225960	-4.574578	-5.993479	8.145580	-8.957274	-9.024815	9.660283	-3.536453	6.709181	6.898236	-15.126976	-1.938763	-9.957041
5	4	6.866954	-7.537498	-15.976409	-6.064280	5.492864	-8.786206	-12.243524	-7.081789	-10.238400	1.652983	-13.297427	6.239768	8.545803	-4.171185	-5.378554	-3.671464	11.123161	5.203878	7.522762	6.866967	-7.537498	-16.605730	-6.064195	11.125645	-8.799278	-12.246491	-7.081789	-7.703586	8.159805	-13.297423	-5.894018	8.545816	-4.171185	5.256149	7.601630	-13.766672	-4.410829	-4.417912	-5.237153	5.261436	11.803815	9.877763	-14.062924	6.526442	8.405018	5.671100	4.455990	8.159805	5.206710	-5.894018	-13.874482	7.139918	5.256149	7.601630	-13.766672	-4.410829	-4.417914	-5.237153	5.261436	11.803995	9.877070	-19.695711	6.526442	8.381957	5.671100	1.921157	1.652983	5.149926	6.239768	-13.874484	7.139846	-5.378554	-3.671464	11.123161	5.203878	7.522762
6	4	4.288044	-7.321052	-11.920556	-12.679943	11.059416	-11.383845	-12.161308	-3.964454	-1.457701	6.754907	-11.036359	-11.594310	7.931473	-5.267752	9.777337	7.863692	-8.815373	-0.137270	-10.786287	-14.301276	6.118325	9.893018	5.533768	-15.151133	6.109861	7.270321	7.884189	7.132959	6.754907	7.899002	-11.594310	-18.207941	6.692067	9.777337	7.863692	-8.815373	-0.137270	-10.786287	4.288044	-7.321564	-13.603447	-12.679943	6.800989	-11.383845	-16.907724	-3.964454	-4.912845	1.282044	-11.056516	6.990186	7.931473	-5.267938	-0.213710	-8.171332	10.467787	9.426077	4.370635	-5.490504	3.977985	-0.791091	4.905010	-9.043266	0.124787	-2.233104	7.844208	7.109114	6.754907	2.807420	-11.594310	-7.950940	6.016661	9.777337	7.863692	-8.815373	-0.137270	-10.786287
7	4	3.354646	-7.966141	-23.793142	-10.144292	5.468036	-11.363721	-14.751038	-0.978872	-9.658513	-0.603866	-6.551613	7.294277	8.771268	-6.184438	-3.404183	-4.576552	10.453877	6.235626	8.292858	3.354733	-7.966157	-23.645000	-10.643249	9.286345	-11.363721	-14.724076	-0.978932	-4.768599	5.816488	-6.549657	-11.238573	8.771267	-6.184438	5.961673	6.641042	-10.989654	-6.234034	-5.782655	-8.193000	5.989641	4.970930	4.935387	-24.500719	3.905480	5.009899	5.793089	1.837556	-0.603866	8.160107	7.294277	-13.156747	4.825382	-3.404183	-4.576552	10.453877	6.235626	8.292858	-8.205893	5.989643	5.000665	4.935431	-20.691371	3.905562	5.110663	5.793102	6.727688	5.816488	8.229256	-11.238576	-13.239631	4.825382	5.961673	6.641042	-10.989654	-6.234036	-5.782866
8	4	7.524442	-4.258456	-18.843672	-9.180432	7.868868	-11.725097	-14.081140	1.501359	-10.341929	-0.011807	-10.967323	6.545762	11.487144	-5.992574	-1.587965	-9.526150	9.853342	7.558330	5.566658	7.524442	-4.258456	-18.843689	-9.180432	11.594032	-12.009531	-13.568796	1.501359	-5.857102	5.645796	-10.967323	-7.577522	11.487144	-5.992575	6.396607	5.370340	-12.621101	-2.968693	-10.236575	-5.861960	8.961075	9.150702	8.602057	-21.315647	6.710967	4.835096	5.288180	1.669091	-0.011807	6.365466	6.545762	-18.277820	3.533684	-1.587965	-9.526150	9.853342	7.558330	5.566658	-5.861967	8.961075	9.231631	8.602360	-17.588763	6.710959	5.483032	5.288180	6.153917	5.645796	6.479259	-7.577522	-18.278510	3.533684	6.396607	5.370340	-12.621098	-2.968693	-10.236575
9	4	-8.111645	7.450226	9.288180	7.291463	-17.964473	6.808856	8.733038	6.675245	2.623627	6.654538	5.845821	-10.858253	-19.074403	6.814758	8.082309	6.479295	-17.107075	-6.439335	-14.341229	6.528236	-7.799909	-19.417294	-6.670122	9.421873	-11.530281	-10.184057	-1.962777	-5.467124	6.654538	-10.711866	-10.858253	7.288414	-5.247198	8.082309	6.479295	-17.107075	-6.439335	-14.341229	6.528236	-7.799876	-19.417311	-6.670119	2.936270	-11.070215	-13.158208	-1.962775	-10.138992	0.830569	-10.726556	6.717832	7.288414	-5.247190	-1.303168	-8.634403	8.286831	5.425931	3.896958	-6.137587	6.987002	3.002240	7.144424	-20.312978	6.778057	8.297313	6.663179	-2.048290	0.830569	3.751142	6.717832	-18.748548	6.814077	-1.303168	-8.634403	8.286831	5.425931	3.896958
13	4	6.423321	-10.360949	-21.552478	-12.209382	7.085168	-13.345508	-10.466271	0.428321	-4.015719	7.610929	-7.864267	-10.018597	10.390145	-5.022692	6.152169	6.999345	-19.919630	-6.754674	-6.923337	6.423321	-10.360949	-19.945548	-12.327606	2.067751	-13.339106	-11.798025	0.428321	-9.060985	1.116733	-8.746813	6.993163	10.390145	-4.855718	-5.291286	-8.665067	9.598355	4.970274	7.839293	-9.461020	5.803980	9.324110	6.053675	-15.859944	4.116080	7.011584	6.507925	3.739624	7.610929	6.330777	-10.018597	-9.916796	6.692615	6.152169	6.999345	-19.919633	-6.754674	-6.923351	-6.137548	5.697027	2.868983	5.977647	-17.789641	3.609487	4.420666	6.503000	-1.305925	1.116733	4.196099	6.993163	-4.990350	6.692357	-5.291286	-8.665067	9.598355	4.970274	7.839293
14	4	6.319995	-14.908793	-14.749224	-8.825816	6.283188	-6.825170	-14.839281	-2.062585	-14.183638	1.916904	-10.884426	5.597275	10.690553	-3.663116	-4.310775	-8.850743	10.445522	6.196258	6.038191	6.319995	-14.908793	-15.192003	-8.830786	9.470593	-7.156543	-14.839407	-2.062586	-7.588191	8.073430	-10.884426	-7.227236	10.690553	-4.627020	7.904114	5.460291	-13.098809	-5.935624	-10.057410	-8.831356	3.923664	11.033088	3.693257	-15.533364	7.744463	6.482141	9.189365	1.099759	8.073430	-0.264483	-7.227236	-10.704481	2.876230	7.904114	5.460291	-13.098809	-5.935624	-10.057410	-3.143687	2.891535	7.620185	1.940751	-14.588384	7.697024	-0.507132	9.189350	-5.515709	1.916904	-3.486089	5.597275	-1.877042	1.811242	-4.310775	-8.850743	10.445522	6.196258	6.038191
19	4	3.966798	-10.949048	-11.450390	-10.580124	12.590311	-9.168844	-6.955033	-2.947345	0.485402	5.638992	-8.718028	-13.160654	8.130223	0.009021	6.908918	6.959988	-15.422746	-5.916282	-12.727218	-9.685740	4.728362	9.460793	5.558267	-13.957955	4.594146	7.599431	8.428198	7.261483	5.638992	3.159865	-13.160654	-15.571225	5.274996	6.908918	6.959988	-15.422746	-5.916282	-12.727218	3.966949	-10.949048	-14.192585	-10.581841	6.900423	-9.168844	-12.808681	-2.947499	-4.632319	0.121073	-11.818373	5.373954	8.130237	0.009787	-2.908059	-7.299935	10.311373	5.823059	5.353751	-9.646518	4.728361	9.203259	5.558076	-19.645627	4.594146	7.598979	8.428198	2.112822	0.121073	2.404283	5.373954	-15.571187	3.665441	-2.908059	-7.299935	10.311373	5.823059	5.353751
20	4	-4.410104	6.630639	9.849720	7.715116	-16.699243	7.497770	6.798779	5.802230	1.628607	0.284414	7.222864	7.530126	-15.387661	6.558127	-4.938108	-13.923174	9.726889	8.299394	4.781253	7.124528	-12.122920	-17.687945	-4.634045	5.296945	-7.907434	-10.946793	-4.806256	-7.871352	0.284414	-8.567823	7.530126	9.691951	-5.212644	-4.938108	-13.923174	9.726889	8.299394	4.781253	7.124530	-12.192903	-17.394117	-5.591257	10.715120	-8.891634	-10.946409	-4.806256	-2.814174	6.381022	-8.477145	-8.306984	9.692605	-5.212644	5.600701	4.683997	-14.409480	-3.767012	-13.211723	-4.410104	6.630639	10.516815	7.713832	-11.281070	7.496755	6.799954	5.802230	6.694346	6.381022	8.358380	-8.306984	-15.387649	6.558127	5.600701	4.683997	-14.409480	-3.767012	-13.211723
21	4	-9.374941	5.506427	9.406063	6.322492	-21.667296	6.022044	5.460910	5.625086	0.720871	0.018084	8.953418	7.768442	-8.910814	7.542172	-5.348810	-8.533893	10.433337	6.335288	7.727993	4.486744	-8.172197	-17.304270	-10.266109	4.777095	-8.949376	-14.441286	-3.982319	-11.720369	0.018084	-5.926562	7.768442	12.272352	-1.936174	-5.348810	-8.533893	10.433337	6.335288	7.727993	-9.374941	5.506427	10.574964	6.322492	-20.399612	6.022044	8.462027	5.625086	4.902838	4.772847	9.088318	-7.044313	-8.910826	7.542172	6.140134	6.901236	-10.499291	-3.582960	-7.398962	4.486744	-8.172197	-17.255500	-10.266120	6.044779	-8.949417	-14.452271	-3.982319	-7.538405	4.772847	-5.195506	-7.044313	12.272352	-1.936171	6.140134	6.901236	-10.499291	-3.582960	-7.398962
22	4	5.545819	-7.872666	-13.749194	-11.566025	10.011517	-7.972923	-14.100699	-3.072495	-4.648775	6.638829	-9.873212	-6.919513	7.005156	-3.339373	4.758888	7.088066	-20.241622	-2.023803	-11.596409	-11.003925	6.744869	9.024378	6.753412	-14.056234	5.370583	6.752576	5.406199	5.628065	6.638829	6.817964	-6.919513	-11.722737	6.615451	4.758888	7.088066	-20.241622	-2.023803	-11.596409	5.545819	-7.872666	-13.806978	-11.565910	4.939846	-7.972911	-14.930950	-3.072495	-9.684149	0.110689	-9.873213	6.495286	7.005156	-3.131830	-1.364672	-5.901103	6.351982	3.619342	0.802290	-10.990947	6.744869	7.786124	6.727517	-19.088240	5.370460	5.547469	5.406199	0.592691	0.110689	6.763299	6.495286	-11.718377	6.615842	-1.364672	-5.901103	6.351982	3.619342	0.802290
25	4	5.488734	-7.801488	-21.728217	-10.662799	6.390240	-12.015020	-18.951922	-3.571493	-7.909775	2.394919	-12.482754	7.005892	8.460500	-8.780433	-1.742163	-9.302373	7.021411	7.513159	7.242940	5.488734	-7.801489	-21.769851	-10.663094	11.255610	-12.015022	-17.340806	-3.571494	-3.498911	7.832536	-10.833674	-9.745044	8.460500	-8.780433	9.259203	4.804515	-21.050136	-4.242298	-8.818198	-13.165681	6.381637	5.252601	5.192215	-18.640721	6.570968	4.013177	7.524675	0.734108	2.394919	4.109454	7.005892	-16.021614	4.357058	-1.742181	-9.302373	7.021411	7.513159	7.242940	-13.165686	6.391270	8.993801	5.196096	-13.780442	6.570969	4.791021	7.524680	5.145524	7.832536	5.211390	-9.745044	-16.051218	4.357524	9.259203	4.804515	-21.050136	-4.242298	-8.818198
