4	2	6.940709	-10.235590	-14.365499	-11.323012	3.535697	-9.784335	-12.143909	-1.311668	-7.325126	1.530979	-10.199586	8.150489	11.941587	-5.995005	-3.625008	-13.091706	11.025778	8.090937	7.105939	-10.638266	7.006921	9.425940	6.518830	-20.354918	7.534782	5.200367	8.543213	2.311965	1.530979	4.465031	8.150489	-16.966843	4.756785	-3.625008	-13.091706	11.025778	8.090937	7.105939
10	2	7.763702	-8.018527	-19.856213	-10.437127	10.032837	-9.512555	-13.513783	-3.670166	-7.708519	6.590041	-7.492357	-6.574453	9.643281	-3.373433	5.875670	8.587632	-17.806255	-4.390190	-13.658213	-5.224344	6.658375	8.481174	8.271379	-11.174716	4.249787	6.615980	8.747983	4.897230	6.590041	7.660190	-6.574453	-18.877241	8.529496	5.875670	8.587632	-17.802836	-4.390190	-13.658213
17	2	7.053696	-9.456798	-17.875041	-6.275376	9.006614	-12.755248	-19.067920	-4.932301	-7.279772	5.724818	-12.103803	-12.932577	13.142396	-4.314209	5.087755	9.453253	-16.077842	-6.491118	-11.554648	-6.619821	6.932405	9.291964	8.502953	-19.204121	6.540659	1.861935	7.693716	4.650018	5.724818	4.544920	-12.932577	-9.370806	5.709002	5.087755	9.453253	-16.077842	-6.491118	-11.554648
18	2	5.128653	-10.749761	-9.821848	-12.135677	8.183044	-11.148677	-8.075341	-1.463340	-2.564225	6.638414	-6.335871	-15.547991	9.097103	-6.242509	6.853599	7.274921	-12.044471	-0.766968	-11.448159	-8.166109	7.583583	11.704457	3.478393	-13.832686	4.672335	9.395368	6.536945	7.295233	6.638414	5.512045	-15.547991	-16.189898	5.368337	6.853599	7.274921	-12.044469	-0.766968	-11.448159
37	2	6.959048	-15.028091	-15.936963	-4.173374	9.836216	-10.684316	-14.761543	-8.359754	-6.235303	7.542440	-11.696047	-9.856934	6.917045	0.329049	6.786503	8.714006	-12.406094	-4.254549	-17.285173	-8.883619	3.255583	9.316660	8.862471	-12.569308	4.677135	8.201412	4.199649	3.573430	7.542440	4.711879	-9.856934	-19.943388	6.648685	6.786503	8.714006	-12.406094	-4.254549	-17.285173
41	2	6.273843	-14.070357	-14.510790	-7.074982	9.695343	-7.807307	-14.041157	-6.426341	-9.866217	1.773522	-11.252846	7.527958	6.788940	-7.927176	-3.673077	-7.169434	9.443138	8.350819	7.300478	6.273843	-14.070087	-14.031547	-7.074982	10.544474	-7.807307	-14.039720	-6.426341	-5.415939	7.329502	-11.247745	-7.527053	6.788940	-7.927176	7.275732	7.437858	-14.669995	-1.014996	-6.095914
46	2	6.305447	-10.231119	-20.926299	-12.071934	9.052897	-7.495557	-10.258088	-4.709177	-3.519079	5.876223	-8.889217	-6.108998	9.447768	-4.671841	4.145943	5.573672	-12.571252	-3.377301	-10.646000	-6.894912	6.756324	8.577390	6.699619	-15.583603	7.829428	7.092873	5.263615	7.620239	5.876223	6.485094	-6.108998	-9.879059	4.899108	4.145943	5.573672	-12.571252	-3.377301	-10.646000
67	2	5.829118	-8.322977	-17.059440	-7.689104	6.831841	-10.228381	-13.853495	-5.916593	-8.289890	5.732893	-11.409855	-5.746729	6.618088	-5.835607	5.914946	7.337274	-19.781128	-7.169153	-12.938575	-6.946750	7.359767	10.130813	7.466085	-15.709039	6.208582	5.699492	5.777291	3.272545	5.732893	6.033925	-5.746719	-14.681781	6.543610	5.914946	7.337274	-19.781128	-7.169153	-12.938575
72	2	6.741492	-11.120843	-7.982797	-12.215903	7.187990	-2.323211	-5.226178	-7.745729	-1.034126	5.708729	-4.358649	-14.063342	9.983812	-4.820066	7.066333	8.055076	-15.370991	-6.018242	-9.884310	-4.936679	6.825568	11.240477	3.571676	-17.580950	8.420828	6.408383	3.486105	6.541958	5.708729	5.982103	-14.063342	-13.711994	6.976700	7.066333	8.055076	-15.370991	-6.018242	-9.884310
75	2	-8.074590	5.873415	12.699730	4.764181	-13.738217	6.389761	7.149677	7.517707	5.418054	6.766251	7.593962	-9.031213	-18.151495	5.303933	6.937977	9.114322	-13.183017	-5.186348	-12.320355	7.363605	-7.473273	-10.337615	-12.229477	7.725823	-8.241841	-14.934050	-0.335406	-4.348201	6.766251	-10.109120	-9.031213	9.133261	-4.554119	6.937977	9.114322	-13.183017	-5.186348	-12.320355
91	2	6.303241	-10.320302	-18.245853	-11.396635	5.644031	-8.373729	-14.277151	-2.866094	-10.807577	2.862089	-5.798030	6.757787	9.927589	-1.412901	-8.983089	-4.666986	10.216756	5.911331	5.821849	-5.732036	3.397672	8.012724	5.851123	-17.854306	6.611395	4.962062	6.641194	0.576283	2.862089	5.028902	6.757787	-11.107992	7.429686	-8.983089	-4.666986	10.216756	5.911331	5.821849
