5	4	0.587377	3.592434	3.208611	2.105283	-2.482864	-0.955242	-7.474065	7.389153	7.407196	5.509487	-17.207924	-1.319721	-12.741317	5.841899	2.683409	7.023609	6.866888	3.247463	5.779585	-7.474065	7.389153	7.407196	5.509487	-17.207924	-1.319721	-12.741317	5.841899	2.683409	7.023609	6.866888	3.247463	5.779585	3.422757	1.812645	1.848161	-6.322829	9.205530	8.873738	4.904083	0.587377	3.592434	3.208611	2.105283	-2.482864	-0.955242	3.422757	1.812645	1.848161	-6.322829	9.205530	8.873738	4.904083
12	4	0.269527	5.918126	6.832564	6.806046	0.147612	-0.537611	7.512681	0.269360	-6.202232	-10.612775	8.142376	5.162280	6.304852	0.269527	5.918126	6.832564	6.806046	0.147612	-0.537611	-10.019745	6.730811	5.154275	4.403536	-14.697905	-4.820541	-10.006810	0.269517	5.918126	2.548203	0.838243	-3.718165	-4.752174	-10.019745	6.730811	5.154274	4.403536	-14.697905	-4.820541	-10.006810	0.269517	5.918126	2.548204	0.838244	-3.718163	-4.752168	7.512681	0.269360	-6.202203	-10.612775	8.142376	5.162280	6.304852
15	4	0.974359	6.875482	3.438792	-3.158881	-2.007848	-5.565305	4.844739	-2.678890	-0.158235	-10.268490	10.049285	6.556913	5.690334	7.042371	2.947741	7.678092	6.838316	6.556973	4.844823	4.844739	-2.678890	-0.158236	-10.268490	10.049285	6.556913	5.690334	0.974359	6.875482	3.438792	-3.158881	-2.007848	-5.565302	-7.431927	3.472743	6.554524	4.158155	-9.362136	-4.500690	-3.338680	7.042371	2.947741	7.678092	6.838316	6.556973	4.844823	-7.431927	3.472743	6.554524	4.158155	-9.362136	-4.500690	-3.338680
16	4	4.513696	6.033808	7.870523	5.458898	3.757180	4.205565	-4.797063	6.303215	2.948454	5.227115	-8.314365	-2.813829	-12.258881	0.442286	6.929681	2.947838	-3.824799	-3.086007	-2.439754	-4.797063	6.303215	2.948454	5.227115	-8.311628	-2.813829	-12.258881	4.513696	6.033808	7.870523	5.458898	3.757180	4.205565	6.536775	3.427522	-8.803632	-8.995225	9.384473	6.820500	5.734752	0.442286	6.929681	2.947838	-3.824799	-3.086007	-2.439754	6.536775	3.427522	-8.803632	-8.995225	9.384473	6.820500	5.734752
22	4	5.095360	1.510691	-0.777585	0.757488	2.456448	3.564890	7.637394	0.561887	-5.273785	-10.683902	8.676621	7.291251	4.847060	1.152021	7.313662	-2.997147	-2.317567	-3.515390	2.142789	7.637394	0.561887	-5.273785	-10.683902	8.676621	7.291251	4.847060	5.095360	1.510691	-0.777599	0.757473	2.456448	3.564889	-5.854578	6.982993	6.911634	5.031712	-14.621059	-1.914740	-13.633563	1.152021	7.313662	-2.997148	-2.317567	-3.515390	2.142789	-5.854578	6.982993	6.911634	5.031712	-14.621059	-1.914740	-13.633563
24	4	-0.133553	5.431521	0.229180	-3.083600	-0.690803	-4.889229	5.373312	6.490126	-5.390862	-9.594906	7.092056	7.145951	7.007746	-0.133553	5.431521	0.229180	-3.083600	-0.690803	-4.889229	-10.370575	8.193458	4.697469	8.144567	-16.079565	-0.993690	-9.876107	6.070884	1.040921	6.072771	7.408654	6.800426	6.401507	-10.370575	8.193458	4.697469	8.144567	-16.079565	-0.993690	-9.876107	6.070884	1.040921	6.072771	7.408654	6.800426	6.401507	5.373312	6.490126	-5.390862	-9.594905	7.092056	7.145951	7.007746
26	4	5.104551	4.403271	6.213474	7.724952	5.796354	5.479477	-4.656263	6.578718	8.172208	7.978418	-15.147422	-5.297937	-7.398409	3.559145	5.073166	4.240335	0.812650	1.719070	-4.496014	-4.656263	6.578718	8.172208	7.978418	-15.147422	-5.297937	-7.398409	5.104551	4.403271	6.213474	7.724952	5.796354	5.479477	8.873554	1.159187	-3.452855	-9.649793	11.130100	4.670077	5.530857	3.559145	5.073166	4.240335	0.812650	1.719070	-4.496014	8.873554	1.159187	-3.452855	-9.649793	11.130100	4.670077	5.530857
30	4	6.437136	3.760681	7.246948	6.900366	6.102868	7.076986	6.606699	0.861260	0.526887	-9.348410	10.361023	5.294717	3.250323	1.926316	5.956482	1.044985	-4.115915	-1.667936	1.287935	-9.312435	6.554326	7.685958	6.381022	-16.849701	-0.412954	-12.022509	1.926315	5.956482	1.044985	-4.115916	-1.667936	1.287935	6.606699	0.861260	0.526887	-9.348410	10.361023	5.294717	3.250323	6.437136	3.760681	7.246948	6.900366	6.102868	7.076986	-9.312435	6.554326	7.685958	6.381022	-16.960847	-0.412954	-12.022509
31	4	2.905272	0.414377	1.213223	-1.085628	0.831582	-2.339020	6.206955	-2.418675	-5.199782	-12.444935	8.423807	5.544630	6.768382	8.555206	-3.153297	6.801112	7.426216	6.591084	6.389977	6.206955	-2.418675	-5.199782	-12.451203	8.423807	5.544630	6.768382	8.555206	-3.153297	6.801112	7.426216	6.591084	6.389977	-5.286785	2.144218	4.823819	4.494947	-6.994027	-4.139795	-8.866475	2.905272	0.414377	1.213223	-1.085628	0.831582	-2.339020	-5.286785	2.144218	4.823819	4.494947	-6.994027	-4.139795	-8.866475
37	4	3.623950	4.258217	5.112077	6.981132	6.318975	1.644844	-7.954353	6.238975	5.147810	5.537285	-9.674230	-1.211860	-7.603508	-0.622155	4.757366	-0.720046	0.605227	1.982031	-4.872494	6.744685	2.595897	-5.773744	-11.256973	7.999674	3.867028	7.091125	3.623950	4.258217	5.112077	6.981132	6.318975	1.644844	6.744685	2.595897	-5.773744	-11.256973	7.999674	3.867028	7.091125	-0.622155	4.757366	-0.720046	0.605227	1.982031	-4.872494	-7.954353	6.238975	5.147810	5.537285	-9.674230	-1.211860	-7.603508
