1	2	2.552693	6.507268	0.297187	-6.865607	-1.610836	-3.796216	5.750885	1.852359	-3.344221	-3.829924	10.495313	5.579396	6.454760	2.552693	6.507268	0.297187	-6.865609	-1.610836	-3.796216	-8.071528	8.352540	8.031976	3.709373	-9.631350	-0.401678	-6.227598
3	2	1.330931	7.844338	0.676862	-3.384455	-6.044344	-4.433337	-8.295601	7.308504	8.085771	6.153733	-16.099930	-5.913549	-6.726712	1.330931	7.844338	0.676862	-3.384455	-6.044344	-4.433337	6.127486	1.982460	-4.516055	-12.005683	8.189570	5.826272	7.652276
4	2	6.088422	6.370016	7.820136	4.721796	3.562764	7.227073	7.868643	1.143948	-8.981636	-14.227297	8.738102	4.986080	6.638767	6.088422	6.370016	7.820136	4.721796	3.562764	7.227073	0.099584	7.155380	3.412033	0.188266	-10.909095	0.773381	-4.727719
7	2	7.179449	2.942587	7.275056	6.710363	5.693285	4.923131	-8.438799	5.820770	4.445045	5.344295	-21.708886	0.624116	-5.336552	7.179449	2.942587	7.275056	6.710363	5.693285	4.923131	4.896361	-0.491923	-8.599094	-11.087557	8.232788	5.639867	1.013863
8	2	2.583477	5.894374	0.897578	-9.221171	-6.779081	-5.160447	-7.095239	6.737795	6.931524	6.561908	-14.521080	-3.096431	-12.919715	2.583477	5.894374	0.897578	-9.221171	-6.779722	-5.160447	7.440747	2.086527	-4.747497	-9.698547	11.534144	6.677231	4.361437
9	2	6.620138	1.026476	5.804343	7.649273	6.803108	2.943059	-9.512640	6.330842	5.971181	6.402394	-18.305001	-3.934358	-8.169825	6.620138	1.026476	5.804343	7.649273	6.803108	2.943059	6.526564	6.270927	-3.742457	-8.156134	3.033320	6.716101	6.651824
13	2	3.257814	6.812139	6.697625	6.625801	2.124119	0.682243	-9.282162	6.579567	9.051613	5.936834	-15.479195	-1.209827	-9.154110	3.257814	6.812139	6.697625	6.625801	2.124119	0.682243	7.320518	0.623102	-1.645778	-6.435996	5.857805	8.056114	6.345391
14	2	5.605822	0.783008	-0.265056	-5.690777	1.225318	1.400430	-5.755776	6.500496	7.008133	6.391114	-17.987852	-2.039418	-10.496948	5.605822	0.783008	-0.265056	-5.690777	1.225318	1.400430	5.905952	0.608581	-5.804242	-11.507283	9.326552	6.373285	8.241947
18	2	0.169147	7.200522	-0.822066	-5.846165	-4.129042	-2.404935	7.169879	4.368938	-3.289336	-6.975931	8.016423	7.079108	4.663382	0.169147	7.200522	-0.822066	-5.846165	-4.129042	-2.404935	-7.162484	8.029982	6.943333	8.264954	-12.294096	-4.289920	-11.041747
19	2	2.326261	5.871495	-1.773559	-4.794158	-6.529002	-2.855155	-11.202744	6.252147	8.487475	6.009953	-18.611027	-3.699167	-8.770759	2.326261	5.871495	-1.773559	-4.794158	-6.529002	-2.855155	6.358152	3.942907	-1.816828	-10.469084	8.351583	8.057805	7.720800
20	2	0.520780	8.741027	0.056911	-2.569376	-0.545384	1.201043	-11.555177	5.300699	6.993721	8.971097	-10.983564	-8.205162	-13.062276	0.520780	8.741027	0.056911	-2.569376	-0.545384	1.201044	5.503893	-0.778449	-5.020115	-8.547193	7.036583	3.167119	5.026208
21	2	2.371831	7.466688	-0.126023	-4.967121	-8.734325	-5.640891	-8.406327	5.773583	7.360075	7.173346	-15.152027	-4.222926	-9.311465	2.371831	7.466688	-0.126023	-4.967121	-8.734325	-5.640891	4.685585	2.208029	-3.503676	-10.194611	9.078321	7.191763	6.277688
27	2	-0.325382	6.423759	0.314228	-4.328579	-2.035935	-1.820908	3.656069	1.818083	-1.805719	-7.517766	10.353871	7.629845	5.886069	-0.325382	6.423759	0.314228	-4.328579	-2.035935	-1.820886	-11.341090	6.415547	6.610876	3.486822	-17.141802	-4.744220	-5.172959
32	2	4.891040	-2.029666	7.099897	6.708064	8.013488	4.571716	-4.306811	6.416857	4.283182	8.391891	-22.186177	-1.791959	-12.644453	4.891040	-2.029666	7.099897	6.708064	8.013488	4.571716	8.690831	3.404259	-5.050870	-1.702671	6.073693	6.516045	5.460019
34	2	1.018868	6.340392	-0.994761	-4.012607	-3.579355	1.797766	-13.016104	6.810277	6.291364	5.824186	-16.742367	-4.987833	-12.467509	1.018866	6.340393	-0.994761	-4.012607	-3.579355	1.797767	3.168636	5.915942	0.926870	-6.533999	7.605389	5.893993	3.184786
35	2	1.971440	2.744688	-1.767326	0.273134	2.773787	-5.280270	-12.348570	9.175948	6.249869	6.941513	-19.143830	-8.819217	-9.164423	1.972186	2.744596	4.218723	4.968941	2.794124	-0.638529	-12.348570	9.175948	6.249869	6.941513	-19.143830	-8.819217	-9.164423
41	2	-2.249939	6.496717	1.306868	-6.176499	-5.755230	1.880361	7.127096	4.145135	-3.979222	-9.378182	5.626357	2.876286	6.234599	-2.249939	6.496717	1.306868	-6.176499	-5.755230	1.880361	-10.409842	6.891329	4.884173	5.284464	-16.501644	-4.048649	-8.613144
43	2	0.674510	6.385194	0.124392	-10.680017	-1.934988	-5.750083	-7.116985	6.706267	3.958704	4.144007	-12.539999	-2.402231	-8.234425	0.674510	6.385194	0.124392	-10.680017	-1.934994	-5.750083	7.324381	1.772181	-7.542922	-7.470238	10.614053	7.397055	7.172737
47	2	5.883758	-2.172474	-0.432615	-6.356168	0.936816	-1.003585	-9.731140	6.899509	6.995791	6.160335	-17.792417	-3.179675	-10.750741	5.883758	-2.172474	-0.432615	-6.356168	0.936816	-1.003585	5.718494	1.376826	-2.886152	-11.681845	8.258357	4.826721	7.774141
50	2	5.288593	6.462868	8.021744	4.670842	6.303050	5.231410	-8.956878	7.299710	5.668170	4.551979	-12.799678	-3.633987	-11.920254	5.288593	6.462868	8.021744	4.670842	6.303050	5.231410	6.833131	2.517301	-1.971247	-10.277031	8.662667	5.780382	7.302275
51	2	-0.666257	6.462077	3.469633	2.101589	-5.965173	1.004976	-5.407780	6.182608	6.717269	5.969922	-19.281093	-2.069839	-7.967299	-0.666257	6.462077	3.469633	2.101589	-5.965173	1.004976	7.854838	1.263205	-4.403848	-7.940122	9.190578	9.840359	7.637919
53	2	0.274205	6.853210	2.098418	-4.855278	-3.997237	-5.468626	6.347986	3.702347	-6.673351	-11.479118	10.687698	8.504095	6.974016	0.274205	6.853210	2.098420	-4.855276	-3.997236	-5.468626	-8.597645	7.839957	5.452979	6.060721	-15.761695	-1.585582	-10.524955
56	2	-1.400708	6.572438	-0.940745	-1.991003	-3.329223	0.109656	7.066264	-0.355778	-5.577797	-9.448007	9.588587	4.434640	8.899977	-1.400708	6.572438	-0.940745	-1.991003	-3.329223	0.109656	-10.262344	6.144772	5.874040	5.675133	-14.710818	-7.966888	-10.061668
57	2	-1.786361	7.251247	-0.614949	-6.311549	-7.181905	-3.928572	-10.046582	7.143437	7.138871	6.962769	-19.141184	-3.516227	-10.689617	-1.786366	7.251247	-0.614949	-6.311549	-7.181905	-3.928575	6.622169	2.033058	-4.236276	-7.960619	8.745486	6.570976	6.038798
58	2	2.961232	2.999912	8.549129	6.733584	5.490156	2.948729	-7.489454	7.005427	7.358044	9.052446	-15.539954	-4.786090	-7.584771	2.961232	2.999912	8.549129	6.733584	5.490156	2.948729	5.873888	0.792231	-3.186070	-4.340390	10.553883	6.309033	6.612739
59	2	-0.366802	8.597067	0.304218	-5.404440	-5.796320	-5.625183	-0.589961	1.646498	-5.862612	-7.591315	5.344548	0.385208	-5.850088	-0.366802	8.597067	0.304218	-5.404440	-5.796320	-5.625183	5.439175	-1.389186	-5.862647	-14.007302	10.289066	6.657594	5.264459
62	2	8.316065	-3.114552	6.565999	6.394885	7.945249	6.862783	7.683775	1.894789	-4.382567	-9.987134	9.668484	6.780674	7.463664	8.316065	-3.114552	6.565999	6.394885	7.945249	6.862783	-9.172523	6.594303	7.462247	6.547282	-16.229399	-2.008633	-6.746275
63	2	5.153752	1.808333	7.372116	7.898317	7.824997	4.486592	-9.711608	6.347406	6.139135	7.192325	-18.773116	0.490730	-7.044734	5.153752	1.808333	7.372116	7.898317	7.824997	4.486592	4.320551	1.495607	-1.897032	-3.442767	6.422684	6.678864	7.789943
65	2	6.879128	1.882733	7.211745	6.918924	8.283282	4.494063	-8.812046	4.413207	7.122235	7.947987	-16.146006	-3.674978	-9.444211	6.879128	1.882733	7.211745	6.918924	8.283282	4.494063	6.218084	-1.959953	-2.881604	-9.399677	11.951211	6.906843	8.711883
