6	3	1.875670	6.930783	2.017982	-0.163698	-3.587045	-1.817225	-8.685703	6.798500	6.870945	8.017768	-17.971418	-4.523306	-11.731083	8.347823	0.819952	7.184397	6.922414	5.138789	7.808676	-8.685704	6.798500	6.870945	8.017768	-17.971418	-4.523306	-11.731083	8.347823	0.819952	7.184397	6.922414	5.138789	7.808676	7.867583	0.228692	-0.462642	-4.810662	10.054606	5.635529	5.239795
17	3	2.012472	5.067076	-0.175538	-4.944602	1.918889	1.661237	-7.014095	6.389669	8.974929	7.592501	-17.601383	-1.689360	-10.620400	2.219476	5.067076	5.605682	3.821846	5.350168	3.624922	-7.014095	6.389669	8.974929	7.592501	-17.601383	-1.689360	-10.620400	2.012472	5.067076	-0.175538	-4.944602	1.918889	1.661237	5.768708	0.189753	-2.393014	-10.410963	9.692396	6.635900	3.310904
25	3	0.791262	6.248317	2.394671	-4.323477	-4.702840	-9.073093	-6.479265	6.890866	5.886033	5.324124	-14.263607	-2.920755	-7.236846	0.791262	6.248317	2.394671	-4.323477	-4.702840	-9.073093	8.407934	4.367747	-2.213377	-10.510330	3.996767	7.368740	8.280076	0.791262	6.248317	2.394671	-4.323477	-4.702840	-9.073093	8.311810	4.367747	1.005257	-0.991007	-2.334672	7.366636	7.673460
28	3	6.228799	0.114762	5.741548	6.782699	5.761730	3.020616	-11.323338	4.668978	7.966404	5.838374	-11.563764	-0.865397	-6.922706	6.228799	0.114762	5.741548	6.782699	5.761730	3.020616	6.270435	0.280793	-4.563925	-10.700850	8.847251	6.422325	4.128203	6.228799	0.114762	5.741548	6.782699	5.761730	3.020616	-6.710578	4.664649	7.363294	5.838369	-3.269151	3.960989	2.180939
36	3	8.646526	-1.808206	6.285320	6.438026	7.408149	3.252403	6.743818	-1.104345	-8.336971	-8.977251	11.106441	7.708533	6.166562	8.646526	-1.808206	6.285320	6.438026	7.408149	3.252403	-3.451648	5.004094	4.229073	3.164535	-2.527151	4.107004	3.241031	8.646526	-1.808206	6.285320	6.438026	7.408149	3.252403	-8.475080	5.004108	4.231808	3.165004	-9.659097	-0.286410	-3.205318
38	3	1.754629	8.845023	6.505505	2.279547	-2.644876	-2.397683	-3.896445	6.654612	8.423942	5.478901	-14.612194	-2.497676	-11.831784	1.754629	8.845023	6.505504	2.279546	-2.644876	-2.397683	8.224876	0.921537	-0.121618	-8.408869	12.467588	6.914871	5.079062	1.754628	8.845024	3.290374	-2.703006	-6.187024	-3.608705	-3.896445	6.654612	8.423942	5.478901	-14.612174	-2.497676	-11.831784
52	3	-0.198161	7.104773	7.739434	4.138671	0.580412	1.654608	6.798102	1.027100	-6.442568	-13.879220	9.056298	5.803830	5.987682	-0.198161	7.104773	7.739434	4.138671	0.580412	1.654608	-11.118572	6.054958	5.971396	2.690192	-6.708573	-2.156260	-2.824170	-1.539926	7.104948	2.016051	-0.174295	0.132843	-3.088986	6.798102	1.027100	-6.442568	-13.879220	9.056298	5.803830	5.987682
54	3	2.229325	1.424516	-1.625302	-0.497041	-0.436687	0.784436	-10.294657	5.549167	7.005325	6.016464	-14.365212	-1.014432	-11.783044	2.229325	1.424516	-1.625302	-0.497041	-0.436687	0.784436	1.091388	-0.234493	-1.102404	-6.048747	6.714658	5.447412	-1.026050	2.229325	1.424516	-1.625302	-0.497041	-0.436687	0.784436	2.949340	-0.649477	-4.485084	-8.208948	8.952661	7.203837	5.463034
55	3	1.077189	6.278660	-0.265431	-4.445291	-2.631439	-6.124692	-0.566505	5.665499	-1.450043	-4.285761	9.402229	3.622580	-1.060406	1.077189	6.278660	-0.265431	-4.445291	-2.631439	-6.124692	5.493072	1.929004	-6.627816	-10.831946	13.096863	7.253379	6.278761	1.077189	6.278660	-0.265431	-4.445291	-2.631439	-6.124689	-10.326935	6.247094	5.793494	4.191459	-13.133367	-2.298330	-9.520678
66	3	-0.739599	7.153488	0.841625	-7.468235	-5.429289	-3.503549	-5.408136	6.192715	3.674020	8.393312	-10.038986	-8.598652	-6.933887	-0.739599	7.153488	0.841625	-7.468235	-5.429289	-3.503549	6.834488	0.857009	-7.665672	-6.333579	9.661036	3.130917	4.526952	-0.739599	7.153488	0.841625	-7.468235	-5.429289	-3.503549	6.500413	0.901519	-7.464242	-4.672620	5.375811	1.898847	-1.202553
67	3	6.600622	1.185312	6.058815	4.504968	7.869798	3.479827	-8.731502	6.133669	6.633718	6.750320	-14.222145	-4.935214	-10.462464	2.203077	7.578709	0.792557	-3.775924	-4.446336	-6.294048	-8.731502	6.133669	6.633718	6.750320	-14.222145	-4.935214	-10.462464	6.600622	1.185312	6.058815	4.504968	7.869798	3.479827	6.041470	0.291826	-3.323059	-6.020102	7.880429	6.396507	7.889853
69	3	1.664962	9.145960	0.742016	-4.312002	-2.654587	-6.942980	-4.847421	6.526062	5.338827	6.776350	-12.097907	-2.318280	-9.981354	1.664962	9.145960	0.742016	-4.312002	-2.654587	-6.942980	1.980461	5.595805	0.062790	-1.905507	4.553960	3.052454	-2.836736	1.664962	9.145960	0.742016	-4.312002	-2.654587	-6.942980	6.051510	-0.073837	-4.711491	-7.721882	10.659579	6.371428	7.753571
77	3	-0.421977	8.366938	0.534372	-6.033862	-6.436073	-9.605287	-3.358537	6.054684	4.585129	5.974657	-6.779924	5.443007	3.734956	-0.421977	8.366938	0.534372	-6.033862	-6.436073	-9.605287	6.764700	2.776218	-7.641272	-9.850455	9.118026	6.181176	4.849160	-0.421977	8.366938	0.534372	-6.033862	-6.436073	-9.605287	-8.698606	6.303004	4.585129	5.975842	-19.645176	0.921480	-5.491962
86	3	-0.268638	1.010385	0.467658	-7.255055	-0.756741	-3.754791	-11.854381	4.967293	4.861722	8.150433	-11.137075	-5.031371	-8.110044	-0.268638	1.010385	0.467658	-7.255055	-0.756741	-3.754791	6.230500	0.002599	-4.926834	-3.914282	9.026184	5.180638	9.288888	-0.268638	1.010385	0.467658	-7.255055	-0.756741	-3.754791	4.778638	0.002613	-1.452600	0.641866	-1.308889	-0.139500	4.042279
87	3	6.549334	-0.344152	1.090412	0.289210	4.429878	-1.363427	-10.433211	5.692354	6.655857	5.347221	-12.886720	-6.206832	-9.991674	6.549334	-0.344152	1.090412	0.289210	4.429878	-1.363427	6.726299	-0.745563	-3.887441	-12.885277	9.544160	4.998748	6.594199	6.549335	-0.344154	6.393789	5.895736	7.651132	4.696640	-10.433211	5.692354	6.655857	5.347221	-12.886720	-6.206832	-9.991674
94	3	0.286202	6.984978	1.227688	-3.755006	-5.853437	-3.594608	7.743519	0.389787	-7.088564	-7.619754	8.472273	6.262911	5.469760	0.286202	6.984978	1.227688	-3.755006	-5.853437	-3.594549	-4.221391	6.482073	5.364987	7.953134	-10.990668	-5.067799	-10.447352	0.286202	6.984978	1.227688	-3.755006	-5.853437	-3.594556	6.287708	0.390172	-6.884182	-7.616696	6.166582	4.544683	-0.256586
95	3	6.946418	-0.573446	8.836705	5.093699	7.418641	5.162755	6.490330	3.970250	-2.989729	-4.522222	9.323913	5.554093	8.672101	6.946418	-0.573446	8.836705	5.093699	7.418641	5.162755	-6.322275	5.946723	5.317196	7.665111	-13.001545	-3.683216	1.256991	6.946418	-0.573446	8.836705	5.093699	7.418641	5.162755	-9.713632	5.946723	5.317196	7.665111	-15.651282	-4.717408	-4.052545
