point_label,module_abbr,network_T_s,module_T_s,module_pheno_score,impurity,density,intra_density,inter_density,p_s_type
AS(AS_AS),AS,0.34913956248396194,0.34440166622253815,11.277522650559604,0.0,0.20833333333333334,0.16666666666666666,0.2708333333333333,top60
C(AS_C),C,0.27310223599173566,0.26069687018860654,4.908387866009145,0.078125,0.10666666666666667,0.13194444444444445,0.08333333333333333,top60
AS(AS_C),AS,0.27310223599173566,0.34440166622253815,11.562995203410907,0.078125,0.10666666666666667,0.13194444444444445,0.08333333333333333,top60
E(AS_E),E,0.3172870216388482,0.5712567359507313,10.378752886836025,0.0,0.12615384615384614,0.1305732484076433,0.12202380952380952,top60
AS(AS_E),AS,0.3172870216388482,0.34440166622253815,11.29654233979368,0.0,0.12615384615384614,0.1305732484076433,0.12202380952380952,top60
AS(AS_M),AS,0.2821176647156292,0.34440166622253815,11.487618263123155,0.0,0.1380952380952381,0.13679245283018868,0.13942307692307693,top60
M(AS_M),M,0.2821176647156292,0.26498989607390294,3.412032332563511,0.0,0.1380952380952381,0.13679245283018868,0.13942307692307693,top60
AS(AS_PS),AS,0.18993155818543223,0.3436771052402602,10.938546448499888,0.11290322580645161,0.13333333333333333,0.10942760942760943,0.17559523809523808,top60
PS(AS_PS),PS,0.18993155818543223,0.2091847302954778,6.9780058082120044,0.11290322580645161,0.13333333333333333,0.10942760942760943,0.17559523809523808,top60
RS(AS_RS),RS,0.2509471526419026,0.5779914538372868,9.166767660948805,0.013888888888888888,0.1422924901185771,0.1099290780141844,0.18303571428571427,top60
AS(AS_RS),AS,0.2509471526419026,0.34435026237703426,11.647066198849608,0.013888888888888888,0.1422924901185771,0.1099290780141844,0.18303571428571427,top60
RS(C_AS_RS),RS,0.20712170636633231,0.5779914538372868,9.35271055390115,0.011235955056179775,0.08971774193548387,0.083984375,0.09583333333333334,top60
C(C_AS_RS),C,0.20712170636633231,0.2606959680523479,5.824881760379302,0.011235955056179775,0.08971774193548387,0.083984375,0.09583333333333334,top60
AS(C_AS_RS),AS,0.20712170636633231,0.34435026237703426,11.909288749652234,0.011235955056179775,0.08971774193548387,0.083984375,0.09583333333333334,top60
C(C_C),C,0.27738647517321013,0.26069687018860654,5.03618648960739,0.0,0.19444444444444445,0.28125,0.125,top60
C(C_M),C,0.2647512188863228,0.2387202278779934,7.827732871439567,0.0,0.1625,0.20833333333333334,0.11666666666666667,top60
M(C_M),M,0.2647512188863228,0.3140444572748268,12.5789376443418,0.0,0.1625,0.20833333333333334,0.11666666666666667,top60
C(C_PS),C,0.1970093869150405,0.26069687018860654,5.096278223978891,0.1282051282051282,0.14130434782608695,0.16666666666666666,0.11481481481481481,top60
