network_name,p_s_type,p_s_formula,l_max,network_p_s
Comb_AS_AS,dominant,state_based,7,-2.0
Comb_AS_AS,dominant,influence_weighted,7,22.833333333333332
Comb_AS_AS,top30,state_based,7,-2.0
Comb_AS_AS,top30,influence_weighted,7,22.833333333333332
Comb_AS_AS,top60,state_based,7,-0.02055427251732086
Comb_AS_AS,top60,influence_weighted,7,22.833333333333336
Comb_AS_C,dominant,state_based,7,-1.2307692307692308
Comb_AS_C,dominant,influence_weighted,7,13.888278388278387
Comb_AS_C,top30,state_based,7,-0.005899601425737059
Comb_AS_C,top30,influence_weighted,7,13.888278388278387
Comb_AS_C,top60,state_based,7,-0.16359163591635892
Comb_AS_C,top60,influence_weighted,7,14.171911114715542
Comb_AS_E,dominant,state_based,7,-2.0
Comb_AS_E,dominant,influence_weighted,7,24.068027210884352
Comb_AS_E,top30,state_based,7,-2.0
Comb_AS_E,top30,influence_weighted,7,24.068027210884352
Comb_AS_E,top60,state_based,7,-0.0024283043150969256
Comb_AS_E,top60,influence_weighted,7,13.427796683861372
Comb_AS_M,dominant,state_based,7,-2.0
Comb_AS_M,dominant,influence_weighted,7,20.532967032967033
Comb_AS_M,top30,state_based,7,-2.0
Comb_AS_M,top30,influence_weighted,7,20.532967032967033
Comb_AS_M,top60,state_based,7,-0.2921401936060414
Comb_AS_M,top60,influence_weighted,7,17.688745504237264
Comb_AS_PS,dominant,state_based,7,-1.8333333333333335
Comb_AS_PS,dominant,influence_weighted,7,19.87354640215178
Comb_AS_PS,top30,state_based,7,-0.020291828534048977
Comb_AS_PS,top30,influence_weighted,7,14.402092610727763
Comb_AS_PS,top60,state_based,7,-0.03128236092309941
Comb_AS_PS,top60,influence_weighted,7,15.456555864426244
Comb_AS_RS,dominant,state_based,7,2.0
Comb_AS_RS,dominant,influence_weighted,7,26.308474580277775
Comb_AS_RS,top30,state_based,7,0.01015089163237317
Comb_AS_RS,top30,influence_weighted,7,26.30847458027777
Comb_AS_RS,top60,state_based,7,-0.06503043865348034
Comb_AS_RS,top60,influence_weighted,7,22.85298940901815
Comb_C_AS_RS,dominant,state_based,7,2.0
Comb_C_AS_RS,dominant,influence_weighted,7,28.207627654299245
Comb_C_AS_RS,top30,state_based,7,0.3108754208754208
Comb_C_AS_RS,top30,influence_weighted,7,25.562482323439628
Comb_C_AS_RS,top60,state_based,7,0.0704922109927875
Comb_C_AS_RS,top60,influence_weighted,7,21.564502048650144
Comb_C_C,dominant,state_based,7,2.0
Comb_C_C,dominant,influence_weighted,7,11.428571428571427
Comb_C_C,top30,state_based,7,2.0
Comb_C_C,top30,influence_weighted,7,11.428571428571427
Comb_C_C,top60,state_based,7,2.0
Comb_C_C,top60,influence_weighted,7,11.428571428571427
Comb_C_M,dominant,state_based,7,2.0
Comb_C_M,dominant,influence_weighted,7,22.352380952380948
Comb_C_M,top30,state_based,7,2.0
Comb_C_M,top30,influence_weighted,7,22.352380952380948
Comb_C_M,top60,state_based,7,2.0
Comb_C_M,top60,influence_weighted,7,22.352380952380948
Comb_C_PS,dominant,state_based,7,-2.0
