6	1	-12.173012	1.721884	-3.379726	7.018092	6.221986	7.785021	0.181321	-0.561339	-8.582601	6.742618	5.971366	3.083917	4.571351	2.062077	-12.485153	0.139820	-17.683076	1.515474	4.898771	-5.469739	-6.530214	4.739356	-7.141722	-1.692909	6.044337	-5.296768	-15.452889	-6.535890	-3.286575
7	1	-6.492797	5.099530	3.999286	6.399084	5.331331	5.743393	-1.803931	-2.613733	-1.284041	8.196618	5.510124	1.233885	7.585125	0.999050	-18.388273	1.467031	-18.958399	5.492859	-4.976700	-17.559309	-17.472516	3.471106	-3.792510	6.326679	7.027658	-17.693541	-17.758365	-14.167657	-4.358517
20	1	10.655029	6.028428	4.723494	-2.446763	1.953834	2.682413	9.490634	5.680366	3.240187	-0.757437	0.188534	7.133542	3.451429	3.706188	-21.124204	0.459450	-11.401035	7.418203	-10.922066	-15.342798	-21.999483	1.133986	-9.543717	7.358141	6.560637	-16.021211	-14.892526	-14.666490	-4.327750
41	1	-9.757098	-2.276745	3.582067	7.569579	6.454816	1.446359	1.079580	0.562896	-11.628234	6.500569	5.363944	0.336317	6.300656	4.361345	-19.194229	0.408221	-20.437743	5.563059	-13.483598	-10.587720	-19.138520	1.878112	-8.862735	3.800282	5.539204	-16.746867	-8.901233	-10.966207	1.815373
54	1	9.674739	5.322241	6.366314	-0.823393	1.165688	1.563763	5.112593	8.641936	6.170823	-5.646935	0.893190	6.190540	3.345112	1.495913	-9.001238	-1.229409	-17.100814	2.808257	6.358946	-8.775769	-10.869603	0.538045	-10.338769	2.301998	3.194837	-10.529165	-11.307441	-10.175041	-1.258512
59	1	9.192895	6.234016	5.826683	3.536077	0.856590	3.546389	7.528496	6.207978	3.086430	-0.811254	4.126438	6.552645	6.136670	4.751203	-16.858199	0.594987	-28.886790	5.053847	-11.492037	-13.521484	-15.309727	-0.200950	-5.341251	8.829092	6.851432	-14.947579	-18.256434	-17.447206	-5.068987
60	1	-17.114425	-0.926681	-2.118164	7.975595	8.259102	6.700069	-0.893350	1.318705	-10.199942	6.093058	8.699110	1.603673	4.841065	1.253687	-25.412894	1.980164	-11.762486	5.267906	-0.640758	-9.748748	-11.225408	4.301136	-4.972187	1.366131	4.042582	-5.955633	-12.931839	-5.926125	-5.812257
72	1	-11.180026	-0.058792	5.426857	6.549574	5.888969	4.277088	1.784233	-0.061877	-6.754791	6.043246	5.930176	-1.542266	6.420884	0.482264	-23.503991	-0.129959	-27.185917	2.132528	-9.071672	-15.547607	-17.218491	3.053990	-8.275476	7.698398	3.300814	-3.147544	-15.386897	-15.324762	1.255211
77	1	-3.911635	0.251142	5.463198	6.039746	6.054013	5.898255	0.742490	-0.279625	-2.328586	7.287048	7.188777	0.862433	6.366324	5.888736	-28.101511	-0.126364	-22.963068	6.441946	-9.680053	-13.236717	-6.699343	1.569228	-9.157914	3.285269	6.230765	-3.800599	-14.492671	-14.552081	4.061281
80	1	-4.818566	2.816515	5.708563	8.148907	5.146556	8.774006	3.068339	-0.643202	-3.157642	8.685557	8.911079	3.103956	5.996893	0.044229	-25.718066	-0.344560	-21.139348	7.069106	-8.829861	-20.278542	-16.038140	3.034794	-11.582396	4.618708	5.914558	-11.948091	-10.396889	-17.249263	2.028717
93	1	6.405461	8.005330	6.351077	0.929882	4.530176	1.672884	7.545893	7.322735	4.587728	-2.432768	2.938986	7.610951	-0.088151	6.656586	-12.349432	3.848910	-7.899014	4.036693	-3.639752	-11.628084	-18.546029	0.137605	0.278252	6.002324	5.659128	-15.194657	-12.746077	-9.617752	-6.560252
