1	3	65	-14.055753	-4.023613	1.684964	6.928754	5.489935	8.727828	-2.162908	1.372487	-7.618543	7.333752	6.922437	-2.581028	5.936413	0.494375	-19.469280	0.331255	-22.912180	2.741391	-7.572787	-19.494002	-14.960404	3.264665	-4.651303	1.817058	5.742568	-16.485566	-16.447258	-13.319592	2.479744
1	3	22	-14.055753	-4.023613	1.684964	6.928754	5.489935	8.727828	-2.162908	1.372487	-7.618543	7.333752	6.922437	-2.581028	5.936413	0.494375	-15.378719	0.331255	-8.367706	2.240152	-2.256546	-18.901000	-7.585766	3.264836	4.268390	-3.029463	-0.013047	-3.865325	-17.133532	-12.493504	1.546870
1	3	13	-14.055753	-4.023613	1.684964	6.928754	5.489935	8.727828	-2.162908	1.372487	-7.618543	7.333752	6.922437	-2.581028	5.936413	0.494375	7.331554	6.425768	11.401481	-13.848733	9.843922	4.202001	6.306507	8.791809	7.167988	-14.530223	-17.481775	-4.013807	-1.551049	5.737030	-7.926577
2	6	4	9.721141	6.637640	4.835933	1.123672	2.645289	1.851896	3.229952	2.708286	5.455375	-7.535141	4.780824	6.379901	4.936189	8.328359	12.764139	4.804408	7.281356	-5.912482	8.415059	-6.204371	3.960137	7.634802	6.618908	-10.241717	-7.648598	-0.679523	-4.123581	-2.961136	-1.822636
2	6	65	9.721141	6.637640	4.835933	1.123672	2.645289	1.851896	3.229952	2.708286	5.455375	-7.535141	4.780824	6.379901	4.936189	8.328359	-10.604026	-1.396535	-22.848751	6.033922	-9.007705	-12.422775	-17.391199	1.508444	-5.354185	0.766480	8.990440	-2.952932	-8.800731	-13.021501	3.494463
2	6	3	-4.027704	0.895181	0.411941	6.367743	3.394675	2.372373	-3.145076	-2.533645	-0.046105	4.425421	7.027533	0.438214	7.779201	3.593193	-8.521917	-1.396535	-11.902616	6.011550	-3.584741	-12.354672	-8.732881	1.508444	3.659313	-3.820943	2.621259	-2.100091	-10.673900	-12.896943	0.401561
2	6	23	-4.027704	0.895181	0.411941	6.367743	3.394675	2.372373	-3.145076	-2.533645	-0.046105	4.425421	7.027533	0.438214	7.779201	3.593192	-13.174899	-1.396535	-22.881614	6.033922	-9.007705	-12.422775	-17.391199	1.508444	-5.354185	0.766480	8.990440	-2.952932	-8.800173	-13.021501	3.494463
2	6	4	9.721141	6.637640	4.835933	1.123672	2.645289	1.851896	3.229952	2.708286	5.455375	-7.535141	4.780824	6.379901	4.936189	8.328359	-5.950991	-1.396535	-11.302333	6.011550	-3.584738	-12.354672	-8.732881	1.508444	3.659313	-3.820943	2.621259	-2.100091	-10.669623	-12.896942	0.401561
2	6	1	-4.027704	0.895181	0.411941	6.367743	3.394675	2.372373	-3.145076	-2.533645	-0.046105	4.425421	7.027533	0.438214	7.779201	3.593192	10.193234	4.804408	7.279482	-5.912482	8.415058	-6.204371	3.960137	7.634802	6.618908	-10.241717	-7.648525	-0.679523	-4.123613	-2.961136	-1.822636
3	3	42	10.292800	6.632898	8.450933	1.285807	1.129254	1.795548	5.624574	4.015007	8.938227	-0.178123	2.635669	6.682613	1.698188	8.576992	13.827013	7.094079	13.628215	-13.607543	8.137844	6.702948	11.519078	6.332244	6.819036	-12.251649	-18.780559	3.631936	-0.018969	4.871343	-9.744147
3	3	50	10.292800	6.632898	8.450933	1.285807	1.129254	1.795548	5.624574	4.015007	8.938227	-0.178123	2.635669	6.682613	1.698188	8.576992	-20.031758	1.089481	-24.983801	3.885931	-6.405698	-10.978578	-15.975417	0.743498	-10.034113	3.309127	5.698664	-14.142620	-16.225182	-17.577192	-3.731685
3	3	8	10.292800	6.632898	8.450933	1.285807	1.129254	1.795548	5.624574	4.015007	8.938227	-0.178123	2.635669	6.682613	1.698188	8.576992	13.792280	7.094079	11.513971	-9.001498	1.399852	4.237446	10.278378	6.332244	4.606933	-8.238293	-18.572409	8.157672	6.805104	0.787240	1.685775
4	2	64	-16.186096	1.681000	0.714187	5.833411	6.820479	6.433063	0.186621	4.647994	-1.885874	6.653835	5.996986	0.740365	7.273870	3.928299	-24.898328	0.263791	-22.416073	4.692610	-4.195501	-9.519520	-11.969138	0.696875	-12.309619	-1.187237	7.826750	-7.102508	-12.627001	-11.672554	3.845389
4	2	36	8.890463	7.759382	7.106384	1.872735	1.984429	1.736022	6.818903	6.895867	7.476433	-2.035693	3.388966	6.248375	5.360069	5.932180	-18.512585	0.263844	-22.378684	4.692610	-4.195501	-9.519520	-11.969138	0.696875	-12.309609	-1.187237	7.826750	-7.102508	-12.627001	-11.672554	3.845389
5	10	20	8.063260	6.672488	6.681740	2.084223	4.754569	5.666585	2.065078	7.514102	-7.014474	-8.995513	4.425967	6.062404	-1.835156	6.998228	12.535185	7.659387	13.431131	-9.989156	7.672853	8.908630	10.460661	7.865605	6.116061	-15.450823	-10.388835	-2.703084	-3.190420	5.311618	-6.226640
5	10	19	8.063260	6.672488	6.681740	2.084223	4.754569	5.666585	2.065078	7.514102	-7.014474	-8.995513	4.425967	6.062404	-1.835156	6.998228	-15.746847	1.136979	-21.964217	6.368233	-7.328327	-12.107736	-15.794031	2.380186	-6.794516	1.757213	6.864597	-10.089803	-14.396496	-18.751055	2.462798
5	10	8	-9.914177	0.150046	1.281962	8.078810	5.988982	5.840972	-3.721964	1.330712	-13.852186	2.360471	7.578653	1.629643	4.773745	0.644140	7.932450	7.641825	13.431076	-9.989156	7.672830	8.908630	10.456301	7.865605	6.113463	-15.450823	-10.388835	-2.703084	-3.190398	5.311618	-6.225897
5	10	10	8.063260	6.672488	6.681740	2.084223	4.754569	5.666585	2.065078	7.514102	-7.014474	-8.995513	4.425967	6.062404	-1.835156	6.998228	12.529126	7.659384	13.422499	-9.989156	7.672546	8.908627	10.076450	7.865605	2.039047	-10.398520	-10.384572	2.369352	-2.414625	5.311618	-1.546996
5	10	13	-9.914141	0.150046	1.281962	8.078810	5.988982	5.840972	-3.721964	1.330712	-13.852186	2.360471	7.578653	1.629643	4.773745	0.644140	-13.975335	1.138803	-12.060772	6.368233	-3.897171	-11.737720	-8.382789	2.380186	2.897458	-1.693086	4.770216	-7.811308	-15.102253	-18.751045	1.187268
5	10	10	-9.913937	0.150046	1.281962	8.078810	5.988982	5.840972	-3.721964	1.330712	-13.852186	2.360471	7.578653	1.629643	4.773745	0.644140	-20.349594	1.136254	-21.964217	6.368233	-7.328327	-12.107736	-15.797178	2.380186	-6.794577	1.757213	6.864597	-10.089803	-14.396496	-18.751055	2.462798
5	10	3	0.658985	6.138384	6.639844	7.794519	5.988712	5.840968	-2.086230	5.643725	-8.074755	1.959471	7.577106	5.899021	-1.835063	0.699024	8.221163	7.645130	13.431094	-9.989156	7.672840	8.908630	10.457125	7.865605	6.113956	-15.450823	-10.388835	-2.703084	-3.190402	5.311618	-6.226040
5	10	14	8.063260	6.672488	6.681740	2.084223	4.754569	5.666585	2.065078	7.514102	-7.014474	-8.995513	4.425967	6.062404	-1.835156	6.998228	-9.372584	1.197625	-12.060746	6.368233	-3.895276	-11.737739	-8.140989	2.380186	2.903793	-1.719779	4.770211	-7.817198	-15.107778	-18.751045	1.178083
5	10	1	0.658985	6.138384	6.639844	7.794519	5.988712	5.840968	-2.086230	5.643725	-8.074755	1.959471	7.577106	5.899021	-1.835063	0.699024	-13.686622	1.139374	-12.060772	6.368233	-3.897153	-11.737740	-8.380291	2.380186	2.897517	-1.693336	4.770216	-7.811364	-15.102305	-18.751045	1.187183
5	10	1	-9.913983	0.150046	1.281962	8.078810	5.988982	5.840972	-3.721964	1.330712	-13.852186	2.360471	7.578653	1.629643	4.773745	0.644140	7.926387	7.641749	13.422428	-9.989156	7.672522	8.908627	10.072018	7.865605	2.038622	-10.397854	-10.384566	2.368107	-2.414417	5.311618	-1.546492
6	1	100	-12.173012	1.721884	-3.379726	7.018092	6.221986	7.785021	0.181321	-0.561339	-8.582601	6.742618	5.971366	3.083917	4.571351	2.062077	-12.485153	0.139820	-17.683076	1.515474	4.898771	-5.469739	-6.530214	4.739356	-7.141722	-1.692909	6.044337	-5.296768	-15.452889	-6.535890	-3.286575
7	1	100	-6.492797	5.099530	3.999286	6.399084	5.331331	5.743393	-1.803931	-2.613733	-1.284041	8.196618	5.510124	1.233885	7.585125	0.999050	-18.388273	1.467031	-18.958399	5.492859	-4.976700	-17.559309	-17.472516	3.471106	-3.792510	6.326679	7.027658	-17.693541	-17.758365	-14.167657	-4.358517
8	3	58	10.344018	5.109337	7.141591	0.226091	1.330262	0.651405	7.234410	5.216281	6.939903	-1.080662	-3.092868	5.799084	2.812733	3.455370	-14.360822	-0.085445	-19.123560	6.159487	-2.843623	-17.520055	-16.172435	-2.965550	-12.390813	7.239092	7.192437	-16.924153	-6.757969	-14.749515	0.877207
8	3	41	10.344018	5.109337	7.141591	0.226091	1.330262	0.651405	7.234410	5.216281	6.939903	-1.080662	-3.092868	5.799084	2.812733	3.455370	-11.470133	-0.085435	-11.946825	3.828029	5.050271	-12.887001	-13.262417	-2.965548	-11.516147	4.332655	1.958811	-12.143210	-8.426661	-9.043019	-4.068237
8	3	1	10.344018	5.109337	7.141591	0.226091	1.330262	0.651405	7.234410	5.216281	6.939903	-1.080662	-3.092868	5.799084	2.812733	3.455370	1.813051	6.214892	3.559058	1.221335	9.312720	-3.821223	2.912015	2.676376	0.265482	-0.246644	-6.383646	5.992963	-0.246659	-2.592222	2.995193
9	2	94	9.906138	5.969339	7.108360	-4.787030	0.058928	0.578581	6.509633	4.848667	4.936829	-3.448574	3.042135	7.365888	-1.978987	6.344105	-18.280015	0.978050	-22.994724	8.005832	-5.097904	-16.425843	-10.943338	0.435605	-14.025336	3.320935	5.893971	-10.778536	-19.520227	-12.052031	-3.040276
9	2	6	9.906138	5.969339	7.108360	-4.787030	0.058928	0.578581	6.509633	4.848667	4.936829	-3.448574	3.042135	7.365888	-1.978987	6.344105	-12.743422	0.978050	-12.028197	1.900271	5.074954	-7.900174	-3.043836	0.435605	-8.134942	-0.664943	-0.717037	-1.025466	-14.552691	-7.004365	-1.093984
10	4	26	-1.913461	4.270392	4.328965	5.758864	6.477177	7.420264	-1.347169	2.373767	-2.957350	6.841942	5.545966	3.316470	5.496600	7.174166	-21.857481	1.070597	-20.116482	4.750871	-9.295535	-18.178288	-15.605761	0.508935	-11.052057	7.064134	7.718878	-13.996676	-17.443778	-15.701784	-3.077003
10	4	70	8.613723	5.639821	4.329183	0.554523	4.315632	3.974677	5.264809	6.502098	2.685345	-4.038921	1.765179	8.416449	-0.773643	7.846747	-19.625652	1.070597	-20.116482	4.750871	-9.295535	-18.178288	-15.605656	0.508953	-11.052057	7.064134	7.718878	-13.996676	-17.443778	-15.701771	-3.077003
10	4	3	8.613723	5.639821	4.329183	0.554523	4.315632	3.974677	5.264809	6.502098	2.685345	-4.038921	1.765179	8.416449	-0.773643	7.846747	10.407298	6.843353	7.706421	-8.055361	9.481035	-4.962424	7.771415	6.079402	8.662444	-3.486948	-10.711598	2.165722	-4.704272	-1.275222	-4.072688
10	4	1	-1.913461	4.270392	4.328965	5.758864	6.477177	7.420264	-1.347169	2.373767	-2.957350	6.841942	5.545966	3.316470	5.496600	7.174166	8.167706	6.843353	7.706342	-8.055360	9.481035	-4.962712	7.766317	6.065633	8.662444	-3.486948	-10.711598	2.165722	-4.704272	-1.275490	-4.072567
11	2	76	-11.724772	-0.653511	0.028805	8.059967	6.002352	7.139936	0.588374	-0.032993	-9.718995	6.117534	7.465282	1.448928	7.159916	-0.660656	-19.782995	2.590478	-22.172488	6.983298	-7.723309	-8.098947	-13.557744	4.214654	-6.191598	5.825788	6.429303	-15.731983	-17.326022	-11.265901	-3.899443
11	2	24	-11.724772	-0.653511	0.028805	8.059967	6.002352	7.139936	0.588374	-0.032993	-9.718995	6.117534	7.465282	1.448928	7.159916	-0.660656	7.476756	7.755847	12.157459	-8.662595	8.265253	9.305213	8.930130	6.528582	8.001186	-8.853369	-13.789101	-2.802824	-2.548250	4.904142	-8.277053
12	10	28	5.399591	5.649256	6.993946	5.315108	-2.074169	-4.007612	7.762825	6.099705	0.443671	0.763373	1.147274	6.144983	-0.540814	2.335390	4.093277	5.150748	9.438091	-3.825044	12.593643	-5.749086	5.870309	8.738614	3.414145	-7.620246	-12.491683	4.968867	-8.222994	-2.277815	-4.420939
12	10	29	5.399591	5.649256	6.993946	5.315108	-2.074169	-4.007612	7.762825	6.099705	0.443671	0.763373	1.147274	6.144983	-0.540814	2.335390	-0.424042	3.617784	1.225495	-1.515881	6.472378	-5.751759	-0.161578	4.517008	1.701777	-2.795817	-8.115406	8.361425	-10.955450	-7.590719	-0.332690
12	10	22	5.399591	5.649256	6.993946	5.315108	-2.074169	-4.007612	7.762825	6.099705	0.443671	0.763373	1.147274	6.144983	-0.540814	2.335390	10.563126	5.150748	13.677912	-9.755444	12.610387	6.353640	10.704468	8.899061	3.437192	-14.150032	-18.292813	4.967211	-2.285971	4.058421	-10.460498
12	10	10	-1.866249	0.594380	5.129093	6.278807	-2.071104	-4.006873	1.580866	2.590633	-0.011790	6.644626	1.526975	1.774483	5.522723	1.724787	9.397694	5.150748	13.677852	-9.755444	12.610387	6.353640	10.704468	8.899058	3.437192	-14.150032	-18.292813	4.967211	-2.285971	4.058421	-10.460498
12	10	4	-1.866249	0.594380	5.129093	6.278807	-2.071104	-4.006873	1.580866	2.590633	-0.011790	6.644626	1.526975	1.774483	5.522723	1.724787	2.923789	5.150722	9.065724	-3.818866	11.668525	-5.749091	5.863518	7.721367	3.414196	-7.615666	-12.440333	4.969695	-8.223186	-2.279214	-4.369122
12	10	3	5.399591	5.649256	6.993946	5.315108	-2.074169	-4.007612	7.762825	6.099705	0.443671	0.763373	1.147274	6.144983	-0.540814	2.335390	6.540634	5.150748	5.151983	-3.403651	1.140504	4.758940	6.675867	8.898010	-0.708344	-5.585210	-16.022717	1.814598	8.116447	2.540168	6.488906
12	10	1	-1.866249	0.594380	5.129093	6.278807	-2.071104	-4.006873	1.580866	2.590633	-0.011790	6.644626	1.526975	1.774483	5.522723	1.724787	-3.030309	-0.678989	-0.580130	-0.649185	5.203144	-5.758054	-0.817430	4.498466	-0.164563	-2.825173	-7.746542	5.636611	-10.110831	-8.108750	2.960393
12	10	1	-1.866249	0.594380	5.129093	6.278807	-2.071104	-4.006873	1.580866	2.590633	-0.011790	6.644626	1.526975	1.774483	5.522723	1.724787	-2.120145	-0.461301	0.325758	-1.255466	5.826043	-5.753568	-0.713536	4.498959	0.323377	-1.274600	-8.012232	7.129309	-11.770149	-7.728119	1.215846
12	10	1	-1.866249	0.594380	5.129093	6.278807	-2.071104	-4.006873	1.580866	2.590633	-0.011790	6.644626	1.526975	1.774483	5.522723	1.724787	5.375564	5.150748	5.136210	-3.400109	1.140454	4.758874	6.676187	8.887251	-0.708217	-5.585185	-16.011962	1.814663	8.116425	2.539962	6.488900
