6	2	4.359337	-10.162463	-20.591490	-9.529500	8.073274	-10.925886	-15.877684	-12.091738	-3.913425	7.479379	-7.409940	11.325851	-5.002073	8.425813	9.834082	8.107069	-3.037145	-23.315730	-15.303005	6.615491	4.554166	7.818737	10.247227	10.848430	9.344063	8.044860	6.210494	1.462808	6.655112	-9.873192	7.537881	8.357965	5.342568	-9.180967	7.409736	3.645616	-0.513064	6.016428	7.479379	8.290874	-6.855927	5.739493	8.425813	9.834082	8.107069	-3.037145	-23.315730	-15.303005	6.615491	4.554166	7.818737	10.247227	10.848430	9.344063	8.044860	6.210494	1.462808	6.655112
13	2	6.222942	-14.222063	-16.584267	-2.819372	9.480461	-8.094312	-13.238713	-5.831413	-5.373630	-14.526320	-13.641457	11.311932	-8.506813	6.509636	-3.306915	-1.271254	4.727109	12.159640	9.467287	-7.654394	-9.131464	-7.644016	-13.760760	-24.785764	-20.504163	-4.691065	-4.570011	8.233883	-6.527120	-8.122852	2.850526	10.133722	7.692621	-16.716740	5.611582	7.286548	5.567150	5.550294	-14.526320	4.349798	-10.112750	3.109933	6.509636	-3.306915	-1.271254	4.727109	12.159640	9.467287	-7.654394	-9.131464	-7.644016	-13.760760	-24.785764	-20.504163	-4.691065	-4.570011	8.233883	-6.527120
14	2	-9.614779	6.263630	9.110401	5.488021	-15.671937	8.078255	3.954153	6.121103	6.822469	-16.626989	5.394673	-10.706325	7.263417	8.820601	-1.196600	2.912335	6.312292	7.084033	6.128133	-5.726841	-13.123157	-4.231483	-16.739608	-17.447910	-23.184365	-5.243834	-6.176520	6.881095	-8.497728	6.240652	-12.323838	-16.654056	-10.574125	9.703132	-8.328600	-15.454205	-5.232420	-3.874285	-16.626987	-11.726693	8.148508	-2.092552	8.820601	-1.196600	2.912335	6.312292	7.084033	6.128133	-5.726841	-13.123157	-4.231483	-16.739608	-17.470411	-23.152233	-5.243857	-6.176520	6.881095	-8.497161
26	2	7.908658	-9.113618	-18.425809	-10.584763	7.509965	-8.234951	-21.218655	-4.215959	-3.061489	-12.290187	-8.743274	8.327279	-1.942959	7.427390	1.551168	-3.930837	4.686283	9.128868	7.347766	-8.817041	-8.455176	-8.908020	-12.234340	-24.394864	-19.616796	-1.317711	-3.750114	7.565069	-10.607670	-7.084012	6.120248	9.574385	4.243046	-17.702485	7.950392	2.494814	4.676602	6.584449	-12.290185	6.635974	-14.301219	6.272667	7.427390	1.551168	-3.930837	4.686283	9.128868	7.347766	-8.817041	-8.455176	-8.908020	-12.210289	-24.394864	-19.616796	-1.317714	-3.750114	7.565069	-10.607672
35	2	-6.699113	6.734963	8.961189	6.094027	-23.108367	6.554803	6.871124	5.367430	6.629313	-15.425167	7.457014	-16.781874	7.038958	6.317151	-0.362876	3.276304	7.243927	11.721705	6.863131	-5.795380	-7.050520	-9.351029	-22.512009	-16.056793	-24.182426	-1.437652	-5.701052	6.592080	-14.426762	7.277719	-8.827283	-15.354963	-11.589433	5.535616	-7.219604	-8.854334	-4.827812	-2.846976	-15.425167	-8.892645	10.312096	-2.700061	6.317151	-0.362876	3.276304	7.243927	11.721705	6.863131	-5.795380	-7.050520	-9.351029	-22.512009	-16.056793	-24.182426	-1.437652	-5.701052	6.592080	-14.426762
38	2	1.332453	-8.656055	-18.316784	-9.926451	10.694631	-12.742212	-14.203556	-8.317443	-5.452858	6.701557	-9.016071	8.675783	-3.762465	6.346471	5.627333	7.365370	-6.423908	-23.800489	-18.370911	6.062852	3.131318	4.360244	11.519567	6.742964	10.525847	7.393216	4.623517	4.193491	7.885453	-15.250066	5.385780	10.156307	5.155750	-10.013421	4.323676	2.035633	-2.236788	6.906426	6.701557	5.637519	-10.905802	4.984330	6.346471	5.627333	7.365370	-6.423908	-23.800489	-18.370911	6.062852	3.131318	4.360244	11.519567	6.742964	10.525847	7.393216	4.623517	4.193491	7.885453
47	2	-9.865381	7.688923	3.460346	5.708132	-15.446583	6.136849	5.835124	6.290273	1.855495	-15.276591	2.376850	-9.803904	7.787071	5.027386	-3.886962	-0.967429	4.504278	8.849302	4.492232	-1.227593	-7.808424	-11.120784	-13.447221	-18.076965	-20.080617	-8.916749	-3.846397	7.058407	-9.077344	5.454452	-5.446811	-16.204921	-12.640101	11.916248	-12.215293	-7.624616	-3.052614	-8.932374	-15.276591	-9.049788	10.625115	-1.843979	5.027386	-3.886962	-0.967429	4.504278	8.849302	4.492232	-1.227593	-7.808424	-11.120784	-13.447221	-18.075379	-20.080617	-8.916749	-3.846397	7.058407	-9.077344
50	2	-11.208253	5.106943	10.095878	8.856219	-17.717612	5.946225	5.953920	7.164382	9.470650	-10.064238	6.833802	-15.759414	2.876684	5.411390	-4.359892	-0.508866	6.020054	8.153273	7.320063	1.245552	-14.980029	-4.365285	-11.671786	-24.074609	-28.215544	-5.098551	-2.808798	4.532468	-7.450064	6.614719	-13.047873	-15.616419	-4.748987	7.728199	-9.210692	-12.901265	-2.196947	0.792818	-10.064238	-8.643097	9.858234	-9.028510	5.411390	-4.359892	-0.508866	6.020054	8.153273	7.320063	1.245552	-14.980029	-4.365285	-11.671664	-24.074609	-28.215544	-5.098551	-2.808798	4.532467	-7.450064
52	2	7.392656	-7.144584	-17.786734	-10.572154	10.938343	-7.749002	-10.366599	-2.850040	-1.918688	-17.378155	-7.189224	10.497482	-1.736127	4.055079	-2.905193	2.573165	6.147027	3.909695	4.578127	0.174131	-8.397254	-6.654500	-10.784766	-25.949597	-19.293438	-3.824948	-4.669648	6.120879	-9.903190	-4.404159	7.943452	9.674136	6.810498	-15.033080	7.501328	6.473012	8.440666	6.842329	-17.378155	7.832281	-17.380640	5.053796	4.055079	-2.905193	2.573165	6.147027	3.909695	4.578127	0.174131	-8.397254	-6.654500	-10.784766	-25.949597	-22.238124	-3.824948	-4.669648	6.120879	-9.903190
59	2	3.186844	-11.385490	-19.797442	-6.632879	6.971211	-8.607882	-16.488822	-8.207699	-2.069900	-9.919090	-9.057936	6.576213	-1.400286	6.567037	-0.052258	-0.300359	6.644227	11.529574	6.126794	-2.276488	-9.819776	-9.085755	-19.291732	-15.211899	-19.837247	-5.690473	-6.561922	6.733897	-3.842580	3.186844	-11.385490	-19.797442	-6.632879	6.971211	-8.607882	-16.488822	-11.389592	-2.069900	7.887649	-9.057936	6.576213	-1.400286	6.567037	5.286163	5.942396	-0.269168	-18.028887	-15.021199	7.734842	6.593106	8.159635	7.971696	9.456427	8.922358	6.726817	6.452031	0.258163	6.082850
