point_label,module_abbr,network_T_s,module_T_s,module_pheno_score,impurity,density,intra_density,inter_density,p_s_type
AS(AS_AS),AS,0.708829365079365,0.6817941673710906,-2.0,0.0,0.20833333333333334,0.16666666666666666,0.2708333333333333,dominant
C(AS_C),C,0.2928583168967784,0.42429315476190477,2.0,0.078125,0.10666666666666667,0.13194444444444445,0.08333333333333333,dominant
AS(AS_C),AS,0.2928583168967784,0.6817941673710906,2.0,0.078125,0.10666666666666667,0.13194444444444445,0.08333333333333333,dominant
E(AS_E),E,0.4654448088759313,0.687389770723104,-2.0,0.0,0.12615384615384614,0.1305732484076433,0.12202380952380952,dominant
AS(AS_E),AS,0.4654448088759313,0.6817941673710906,2.0,0.0,0.12615384615384614,0.1305732484076433,0.12202380952380952,dominant
M(AS_M),M,0.48963176246830087,0.4442857142857143,2.0,0.0,0.1380952380952381,0.13679245283018868,0.13942307692307693,dominant
AS(AS_M),AS,0.48963176246830087,0.6817941673710906,-2.0,0.0,0.1380952380952381,0.13679245283018868,0.13942307692307693,dominant
AS(AS_PS),AS,0.3133441916014984,0.6534559961561062,-1.8461538461538463,0.11290322580645161,0.13333333333333333,0.10942760942760943,0.17559523809523808,dominant
PS(AS_PS),PS,0.3133441916014984,0.12723097718915685,-1.8333333333333335,0.11290322580645161,0.13333333333333333,0.10942760942760943,0.17559523809523808,dominant
AS(AS_RS),AS,0.5785592501942304,0.676920518256322,2.0,0.013888888888888888,0.1422924901185771,0.1099290780141844,0.18303571428571427,dominant
RS(AS_RS),RS,0.5785592501942304,0.8799232075895493,2.0,0.013888888888888888,0.1422924901185771,0.1099290780141844,0.18303571428571427,dominant
C(C_AS_RS),C,0.4345274108036663,0.42373511904761907,1.75,0.011235955056179775,0.08971774193548387,0.083984375,0.09583333333333334,dominant
AS(C_AS_RS),AS,0.4345274108036663,0.676920518256322,-2.0,0.011235955056179775,0.08971774193548387,0.083984375,0.09583333333333334,dominant
RS(C_AS_RS),RS,0.4345274108036663,0.8799232075895493,-2.0,0.011235955056179775,0.08971774193548387,0.083984375,0.09583333333333334,dominant
C(C_C),C,0.6428571428571428,0.42429315476190477,2.0,0.0,0.19444444444444445,0.28125,0.125,dominant
M(C_M),M,0.6807142857142857,0.6285714285714286,-2.0,0.0,0.1625,0.20833333333333334,0.11666666666666667,dominant
C(C_M),C,0.6807142857142857,0.517423115079365,2.0,0.0,0.1625,0.20833333333333334,0.11666666666666667,dominant
