state_type,network_T_s,intra_module_T_s,raw_module_T_s,inter_module_sum_T_s,intra_module_sum_T_s,inter_module_T_s,impurity,density,intra_density,inter_density
dominant_module,-0.2722,0.5016,0.5016,0.2463,0.3738,-0.0039,-0.1563,-0.2822,-0.3215,0.0016
top30_module,-0.2681,0.502,0.502,0.2462,0.3777,-0.0074,-0.1604,-0.2788,-0.3142,-0.0036
top60_module,-0.2704,0.4864,0.4864,0.2113,0.3567,-0.003,-0.1617,-0.3076,-0.3161,-0.0329
dominant_network,-0.1517,0.1634,0.1634,0.2773,0.2585,0.213,-0.0736,-0.0349,-0.3366,0.3372
top30_network,-0.056,0.1797,0.1797,0.2451,0.2842,0.1883,-0.1025,0.0832,-0.1725,0.2801
top60_network,0.3665,0.0271,0.0271,0.5369,0.0429,0.4124,-0.311,0.3266,-0.2126,0.7174
PC1_var,0.5461,-0.0274,-0.0274,0.7454,-0.0434,0.5726,-0.4272,0.3908,0.0717,0.4625
NumPC_90,-0.4523,-0.5343,-0.5343,-0.143,-0.8452,-0.1098,-0.0636,-0.5463,-0.1946,-0.5316
