1	5	10	-9.015294	8.225033	6.209383	5.702009	-12.808600	6.724323	7.780198	6.059164	5.621588	6.955146	-2.919980	-15.122532	5.890189	-21.134485	2.039710	-14.884653	6.494857	-3.414179	-19.640753	-9.741622	1.510481	1.292616	10.106017	-11.927744	-12.474915	-14.755793	3.058362
1	5	24	-9.014202	8.225033	6.201296	5.702009	-12.808600	6.724318	7.780183	6.059164	3.236853	6.856027	2.262425	-15.122532	5.890177	-13.575366	2.042182	-8.202157	4.891480	1.024934	-13.953088	-6.226602	1.510481	0.179020	5.707513	-5.897181	-7.694558	-13.971099	2.647740
1	5	21	7.749631	-6.152621	-17.494566	-8.443830	10.135347	-3.542396	-16.967055	-6.525910	-2.381695	-3.372240	-2.920058	8.478635	-6.759229	-21.134493	2.039710	-14.884676	6.494857	-3.414180	-19.640753	-9.741674	1.510481	1.292616	10.106017	-11.927744	-12.474915	-14.755793	3.058363
1	5	44	7.749631	-6.156634	-18.459404	-8.487690	10.135538	-3.543507	-16.988724	-6.527269	-4.766442	-5.261073	2.262425	8.478635	-6.760619	-13.575366	2.042182	-8.202157	4.891480	1.024934	-13.953088	-6.226602	1.510481	0.179020	5.707513	-5.897181	-7.694558	-13.971099	2.647740
1	5	1	-9.014908	8.225033	6.206510	5.702009	-12.808600	6.724322	7.780198	6.059164	4.301352	6.919200	0.712242	-15.122532	5.890185	5.477751	6.849172	6.679886	-4.086784	0.796970	1.685991	8.044095	5.772210	-4.578300	-0.054767	-4.003216	5.412009	1.281079	12.529404
2	4	7	6.543372	-10.328584	-17.872571	-8.475160	12.130995	-8.764307	-15.181214	-3.664679	-7.669786	-12.204934	3.254884	11.998392	-8.450123	4.707936	9.011537	12.832161	-9.108130	10.894637	7.192624	10.738197	5.110469	-10.147932	-12.725517	5.690086	-3.439895	5.099720	-9.216994
2	4	69	6.543372	-10.328584	-17.872571	-8.475160	12.130995	-8.764309	-15.181191	-3.664679	-5.270120	-12.204872	-12.556076	11.998392	-8.450123	-25.764292	2.770102	-25.488151	6.500683	-7.000222	-13.300343	-16.647942	-0.890435	8.488965	9.895753	-13.009341	-18.553807	-14.600889	-4.337445
2	4	23	-9.345676	5.966931	9.168282	7.662285	-14.630088	9.053139	5.492402	7.875018	7.406780	4.116248	-12.556076	-11.240286	2.986984	-25.764292	2.770102	-25.488151	6.500683	-7.000222	-13.300343	-16.647942	-0.890435	8.488965	9.895753	-13.009341	-18.553807	-14.600889	-4.337445
2	4	1	-9.345676	5.966931	9.168282	7.662285	-14.623756	9.053139	5.491673	7.875018	5.007114	4.116248	3.254884	-11.240293	2.986984	4.707936	9.011537	12.832161	-9.108130	10.894637	7.192624	10.738197	5.110469	-10.147932	-12.725517	5.690086	-3.439895	5.099720	-9.216994
3	4	20	6.515936	-6.255245	-17.013535	-11.038546	10.085355	-5.604359	-14.460969	-7.219190	-1.872574	-9.531335	0.697155	9.537718	-7.816390	7.506842	4.466228	9.218723	-10.809585	8.790339	7.358399	8.685283	4.955732	-5.652102	-2.999582	3.229907	-6.979302	4.179709	-6.815799
