state_type,network_T_s,intra_module_T_s,raw_module_T_s,inter_module_sum_T_s,intra_module_sum_T_s,inter_module_T_s,impurity,density,intra_density,inter_density
dominant_module,-0.046,0.5879,0.5538,0.6881,0.7671,0.6196,-0.6168,-0.3064,-0.4344,0.1085
top30_module,-0.0223,0.5907,0.5678,0.6792,0.7666,0.6198,-0.6192,-0.2941,-0.4133,0.0976
top60_module,0.0769,0.611,0.5828,0.6703,0.6975,0.5628,-0.6306,-0.3003,-0.362,0.045
dominant_network,-0.3574,0.4144,0.2825,0.7854,0.7922,0.6074,-0.621,-0.2644,-0.572,0.3148
top30_network,-0.2398,0.422,0.3655,0.7571,0.8067,0.5855,-0.6562,-0.196,-0.4633,0.2644
top60_network,-0.2911,0.2502,0.1772,0.8712,0.4782,0.6737,-0.5928,0.0209,-0.316,0.4224
PC1_var,0.1189,0.1796,0.1542,0.727,0.3433,0.5623,-0.4272,0.3908,0.0717,0.4625
NumPC_90,-0.3323,-0.2229,-0.4845,-0.1351,-0.4262,-0.1045,-0.0636,-0.5463,-0.1946,-0.5316
