1	3	66	-20.915183	-13.007412	-10.474909	-22.580091	0.827253	6.342525	3.384413	3.970247	6.522567	5.013423	3.629687	-2.895340	1.299457	8.057161	-14.010867	6.573790	3.824831	5.245058	2.383912	6.868988	6.629611	5.878863	-17.635524	-5.450228	-14.451650	-13.662426	-10.463653	-7.647222	-17.956539	-11.983434	-7.905396	-1.717399	-7.653626	-16.083821	-11.193654	-8.858707	5.212144	5.102315	-12.719964	-7.283908	-11.222686	-14.891759	-16.088705	-10.869835	-35.972018	1.438485	-22.889032	-22.377232	-0.606559	9.110289	4.929856	-10.183171	-10.965955	-16.700162	3.648466	6.349814	6.839241	7.736326	-4.686666	-9.290545	-22.851185	5.760374	7.376190	6.671867	9.193901	12.567891	7.353760	3.767176	7.392178	-1.673033	6.084070
1	3	22	-20.915183	-13.007412	-10.474909	-17.412716	0.827253	6.342525	3.384413	3.970247	6.522567	5.013423	3.629687	-2.895348	1.299457	8.057143	-14.010873	6.573790	3.824831	5.245058	2.383912	6.868988	-7.879145	9.947480	-17.635524	0.629872	-14.451693	-13.677455	-10.463653	-7.647222	-13.143951	-6.863374	-5.169088	4.783186	-7.651312	-10.481166	-13.859169	-8.858707	11.758326	11.439669	-17.528240	-7.319503	-11.227508	-14.924367	-16.088705	-10.879253	-35.972026	-3.843213	-24.075545	-22.980828	-0.606559	9.406065	10.259227	-10.180003	-10.965880	-16.700191	3.697124	6.349814	0.737701	1.163547	5.295710	8.796724	7.419187	-5.272001	-6.834406	-11.665924	-14.966899	-17.930141	-19.542879	-6.816698	-3.900851	4.439217	-6.786985
1	3	12	-16.690380	-13.007412	-10.474863	-7.938270	0.827253	1.510758	3.384357	3.970135	6.522567	5.016608	3.630280	3.092356	-3.049632	-5.049155	-5.804805	5.760338	3.824831	5.245058	2.383912	-6.871469	-7.879145	-11.032364	-17.635374	6.485713	0.311735	10.763822	6.886020	4.575881	5.749267	4.130502	8.887387	4.783186	4.736957	-10.481166	-13.859169	3.773515	11.758326	11.439669	-17.527618	-7.319503	-11.227508	-14.924367	-16.088705	-10.879253	-35.970793	-3.843213	-24.075545	-22.980828	-0.606559	9.406065	10.259227	-10.180003	-10.965880	-16.700191	3.697124	6.349814	0.737701	1.163547	5.295710	8.796724	7.419187	-5.272001	-6.834406	-11.665924	-14.966899	-17.927164	-19.542879	-6.816698	-3.900851	4.439217	-6.786985
2	10	11	-19.063528	-7.246613	-4.601816	-19.799947	-0.740845	6.931927	7.617730	5.850770	6.633396	0.152380	3.633867	-12.219130	5.045427	11.495875	-9.435728	8.343315	1.586142	6.156254	2.110858	7.818626	7.896421	8.020922	-13.872934	-6.184478	-15.618199	-7.462241	-13.469564	-10.454063	-13.243232	-10.204050	-6.639218	-0.210817	-6.124843	-3.786690	-4.713364	-5.752040	10.105983	-0.895356	2.647988	-1.635137	-17.019705	1.619467	2.183496	1.421835	-22.765659	12.025111	-19.099097	-21.673701	0.584991	6.638526	3.217648	-23.100086	-14.999935	-12.219995	-4.740181	7.621575	6.042319	6.189764	-1.603653	-14.634251	-23.608473	6.645371	6.767670	6.389688	4.824030	9.602823	9.294782	5.632250	6.013152	-0.380044	5.879518
2	10	29	-19.063528	-7.246613	-4.601816	-13.757736	-0.740846	6.931927	7.617730	5.850770	6.633396	0.152380	3.633867	-12.219130	5.045427	11.495875	-9.435728	8.343315	1.586142	6.156254	2.110858	7.818626	-3.543523	12.155190	-13.872934	-0.919688	-15.618199	-7.462241	-13.469564	-10.454088	-10.988122	-4.218272	-6.620935	5.441371	-6.118381	-4.686711	-14.508293	-5.752040	14.140291	9.752759	-14.817718	-1.642863	-17.031806	-7.219494	-14.350054	-8.622643	-27.662541	-2.861374	-22.046870	-28.560104	0.584968	12.185851	8.255929	-19.553241	-13.570654	-12.223285	0.557188	7.621575	2.645667	0.330039	10.494269	6.703675	6.310175	-1.131550	-10.478239	-5.850384	-15.082289	-25.839504	-23.773061	-5.133200	0.549214	1.866774	-6.302855
2	10	8	6.454088	5.263426	6.761282	3.084310	3.652214	-4.965664	0.227678	-3.924343	2.274768	6.285194	8.367892	7.082253	-3.817071	11.495874	7.486430	1.807829	6.218050	4.251645	8.684726	7.818626	-3.543523	8.017035	2.279853	3.340054	-9.211368	-7.462240	-13.469503	-10.454063	-7.209108	-4.218272	-7.823729	-0.230856	-6.047665	2.988107	-4.710616	-5.752040	3.971201	-2.365193	10.667441	-1.635131	-17.031806	7.770385	9.755108	1.424307	-12.600324	13.757844	-22.012965	-13.050674	0.612758	6.638521	8.227753	-23.100086	-14.999935	-12.219837	-4.740203	7.621575	2.645667	0.330038	4.174433	6.701620	6.307679	-1.131550	-10.477828	-5.721774	-15.080923	-25.838556	-23.771524	-5.133200	0.549214	1.866774	-6.302855
2	10	1	4.000815	4.014561	5.534185	-6.725492	3.569184	-4.965664	2.485474	0.854824	6.633396	6.238038	8.367892	3.588620	-3.817070	11.495875	7.436338	1.807829	6.218043	4.251663	2.110859	7.818626	7.896421	7.939010	-3.672890	-1.924737	-15.618199	-7.462240	-13.469564	-10.454060	-13.157827	-10.204050	-15.271000	-1.775969	-6.149049	0.424037	12.894831	-5.752040	-7.690627	-18.307802	10.955396	9.174430	-5.347837	7.754255	3.785032	4.976500	7.894244	4.375044	6.233765	6.509666	6.447879	-5.321723	-14.763483	-4.781368	-6.814370	-0.492639	-9.646392	7.621575	6.042319	0.122704	-2.369587	-14.958263	-21.521716	6.645371	6.773326	6.394739	4.425211	9.662060	9.276944	5.632342	6.013152	-0.380044	5.879524
2	10	4	6.454088	5.263427	6.761287	3.085191	3.652214	-4.965664	0.227678	-3.924343	2.274768	6.285194	8.367892	7.082253	-3.817071	11.495874	7.486430	1.807829	6.218050	4.251645	8.684726	7.818626	-3.418352	7.979897	2.279853	3.340053	-9.211368	-7.462240	-13.469503	-10.454062	-7.209126	-4.218533	-8.296306	-0.622826	-6.049942	6.717321	-3.725025	-5.752040	-3.340410	-4.733241	10.974210	4.088696	5.439344	7.770397	9.901414	4.976501	9.825268	-1.822378	7.636431	9.312043	6.449962	0.391084	-6.693688	-10.933775	8.275883	5.911985	1.702679	7.621575	2.646475	-9.770521	-4.757239	-10.582087	-17.234059	-1.051827	6.773755	6.395457	-1.202813	3.238886	7.300617	5.456808	6.013135	-0.380044	-0.621673
2	10	1	4.000815	4.014561	5.534186	-6.725278	3.569184	-4.965664	2.485474	0.854824	6.633396	6.238038	8.367892	3.588620	-3.817070	11.495875	7.436338	1.807829	6.218043	4.251663	2.110859	7.818626	7.896421	7.930372	-3.672890	-1.924737	-15.618199	-7.462240	-13.469564	-10.454060	-13.157718	-10.204050	-9.848558	-2.901715	-6.148762	0.741367	-3.714348	-5.752040	-2.723928	-6.800846	11.050013	4.088734	5.439344	7.770377	9.929889	4.976501	9.263542	-1.807360	7.642864	9.037026	6.449609	0.390992	-11.704140	-10.934006	8.275654	5.911883	1.702482	7.621575	6.042319	-4.198257	-7.011910	-19.150204	-26.382266	6.645371	6.773755	6.396056	2.001220	8.766654	8.926715	5.630445	6.013152	-0.380044	5.879394
2	10	21	-19.063528	-7.246613	-4.601816	-19.799947	-0.740846	6.931927	7.617730	5.850770	6.633396	0.152380	3.633867	-12.219130	5.045427	11.495875	-9.435728	8.343315	1.586142	6.156254	2.110858	7.818626	7.884297	8.020922	-13.872934	-6.184478	-15.618199	-7.462240	-13.469564	-10.454063	-13.243331	-10.204050	-6.614098	-0.210815	-6.123990	-10.661348	-10.916876	-5.752040	12.212622	5.278554	-10.810246	-1.640737	-17.020997	-7.218774	-12.505526	-8.622614	-29.639001	2.014680	-19.139772	-28.529030	0.584967	11.173888	3.244886	-21.825988	-14.476742	-12.222378	-0.466147	7.621575	6.042319	6.189764	2.733165	-8.502210	-14.063463	6.645297	0.442991	1.763404	-0.947697	-4.723945	1.419530	1.374149	4.787304	-0.379271	4.725024
