module_abbr,source_network,l_max,raw_module_T_s
AS,Single_AS,5,0.35050886252559266
C,Single_C,5,0.26601484603572
E,Single_E,5,0.5708603020496222
M,Single_M,5,0.264502427184466
PS,Single_PS,5,0.20936523323253428
RS,Single_RS,5,0.5776024811218986
