module_abbr,source_network,l_max,raw_module_T_s
AS,Single_AS,7,0.7094780219780218
C,Single_C,7,0.6303125
E,Single_E,7,0.8829365079365077
M,Single_M,7,0.5017857142857143
PS,Single_PS,7,0.12722322628632415
RS,Single_RS,7,0.8807043650793651
