module_abbr,source_network,l_max,raw_module_T_s
AS,Single_AS,7,0.34440166622253815
C,Single_C,7,0.26069687018860654
E,Single_E,7,0.5712567359507313
M,Single_M,7,0.26498989607390294
PS,Single_PS,7,0.20918472130611215
RS,Single_RS,7,0.577992686682063
