module_abbr,source_network,l_max,raw_module_T_s
AS,Single_AS,2,0.6781593406593406
C,Single_C,2,0.5326206140350876
E,Single_E,2,0.6680856756851599
M,Single_M,2,0.3833333333333333
PS,Single_PS,2,0.30074644777265747
RS,Single_RS,2,0.6911458333333333
