module_abbr,source_network,l_max,raw_module_T_s
AS,Single_AS,10,0.3444122856668458
C,Single_C,10,0.26070868351022664
E,Single_E,10,0.5712636807749939
M,Single_M,10,0.265000899715988
PS,Single_PS,10,0.20918116534778924
RS,Single_RS,10,0.5779995223967536
