module_abbr,source_network,l_max,raw_module_T_s
AS,Single_AS,5,0.6111700680272109
C,Single_C,5,0.5121139430284858
E,Single_E,5,0.836111111111111
M,Single_M,5,0.39499999999999996
PS,Single_PS,5,0.1757142656302318
RS,Single_RS,5,0.8329861111111111
