1	5	4.950060	1.061954	-7.676873	-2.867347	-2.766558	-2.307411	0.412691	-1.071754	6.815474	-2.467963	2.121176	6.580706	11.162672	6.859542	-8.340923	-12.615021	-6.455663	-10.530686	-16.333236	-25.102322	-1.071593	0.866814	9.118249	-11.496125	-7.969165	6.275650	-7.676873	2.622962	4.138174	-16.198308	-2.899504	-9.128543	6.815474	-2.467963	2.121176	6.826921	11.162672	6.859542	-8.340924	-12.615021	-6.455663	-10.585178	-16.333374	-25.154855	-1.071593	0.866814	9.118249	-11.496125	7.374406	1.061948	-7.676873	-9.278234	-9.432170	9.983033	4.937863	7.754007	6.815474	-2.467963	2.121176	2.120673	11.149431	6.859381	-8.340904	-12.614834	-4.498781	-8.335423	-14.846888	-18.664515	-1.071593	0.866814	9.118249	-11.496125	0.574241	-0.406529	7.064485	-4.887566	-6.315473	-1.790984	0.560444	-0.866397	6.815474	3.460208	6.142479	-4.790567	-10.813712	-7.121683	0.740461	6.646838	8.561184	9.102400	9.721209	5.641976	6.455113	6.684218	3.126613	6.728644	2.966645	-4.007433	7.064485	-13.903673	-15.071843	10.234721	4.939526	7.754178	6.815474	3.460208	6.142479	-9.216510	-10.813713	-7.122206	0.740460	6.646839	8.561184	9.128575	9.721211	5.642115	6.455113	6.684218	3.126614	6.728644
2	5	-9.018916	7.962578	-16.416934	6.436202	6.464620	-19.840944	-1.771691	-7.221297	6.599016	-1.572094	0.376916	7.711923	10.219767	7.547925	-4.396427	-11.900815	-10.838900	-14.262799	-16.733886	-29.341574	-2.075308	-5.131494	5.782474	-3.852823	-9.616076	2.943103	7.080481	0.224702	4.188803	-16.449332	-1.723254	-7.221297	6.599016	4.736243	6.293922	-2.432992	-14.590544	-11.671409	6.583747	7.245742	3.855407	6.650476	10.220395	4.750772	4.925730	7.923970	-0.543591	7.309256	1.379351	-3.388131	7.080481	-4.779992	-4.106269	-5.447913	2.971990	-0.907860	6.599016	4.736243	6.293922	-2.567012	-14.609618	-11.776797	6.583747	7.245958	3.855539	6.650548	10.220989	4.750801	4.925731	7.923970	-0.543591	7.309256	5.945975	-3.645574	7.080481	-8.673399	-9.205675	11.188281	5.464147	6.594066	6.599016	4.736243	6.293922	-6.290143	-14.670922	-13.900082	6.583747	7.246324	3.855951	6.650920	10.223883	4.750860	4.925732	7.923970	-0.543591	7.309256	7.903206	1.373900	-16.416934	-2.461889	-7.491700	10.870821	5.464062	6.594066	6.599016	-1.572094	0.376916	3.854772	10.219254	7.343938	-4.396427	-11.900568	-10.821417	-14.247283	-21.142709	-29.339336	-2.075308	-5.131493	5.782474	-3.852823
3	5	-9.743126	6.671815	-10.063529	6.994076	9.255723	-17.984327	-4.963376	-9.255828	7.015412	-2.619059	0.713802	6.660762	9.848691	5.024134	-0.988505	-9.190432	-9.427687	-16.859230	-19.740811	-24.546242	-3.741004	-1.781780	4.734859	-9.253149	-14.148545	1.849340	6.259783	2.885568	7.447722	-11.579791	-4.963376	-9.255828	7.015412	3.587547	6.245309	1.034728	-19.397816	-14.818700	6.325926	4.268137	6.580750	6.289868	8.053524	6.927408	6.649343	5.670336	3.094267	4.508713	2.242835	-3.722835	6.259783	-9.528232	-10.995961	10.119377	7.092795	7.506785	7.015412	3.587547	6.245309	-4.764464	-22.823621	-17.844155	6.325926	6.150350	7.001101	7.211508	10.197343	9.558932	6.652445	5.670336	3.094267	4.508715	6.648265	1.096495	-10.063529	-5.490725	-9.318877	10.105172	7.092795	7.506785	7.015412	-2.619059	0.713802	0.861569	5.305537	0.732186	-0.988505	-1.446991	-2.588346	-11.859710	-15.513489	-20.419661	-3.739095	-1.781780	4.734859	-9.253149	6.647280	1.086508	-6.197376	-5.499049	-9.319345	10.105463	7.092795	7.506785	7.015412	-2.617522	0.713802	0.861569	-7.865689	-5.525838	-0.988504	4.598042	6.694974	-2.414808	2.835217	1.295027	6.504087	5.665112	3.097755	-1.898256
7	5	3.081425	-5.890699	7.033850	-9.760178	-13.736731	11.287225	5.905050	6.519218	6.494203	6.302364	5.659865	-12.705576	-19.667374	-12.420989	5.069258	6.173884	5.976108	10.885862	9.459837	8.581595	8.155046	6.591853	2.142247	8.476896	-12.655350	0.040016	7.033850	3.198431	1.519623	-12.218013	-3.239393	-7.864114	6.494203	6.302364	5.659865	-9.379669	-19.667369	-12.420989	5.069258	6.173884	5.976108	10.885857	9.459837	8.581595	8.155046	6.591853	2.142247	8.476896	-8.966915	6.328138	-10.273411	7.063104	5.966565	-15.785923	-4.984209	-11.142478	6.494203	0.212862	0.551603	1.182458	7.290949	2.793775	-5.290061	-4.396440	-10.653759	-8.345387	-13.875617	-18.397008	-2.536395	-4.569046	5.645066	-3.936080	6.478374	0.050353	-2.561848	-5.527122	-11.394437	9.457696	5.905045	6.518750	6.494203	0.218225	0.551723	-2.760678	-9.385006	-5.065692	-5.209493	6.173719	5.889883	5.712538	9.455980	8.575256	8.155046	6.591853	2.142247	2.230407	6.829213	0.050232	-10.273419	-5.505312	-11.517876	9.458102	5.905046	6.518798	6.494203	0.212862	0.551603	-2.143449	4.345691	0.753810	-5.290061	-3.831013	-1.810513	-4.134124	-11.333923	-14.618962	-2.536389	-4.569031	5.645066	-3.936080
12	5	6.978136	3.876878	-6.072592	0.340983	-7.681434	4.023411	6.946488	7.059727	5.463192	-1.416913	3.968492	-3.645930	-11.819975	-4.535807	-5.865698	8.086402	9.422903	-0.498863	7.505316	6.959337	6.192601	7.528471	2.357548	5.017214	-1.821748	1.466249	3.714357	-0.944037	-6.771298	-8.140856	1.303057	-2.795826	5.463192	4.797219	6.848906	-5.069004	-21.636555	-10.707661	5.086869	8.495560	9.423586	9.789015	12.113850	10.869998	6.207115	7.528473	2.357548	6.705234	-4.496262	7.604999	-16.213476	4.327909	6.842728	-13.341901	-5.065875	-9.236110	5.463192	-1.416992	3.965181	1.477162	5.487435	4.594872	-6.562677	-2.906342	-3.751752	-10.918722	-14.457722	-13.467555	-3.976527	-2.156370	7.028471	-5.896212	3.051519	3.938769	-6.072592	2.401130	0.070555	-2.793639	6.388755	5.142271	5.463192	-1.416913	3.968492	-3.639667	-11.819967	-4.535713	-5.865698	8.086379	9.422903	-0.499041	7.505173	6.958872	6.192596	7.528471	2.357548	5.017213	3.317630	-2.211306	3.714357	-6.784022	-16.251708	6.623162	6.946488	7.059727	5.463192	4.797219	6.848906	-10.189674	-21.636585	-10.708035	5.086869	8.495562	9.423586	9.803912	12.125899	10.870120	6.207115	7.528473	2.357548	6.705234
18	5	-2.408790	6.706652	-14.737256	6.776618	6.539077	-19.970850	-0.827110	-12.616650	5.522996	1.137808	-3.592860	7.682243	11.676717	9.145777	-0.995892	-11.801581	-5.954573	-12.956387	-18.050014	-12.510995	-2.549977	-5.292992	5.937321	-5.919857	1.841214	0.604426	-14.737256	0.901922	-3.016802	-4.527821	5.269584	-1.521392	5.522996	1.137808	-3.592860	7.680555	11.676717	9.145777	-0.995892	-11.801581	-5.954573	-12.956409	-18.050014	-12.510995	-2.549977	-5.292992	5.937321	-5.919857	-4.723712	0.216619	5.177100	0.511630	-2.993690	-4.543726	5.260029	-1.523134	5.522996	6.628588	2.072084	2.861714	-8.940755	-6.847005	6.849692	-2.060767	4.783782	2.049320	4.090458	1.922692	7.789969	5.471378	2.982866	6.239277	2.052734	0.574898	-14.737256	-4.903616	-6.590518	3.493369	5.892732	-1.461242	5.522996	1.137808	-3.592860	7.680330	11.676717	9.145777	-0.995892	-11.801581	-5.954573	-12.956377	-18.050014	-12.510995	-2.549977	-5.292992	5.937321	-5.919857	-4.578852	0.216619	5.177100	-4.103310	-5.141415	3.094554	5.778607	-1.467134	5.522996	6.628588	2.072084	2.861507	-8.940862	-6.847050	6.849692	-2.060696	4.783981	2.049800	4.090463	1.922738	7.789971	5.471378	2.982866	6.239277
26	5	7.492789	-0.243887	-14.160138	-6.850096	-8.408904	6.030754	8.287794	7.378186	6.274348	0.837170	0.114752	2.023488	9.978413	6.756678	-4.523814	-13.402277	-1.808973	-16.766831	-16.424532	-19.589470	-3.588396	-5.360419	8.725606	-7.364188	3.893541	-4.302891	8.451452	-13.556610	-13.425538	6.124374	8.295953	7.378195	6.274348	5.169441	6.497046	-6.886230	-20.593175	-14.454986	6.954983	2.859939	6.771781	6.030052	9.408271	5.869620	8.584427	5.661660	3.261211	9.247206	-0.588473	1.253479	8.451339	-3.263048	-4.185225	-10.635907	-2.820969	-3.556649	6.274348	5.169441	6.497046	-1.092462	-16.090975	-13.011713	6.954983	-0.326003	6.771776	5.038276	3.424065	4.026749	8.579830	5.584409	3.263091	9.247164	-8.193284	5.577166	-14.160138	4.292431	6.346717	-18.691514	-4.353334	-9.659472	6.274348	0.837170	0.114752	7.817269	9.979898	6.756864	-4.523814	-14.232103	-3.590367	-16.940652	-21.843000	-23.291927	-3.588396	-5.360465	8.725606	-7.363998	3.006858	-0.001006	-14.160138	-2.217253	-4.646462	-10.481156	-1.832071	-3.552521	6.274348	0.837170	0.114752	7.817257	9.979898	6.756864	-4.523814	-14.232103	-3.590367	-16.940652	-21.843000	-23.291927	-3.588395	-5.360465	8.725606	-7.364144
60	5	7.160200	2.972751	-11.888021	-3.462697	-13.382373	6.471758	5.431305	7.154612	7.060442	2.488467	3.986090	0.772188	10.985277	4.978384	-6.717083	-1.240194	-7.584326	-12.972016	-17.690220	-15.777601	-3.847378	-6.918634	6.427539	-1.414867	-5.786302	6.922486	-11.888021	7.037427	3.174619	-18.378960	-7.708410	-2.257542	7.060442	2.488467	3.986090	6.510177	12.904235	6.093070	-6.717083	-7.749170	-11.571835	-16.516081	-20.561561	-23.375022	-3.848522	-6.918634	6.427539	-1.414867	-4.713103	6.922484	-11.888021	7.037240	3.174590	-13.252865	-1.100420	3.617018	7.060442	2.488467	3.986090	0.940492	11.217032	5.225777	-6.717083	-1.256857	-8.177580	-13.457954	-17.835978	-15.861339	-3.847506	-6.918634	6.427539	-1.414867	1.843404	-1.039409	2.880671	-8.541924	-15.171681	8.537627	5.431305	7.154724	7.060442	7.174718	7.707275	-7.413259	-13.995039	-12.196582	0.636149	8.715324	6.522173	6.139350	10.086218	11.149026	6.991398	5.219301	5.029848	7.361736	-5.078369	2.772051	2.880671	1.965767	0.125301	-2.957177	1.487286	5.964866	7.060442	7.174718	7.707275	-7.413207	-13.995039	-12.196582	0.636149	8.715324	6.522173	6.139350	10.086217	11.149026	6.991398	5.219301	5.029848	7.361736
61	5	-10.041841	7.038699	-10.122664	6.144971	6.866035	-15.060132	-2.564246	-11.207636	6.896031	1.134771	-0.312293	4.476491	10.073165	6.542093	-1.087418	-5.145037	-5.849413	-14.515998	-18.414741	-20.511965	-7.320805	-1.437883	7.468373	-13.284486	7.813061	-2.062507	2.132110	-10.014278	-16.247057	8.186687	8.730342	4.675178	6.896031	5.120442	6.169009	-7.732392	-18.973666	-10.705377	4.622323	7.430254	7.418923	11.551213	12.074955	11.479569	4.447278	6.211216	3.993284	-1.627760	2.506588	-2.062506	2.132110	-4.798962	-8.895868	-2.308565	2.376325	-1.920459	6.896031	5.120442	6.169009	-1.839817	-18.623059	-10.703142	4.622323	7.430106	7.418247	10.683273	12.060587	11.478834	4.447278	6.211216	3.993284	-1.627760	-4.405146	4.542428	2.132110	-0.247657	1.928162	-15.050495	-0.138860	-6.742756	6.896031	5.120442	6.169009	-1.839816	-18.623058	-10.703109	4.622323	7.430106	7.418247	10.683272	12.060587	11.478834	4.447278	6.211216	3.993284	-1.627760	8.456116	0.428022	-6.070877	-3.621725	-6.600499	8.184790	8.709273	4.675177	6.896031	1.681261	-0.214210	-1.419075	-1.940713	3.367198	-0.753874	4.752017	3.307780	-6.002584	2.054648	0.058880	4.265259	6.149680	4.089200	-7.033306
71	5	-7.605373	7.804117	-9.056702	6.597353	7.214446	-15.564281	-3.812494	-4.316986	3.062060	-4.076170	2.371218	5.495431	12.268509	8.062960	-2.486426	-8.948104	-12.897795	-13.301527	-17.987653	-11.428314	-1.481796	-4.596555	6.538180	-9.993269	-11.594238	1.592918	6.051253	5.639554	0.628921	-7.313713	-2.587911	-4.312378	3.062060	2.082724	6.408319	-1.042084	-23.372795	-8.705907	4.552463	7.966102	2.548849	7.673335	11.114919	9.723395	6.975168	7.138119	4.386605	3.597674	7.094079	1.895869	-9.053209	-3.594337	-9.651690	10.113275	4.606755	5.989866	3.062060	-4.076170	2.371218	-0.183207	6.391745	5.445005	-2.486426	-4.194452	-10.229507	-7.551374	-8.411248	-9.962260	-1.142640	-4.495026	6.537966	-9.761429	-2.855578	1.369261	6.051364	0.956008	-6.895145	10.326633	4.606613	5.989863	3.062060	2.082724	6.408319	-6.720722	-24.035255	-8.710556	4.552463	7.968819	5.402685	7.702938	11.117582	11.209091	6.975170	7.138480	4.386466	3.597711	1.536172	-0.545937	6.051364	-0.590221	-13.384831	10.833003	4.606758	5.989866	3.062060	2.082724	6.408319	-6.720722	-24.033102	-8.710556	4.552463	7.968819	5.402685	7.702938	11.117582	11.209091	6.975170	7.138480	4.386466	3.597711
