point_label,module_abbr,network_T_s,module_T_s,module_pheno_score,impurity,density,intra_density,inter_density,p_s_type
AS(AS_AS),AS,0.234375,0.22004437869822485,0.4490950226244341,0.0,0.20833333333333334,0.16666666666666666,0.2708333333333333,top30
C(AS_C),C,0.08995931952662722,0.1111111111111111,0.103494623655914,0.078125,0.10666666666666667,0.13194444444444445,0.08333333333333333,top30
AS(AS_C),AS,0.08995931952662722,0.22004437869822485,0.24875930521091816,0.078125,0.10666666666666667,0.13194444444444445,0.08333333333333333,top30
E(AS_E),E,0.12726757369614514,0.2716049382716049,0.2222222222222221,0.0,0.12615384615384614,0.1305732484076433,0.12202380952380952,top30
AS(AS_E),AS,0.12726757369614514,0.22004437869822485,0.2659151193633955,0.0,0.12615384615384614,0.1305732484076433,0.12202380952380952,top30
M(AS_M),M,0.1359328772189349,0.17,0.11304347826086958,0.0,0.1380952380952381,0.13679245283018868,0.13942307692307693,top30
AS(AS_M),AS,0.1359328772189349,0.22004437869822485,0.3352842809364547,0.0,0.1380952380952381,0.13679245283018868,0.13942307692307693,top30
AS(AS_PS),AS,0.10992417800453515,0.22004437869822485,0.23617788461538458,0.11290322580645161,0.13333333333333333,0.10942760942760943,0.17559523809523808,top30
PS(AS_PS),PS,0.10992417800453515,0.2152777777777778,0.16164888211382114,0.11290322580645161,0.13333333333333333,0.10942760942760943,0.17559523809523808,top30
AS(AS_RS),AS,0.14339524872448978,0.22004437869822485,0.32451923076923084,0.013888888888888888,0.1422924901185771,0.1099290780141844,0.18303571428571427,top30
RS(AS_RS),RS,0.14339524872448978,0.3663194444444445,0.2326388888888889,0.013888888888888888,0.1422924901185771,0.1099290780141844,0.18303571428571427,top30
C(C_AS_RS),C,0.08541666666666667,0.1111111111111111,0.08273999392420439,0.011235955056179775,0.08971774193548387,0.083984375,0.09583333333333334,top30
