3	2	3.341270	6.699218	2.588899	-2.008407	-6.395407	-7.592029	-12.272998	3.718908	-6.598663	4.583261	-2.552011	-14.094224	-2.609532	-0.415514	6.435274	-4.501445	1.465750	-3.018827	-12.209546	-18.200814	-5.740379	9.879867	0.441324	7.083748	5.852966	5.249779	2.993915	-12.272997	3.718908	-6.598663	4.583260	-2.552011	-14.094224	-2.609532	-0.415514	6.435275	-4.501446	1.465750	-3.018827	-12.209599	-18.200814	-5.740379
8	2	0.956645	6.915566	-0.301028	-1.763297	-4.838520	-0.269155	5.722561	7.028151	9.871903	-11.274984	5.506928	5.968636	4.633481	7.628063	-3.534601	-1.948769	1.866584	-2.570161	9.698982	6.930451	2.272205	0.956645	6.915566	-0.301028	-1.763297	-4.838520	-0.269155	-10.251278	6.459811	-16.059024	1.258555	6.948609	-6.852819	-6.427103	4.652964	-2.003064	3.138839	7.950944	-10.941441	-9.993653	-4.823150	-7.503812
20	2	1.084518	6.190016	2.572040	-6.538314	0.481305	-4.132735	-17.455588	2.149414	-11.394259	5.477579	-3.064143	-7.322185	-3.038289	0.107479	3.043958	-6.541550	3.949951	-2.724010	-14.948706	-11.965245	-0.645924	1.084518	6.190016	2.572040	-6.538314	0.481305	-4.132735	-24.072759	2.149414	-18.376204	5.541479	-7.737355	-12.260246	-7.184680	0.107479	-0.787790	-1.319410	10.015619	-13.961357	-10.923642	-14.276232	3.729377
31	2	2.984545	6.608590	-0.834773	-5.170318	-6.332709	1.449693	7.638968	6.614970	9.220681	-0.422857	8.483472	-4.510001	5.443529	7.980836	8.441949	-13.868468	-12.117485	-6.839693	-5.663809	-0.816707	-6.157542	2.984545	6.608590	-0.834773	-5.170318	-6.332709	1.449693	-10.104904	2.599367	-20.241349	8.478650	-4.470895	-18.737388	-14.379918	2.305621	-11.263268	3.107080	5.439308	-17.456828	-18.844692	-14.632359	-0.348145
32	2	1.165027	7.959107	1.323010	-3.962900	0.333268	-4.842163	-15.960324	1.425594	-18.313291	4.693664	3.167852	-10.202220	-12.416775	5.779271	-10.342038	4.887178	4.689690	-12.507629	-12.234358	1.884409	-4.180941	6.369289	5.687025	6.355695	6.712560	6.400506	6.023998	-15.960324	1.425594	-18.256927	4.693664	3.167852	-10.202219	-12.416775	5.779271	-10.342038	4.887178	4.689690	-12.507629	-12.234358	1.884411	-4.180941
35	2	6.921234	0.716147	6.392207	8.192268	5.922044	4.875757	-21.535495	5.392315	-25.965751	5.617694	-8.907924	-14.574141	-17.302821	-0.850950	-3.840477	4.287228	9.234957	-17.379750	-15.613538	-19.196198	-2.712694	6.921234	0.716147	6.392207	8.192268	5.922044	4.875757	-15.320062	5.392328	-15.437356	5.617694	-6.018335	-13.049164	-8.774528	-0.850335	7.090538	-0.159045	4.631734	-7.202653	-15.613538	-19.196179	-2.829521
44	2	-0.198855	6.738008	5.571353	5.519786	0.879855	0.367080	-22.955470	-0.308832	-23.316305	7.188108	-7.212755	-13.852496	-14.355730	0.726807	-7.954703	5.153303	10.233390	-14.315966	-16.527199	-7.959753	-0.473340	-1.126817	6.738008	1.456932	1.694217	-2.150752	-2.627948	-22.955470	-0.308832	-23.316305	7.188108	-7.212755	-13.852496	-14.355730	0.726807	-7.954703	5.153303	10.233390	-14.315966	-16.527199	-7.957432	-0.473340
46	2	6.436038	3.657483	3.101423	1.037816	3.563958	2.293286	-27.084288	1.207420	-26.477865	8.049478	-16.335974	-14.172632	-18.105629	3.030229	-9.610512	6.783377	8.786548	-15.364175	-11.274630	-16.057363	5.900685	6.436038	3.657483	3.101423	1.037816	3.563958	2.293286	7.374379	7.249087	11.021265	-7.351238	8.427760	6.210413	7.878402	8.093883	5.417022	-12.316766	-11.769110	-2.629932	-4.803378	7.628363	0.282805
58	2	0.751513	6.487918	3.042063	-6.522137	-1.831107	0.793992	-21.978441	0.366609	-19.423742	4.141129	-9.228660	-18.574980	-16.241305	-1.471665	-10.194101	6.382409	10.330870	-21.532488	-15.921457	-14.068798	-0.620294	1.236505	6.472215	7.055626	-0.411422	-0.295689	3.253333	-21.978443	0.366609	-19.424548	4.141129	-9.228660	-18.574980	-15.930658	-1.471665	-10.194101	6.382409	10.330870	-21.532488	-15.921457	-14.166001	-0.620293
67	2	5.923734	-2.521701	3.632809	-0.159022	1.264877	4.750304	-18.279517	-0.644828	-20.373379	4.858482	-3.810769	-14.475430	-18.522032	2.595649	-8.879400	3.140565	9.563870	-16.353452	-7.926689	-8.591216	-0.084623	7.562110	-2.605774	6.411361	8.149128	5.319398	5.183484	-18.279517	-0.644828	-20.373394	4.858482	-3.810769	-14.475430	-18.522032	2.595649	-8.879400	3.140565	9.563870	-16.353452	-7.926688	-8.591216	-0.084623
69	2	5.192288	1.531575	7.418006	5.666066	8.611683	5.799057	-20.296464	1.887928	-24.303888	6.743616	-14.218861	-15.937691	-18.709342	0.703043	-3.358124	5.712901	8.289417	-10.141487	-9.672120	-11.935895	6.027723	5.192288	1.531575	7.418006	5.666066	8.611683	5.799057	8.755685	7.324838	13.812212	-8.554581	5.274906	6.144401	8.776969	5.854193	7.731445	-8.554061	-13.233989	-0.985846	-1.658906	9.447428	-1.031616
76	2	1.248604	8.069588	6.209569	3.779996	0.446823	-1.363873	-22.875128	3.298002	-23.488814	6.396266	-6.876705	-15.040998	-15.075630	1.712626	-6.245288	6.666218	11.518172	-12.562483	-13.361439	-15.910338	-0.863935	1.247291	8.069598	2.549668	-2.820432	-2.059260	-6.575099	-22.875128	3.298002	-23.488814	6.396266	-6.876705	-15.040998	-15.075630	1.712626	-6.245288	6.666218	11.518172	-12.562479	-13.361439	-15.910338	-0.863935
79	2	-2.735470	6.658534	0.881941	-3.305054	-0.746753	0.191252	-21.293257	2.669805	-10.357389	6.431141	-2.772358	-13.083756	-17.805758	1.870318	3.596389	2.034356	7.965577	-13.200556	-18.264371	-13.543954	-4.846400	-2.735470	6.658534	0.881941	-3.305054	-0.746753	0.191252	7.993341	7.750723	13.938229	-12.773313	9.369545	6.001883	4.442518	7.134089	3.505487	-6.449354	-7.325339	-3.336096	-1.775131	6.769520	-5.275858
84	2	1.461603	0.982006	-0.154028	-3.680945	1.599382	0.915679	-9.476281	5.550815	-12.219346	4.149136	3.780455	-10.222378	-10.996750	3.923169	-1.931350	0.992010	5.343105	1.924863	-13.323683	-7.173367	-5.499458	1.461603	0.982006	-0.154028	-3.680945	1.599382	0.915679	2.687015	6.381539	8.401823	-4.079222	3.069752	5.652986	3.622042	8.866673	-5.841613	-0.660076	-4.532389	2.741993	9.615879	6.012487	-0.327694
89	2	0.229429	8.459735	1.542688	-6.381232	-2.766751	-6.772645	-22.178675	1.084754	-27.260273	5.639766	-7.102416	-16.093192	-11.845600	2.127382	-3.141698	5.319778	9.782923	-17.174469	-16.481795	-14.281771	-2.379126	0.229429	8.459735	1.542688	-6.381232	-2.766751	-6.772645	-16.766155	1.084754	-20.430477	5.639761	-4.642949	-15.788607	-3.713296	2.127382	5.443175	1.519222	4.780984	-10.212406	-17.403922	-14.281770	-5.348564
92	2	-0.742053	6.647388	2.370127	-2.240909	-4.417279	1.620203	-16.344328	-1.272619	-12.147745	8.600974	-3.223523	-16.851544	-9.392477	-0.580375	6.112634	-2.093307	7.061833	-5.325686	-12.112890	-14.584722	-3.042807	5.736394	1.369898	6.355502	7.600119	6.265799	8.156826	-16.344328	-1.272619	-12.147743	8.600974	-3.223523	-16.851544	-9.392476	-0.580375	6.112634	-2.093308	7.061833	-5.325686	-12.112890	-14.584722	-3.042807
94	2	-0.622934	8.135635	4.065748	-0.191262	-2.347129	-3.131913	-16.794257	1.436885	-14.896787	7.292712	-13.638247	-14.886736	-24.083739	0.951431	-8.444624	5.547898	7.009357	-11.059723	-23.138516	-10.137179	0.824306	5.628669	3.167904	5.964477	5.035272	7.062409	4.860592	-16.794256	1.436885	-14.896787	7.292712	-13.638247	-14.886736	-24.083739	0.951431	-8.444624	5.547898	7.009357	-11.059723	-23.138516	-10.137179	0.824306
