2	6	0.996834	6.228208	0.119731	-4.850986	-7.031207	-3.366730	-15.322245	2.125226	-26.578056	7.975217	-7.001824	-14.523172	-21.249308	-2.836868	-10.747191	3.774504	8.920232	-15.999579	-19.174657	-13.376862	-6.937827	0.996834	6.228208	0.119731	-4.850986	-7.031207	-3.366730	7.183983	7.610202	12.953989	-9.533427	7.810657	5.310314	6.885472	3.060581	4.867867	-13.064354	-13.524028	7.495017	3.099067	4.150078	-3.463308	6.732195	-0.410463	5.367903	4.439057	5.919813	7.739735	-15.322231	2.125226	-26.578056	7.975217	-7.001824	-14.523172	-21.163827	-2.836868	-10.747191	3.774504	8.920232	-15.999899	-19.174657	-13.376862	-6.937827	6.732195	-0.410463	5.367903	4.439057	5.919813	7.739735	7.183983	7.610202	12.953989	-9.533427	7.810657	5.310314	6.885472	3.060581	4.867867	-13.064354	-13.524028	7.495017	3.099067	4.150078	-3.463308	6.732195	-0.410463	5.367903	4.439057	5.919813	7.739735	-12.111012	2.158038	-6.065706	-3.995778	3.579178	3.207179	-4.783691	-2.779741	-7.736034	-1.267892	-0.689193	-4.795261	-8.932072	-1.381772	0.332872	0.996834	6.228208	0.119731	-4.850986	-7.031207	-3.366730	-12.111012	2.158038	-6.065706	-3.995778	3.579178	3.207178	-4.783701	-2.779741	-7.736043	-1.267892	-0.689193	-4.794983	-8.932072	-1.381772	0.332872
6	6	6.667836	2.254696	7.667423	6.778698	7.144308	4.786857	-21.436256	1.895688	-28.790297	8.262043	-8.652646	-14.826143	-11.190698	3.421211	-6.993639	7.501590	10.836616	-18.623041	-9.327960	-19.996737	-6.668431	6.667685	2.254696	2.307849	0.389476	5.095888	0.221048	10.286192	7.634570	9.443442	-8.592143	3.100868	7.338830	11.439657	9.500139	6.314870	-10.933998	-9.258408	-2.968405	5.974618	3.450935	-4.381655	6.667685	2.254696	2.307849	0.389476	5.095888	0.221048	-21.436256	1.895688	-28.790297	8.262043	-8.652646	-14.826143	-11.190698	3.421211	-6.993639	7.501590	10.836616	-18.623041	-9.327960	-19.996737	-6.668431	6.667836	2.254696	7.667423	6.778698	7.144308	4.786857	10.286192	7.634570	9.443442	-8.592143	3.100868	7.338830	11.439657	9.500139	6.314870	-10.933998	-9.258408	-2.968405	5.974618	3.450935	-4.381655	6.667836	2.254696	7.667423	6.778698	7.144308	4.786857	10.282862	7.634570	9.431653	-8.592096	3.100618	7.338778	11.439362	9.500139	3.844514	-10.646018	-8.656227	3.384039	5.975340	3.450904	-4.374828	6.667685	2.254696	2.307849	0.389476	5.095888	0.221048	10.282862	7.634570	9.431653	-8.592096	3.100618	7.338778	11.439362	9.500139	3.844514	-10.646018	-8.656227	3.384039	5.975340	3.450904	-4.374828
10	6	6.982547	-1.023484	2.294039	-3.056085	3.484394	0.490892	-19.512737	-2.582996	-29.391539	5.333490	-5.699071	-17.182130	-17.230747	0.447516	-4.069959	5.183689	10.252016	-6.557155	-15.026146	-14.257262	-1.449262	7.061536	-1.145660	6.328406	4.372596	7.854119	3.179787	-19.512737	-2.582996	-29.391539	5.333490	-5.699072	-17.182130	-17.230747	0.447516	-4.069959	5.183689	10.252016	-6.557155	-15.026146	-14.257262	-1.449262	6.982547	-1.023484	2.294039	-3.056085	3.484394	0.490892	4.403512	3.919385	4.894211	-4.598920	12.627877	-4.306431	5.661798	5.931197	4.264232	-2.389199	-3.573413	6.259004	-3.344956	0.007806	-1.352113	6.982547	-1.023484	2.294039	-3.056085	3.484394	0.490892	-0.008743	3.491897	4.144971	-1.751019	6.197637	-8.068440	4.836630	0.613936	6.897845	-1.862967	-2.959407	6.273507	-3.354022	-2.007478	-1.342994	7.061536	-1.145660	6.328406	4.372596	7.854119	3.179787	-0.008743	3.491897	4.144971	-1.751019	6.197637	-8.068440	4.836630	0.613936	6.897845	-1.862967	-2.959407	6.273507	-3.354022	-2.007478	-1.342994	7.061536	-1.145660	6.328406	4.372596	7.854119	3.179787	4.403512	3.919385	4.894211	-4.598920	12.627877	-4.306431	5.661798	5.931197	4.264232	-2.389199	-3.573413	6.259004	-3.344956	0.007806	-1.352113
15	6	1.115940	6.989207	1.189254	-0.879350	-3.746443	-3.258601	-20.904674	3.476841	-31.397005	7.015063	-6.495590	-18.426220	-13.333380	2.362447	-4.553180	3.761657	6.829200	-14.378379	-18.292872	-17.285381	-2.133090	1.115940	6.989207	1.189254	-0.879350	-3.746443	-3.258601	8.021349	8.071150	10.924962	-10.069290	9.493793	5.879004	9.791550	7.439798	8.029170	-12.681836	-10.277425	-1.620462	-2.686113	6.490121	-8.889298	6.732374	0.997521	7.431244	7.201096	6.165166	5.575517	-20.904674	3.476841	-31.397005	7.015063	-6.495590	-18.426220	-13.333380	2.362447	-4.553180	3.761657	6.829200	-14.378380	-18.292872	-16.912484	-2.133090	1.115940	6.989207	1.189254	-0.879350	-3.746443	-3.258601	-15.449915	3.477540	-10.612715	5.185754	-1.782537	-9.913656	-4.924072	2.362447	6.105967	-2.659034	0.341355	-1.333126	-17.789012	-17.014130	-1.707711	6.732374	0.997521	7.431244	7.201096	6.165166	5.575517	8.021349	8.071150	10.924962	-10.069290	9.493793	5.879004	9.791550	7.439798	8.029170	-12.681836	-10.277425	-1.620462	-2.686113	6.490121	-8.889298	6.732374	0.997521	7.431244	7.201096	6.165166	5.575517	-15.449915	3.477540	-10.612715	5.185754	-1.782537	-9.913656	-4.924072	2.362447	6.105967	-2.659034	0.341355	-1.333126	-17.789012	-17.013840	-1.707711
22	6	3.905155	3.622099	7.092851	8.549033	6.814300	1.237062	-16.458434	6.677866	-21.640029	7.491723	-6.657184	-15.349984	-19.184870	0.343909	-3.647729	3.897133	10.740422	-14.652771	-22.037266	-15.587776	-2.007884	3.905155	3.622099	7.092851	8.549033	6.814300	1.237062	9.131369	8.510633	9.938373	-9.294785	8.754096	5.992223	9.656452	6.672616	0.331603	-6.143575	-6.635014	2.436343	-3.947928	6.963425	-2.966423	3.905155	3.622099	7.092851	8.549033	6.814300	1.237062	5.281691	8.510633	8.848642	-9.294732	3.897113	5.992201	5.376021	6.672398	-2.534776	-4.397650	-6.221361	1.091756	6.296979	6.963363	1.803720	3.905155	3.622099	7.092851	8.549033	6.814300	1.237062	4.900518	8.510632	8.640395	-9.292884	2.979231	5.991757	4.821513	6.672180	-1.960434	-2.724102	-6.187530	0.480358	5.209334	6.963258	1.078446	3.905155	3.622099	7.092851	8.549033	6.814300	1.237062	5.985707	8.510633	8.801634	-9.294487	4.879001	5.992206	7.030453	6.672475	-1.616764	-4.858504	-6.216573	1.458646	4.567985	6.963323	1.457732	3.905155	3.622099	7.092851	8.549033	6.814300	1.237062	5.362544	8.510632	8.646368	-9.293485	3.830437	5.991998	6.001776	6.672241	-1.346525	-3.462126	-6.193954	0.281876	4.043781	6.963258	0.835575
30	6	6.701360	-0.879203	0.445126	-4.390350	2.502187	7.177541	-17.681347	1.120663	-26.679268	7.630190	-6.285696	-19.949066	-12.801088	0.075928	-5.655709	4.026575	8.851677	-11.037729	-13.761687	-18.068348	-1.851633	6.701360	-0.879203	0.445126	-4.390350	2.502187	7.177541	3.321281	4.654224	-3.196259	5.992903	-0.583572	-15.652434	3.369551	6.569490	4.507672	-6.203853	3.169236	6.977755	2.795292	-11.890924	2.626917	7.065010	-0.879223	6.502168	6.050840	6.382092	9.192086	3.321281	4.654224	-3.196259	5.992903	-0.583572	-15.652434	3.369551	6.569490	4.507672	-6.203853	3.169236	6.977755	2.795292	-11.890924	2.626917	7.065010	-0.879223	6.502168	6.050840	6.382092	9.192086	-17.681347	1.120663	-26.679268	7.630190	-6.285696	-19.949066	-12.801239	0.075928	-5.655710	4.026575	8.851677	-11.037729	-13.761687	-18.068348	-1.851633	6.701360	-0.879203	0.445126	-4.390350	2.502187	7.177541	-8.889209	1.120664	-11.212042	6.877921	-1.408350	-15.710897	-3.373053	0.077057	4.876767	-0.567333	2.837496	-7.072587	-10.386913	-15.306421	-3.774828	7.065010	-0.879223	6.502168	6.050840	6.382092	9.192086	-8.889209	1.120664	-11.212042	6.877921	-1.408350	-15.710898	-3.373053	0.077057	4.876767	-0.567333	2.837496	-7.072587	-10.386913	-15.306421	-3.774828
37	6	1.473373	6.367798	0.624210	-4.488584	1.794357	-3.761465	-25.074871	-1.098618	-17.004776	5.901816	-6.231688	-16.510224	-13.631509	-2.379742	-6.668616	3.918835	7.506072	-12.134257	-18.069084	-17.925975	0.345721	3.613165	6.366248	4.541003	0.493841	3.241662	1.999452	-25.074871	-1.098618	-19.322752	5.901816	-6.231688	-16.510224	-13.631509	-2.379742	-6.668616	3.918835	7.506072	-12.134257	-18.069084	-17.926093	0.345721	3.613164	6.366248	4.541003	0.493841	3.241662	1.999450	9.461295	5.284223	14.197463	-12.188996	8.695019	6.288558	8.212628	4.143129	1.763918	-12.005520	-4.873537	5.270445	-2.160771	-0.413411	-6.893241	3.613164	6.366248	4.541003	0.493841	3.241662	1.999450	6.787717	5.284223	9.711629	-11.112626	4.286967	6.100684	4.279036	4.143129	-0.408298	-9.399268	-4.058225	3.421063	4.076197	-0.675727	-0.395327	1.473373	6.367798	0.624210	-4.488584	1.794357	-3.761465	6.787717	5.284223	9.711629	-11.112626	4.286967	6.100684	4.279036	4.143129	-0.408298	-9.399268	-4.058225	3.421063	4.076197	-0.675727	-0.395327	1.473373	6.367798	0.624210	-4.488584	1.794357	-3.761465	9.461295	5.284223	14.197463	-12.188996	8.695019	6.288558	8.212628	4.143129	1.763918	-12.005520	-4.873537	5.270445	-2.160771	-0.413411	-6.893241
52	6	4.336561	6.105244	1.667226	-4.567155	-3.715220	-0.308380	-23.636457	0.089464	-28.157295	9.243026	-4.389560	-18.046068	-13.435200	-0.209077	-5.258791	3.779160	9.417462	-12.077957	-16.973073	-13.626552	-1.205480	9.172243	-0.066570	7.429977	7.808853	6.838163	6.652473	-23.636457	0.089464	-28.157295	9.243026	-4.389560	-18.046068	-13.435200	-0.209077	-5.258794	3.779160	9.417462	-12.077957	-16.973073	-13.626552	-1.205480	4.336561	6.105244	1.667226	-4.567155	-3.715220	-0.308380	8.395662	5.214397	6.158661	1.656412	8.660604	-0.543282	3.912423	4.263008	2.755511	-6.602672	-4.789517	4.664800	-4.253337	-4.844819	-6.423529	4.336561	6.105244	1.667226	-4.567155	-3.715220	-0.308380	4.251483	5.210721	3.383290	1.671369	8.649173	-6.010632	3.610054	4.175358	2.277426	-4.622711	-0.038112	5.545792	-7.793447	-5.371408	-1.250682	9.172243	-0.066570	7.429977	7.808853	6.838163	6.652473	8.395662	5.214397	6.158661	1.656412	8.660604	-0.543282	3.912423	4.263008	2.755511	-6.602672	-4.789517	4.664800	-4.253337	-4.844819	-6.423529	4.374028	6.104216	7.428016	5.358549	1.297661	4.051554	-23.636457	0.089464	-28.157295	9.243026	-4.389560	-18.046068	-13.435200	-0.209077	-5.258790	3.779160	9.417462	-12.077957	-16.973073	-13.626552	-1.205480
75	6	8.549596	0.324965	5.711487	4.669432	6.240526	3.752790	4.776800	9.005318	10.866859	-10.056194	7.067882	6.950909	5.672832	6.546906	1.099686	-10.152238	-6.194936	4.627911	-2.223518	8.978468	-5.408508	8.284930	0.472389	0.422386	-4.304973	1.734378	0.000355	-22.283373	2.830679	-25.173402	7.070705	-11.256890	-17.820155	-13.771862	0.173857	-10.937132	3.038818	7.542583	-17.803237	-19.880055	-11.561684	-5.772593	3.492585	5.702805	0.422352	-4.306572	-2.701318	-1.097090	-22.283373	2.830680	-25.173402	7.070705	-11.256890	-17.820155	-13.771862	0.173857	-10.937130	3.038818	7.542583	-17.803237	-19.880055	-11.557841	-5.772593	8.549596	0.324965	5.711487	4.669432	6.240526	3.752790	-22.283373	2.830680	-25.173402	7.070705	-11.256890	-17.820155	-13.771862	0.173857	-10.937130	3.038818	7.542583	-17.803237	-19.880055	-11.561455	-5.772593	8.284930	0.472389	0.422386	-4.304973	1.734378	0.000355	4.776800	9.005318	10.866859	-10.056194	7.067882	6.950909	5.672832	6.546906	1.099686	-10.152238	-6.194936	4.627911	-2.223518	8.978468	-5.408508	3.492585	5.702805	0.422352	-4.306572	-2.701318	-1.097090	4.776800	9.005318	10.866859	-10.056194	7.067882	6.950909	5.672832	6.546906	1.099686	-10.152238	-6.194936	4.627911	-2.223518	8.978468	-5.408508
81	6	2.897504	8.876066	5.400270	2.644398	1.800556	1.372414	3.117996	6.600523	7.907671	-11.419276	7.039347	6.026816	4.293821	6.988203	-12.226582	-3.810837	-6.203443	7.569054	10.354083	5.718564	5.386631	0.642339	8.907685	-0.312151	-2.764890	-1.647407	-4.786488	-19.133026	1.119435	-24.266839	5.617890	-6.993356	-8.810205	-8.971967	1.485937	-2.892821	1.966276	11.727183	-13.795245	-18.940447	-16.538674	0.631016	0.642339	8.907685	-0.312151	-2.764890	-1.647407	-4.786488	3.117996	6.600523	7.907671	-11.419276	7.039347	6.026816	4.293821	6.988203	-12.226582	-3.810837	-6.203443	7.569054	10.354083	5.718564	5.386631	2.897505	8.876066	5.400270	2.644398	1.800556	1.372415	-19.133026	1.119435	-24.266839	5.617890	-6.993356	-8.810205	-8.971967	1.485937	-2.892821	1.966276	11.727183	-13.795246	-18.940447	-16.538674	0.631016	6.548379	3.982177	5.473629	6.966255	4.921457	5.214362	3.117996	6.600523	7.907671	-11.419276	7.039347	6.026816	4.293821	6.988203	-12.226582	-3.810837	-6.203443	7.569054	10.354083	5.718564	5.386631	6.548379	3.982177	5.473629	6.966255	4.921457	5.214362	-19.133026	1.119435	-24.266839	5.617890	-6.993356	-8.810205	-8.971967	1.485937	-2.892821	1.966276	11.727183	-13.795246	-18.940447	-16.538674	0.631016
