1	3	2.136644	7.796759	-0.737677	-6.617242	-4.636193	-5.809660	-23.521304	-1.058244	-20.540876	2.584707	-6.748027	-16.378620	-18.035298	1.504054	-4.762873	8.389356	10.085514	-20.998865	-16.551256	-13.921746	-5.060714	2.136644	7.796759	-0.737677	-6.617242	-4.636193	-5.809660	9.439891	5.167351	15.775273	-13.605686	9.367558	5.346831	8.349453	5.493036	9.541764	-11.774049	-10.947800	-4.594330	-2.065844	5.807823	-5.832963	2.136644	7.796759	-0.737677	-6.617242	-4.636193	-5.809660	9.439627	5.167351	15.770453	-13.589136	5.393365	5.346771	8.349214	5.493036	5.684714	-11.394998	-8.905271	-4.716872	4.270752	5.805232	-3.266008
5	3	6.610584	-0.116751	-0.903807	0.989663	4.923764	1.239914	-27.050304	1.232471	-24.290572	7.471167	-6.371312	-19.088796	-18.861864	1.559510	-10.179569	4.574765	7.840439	-7.974135	-17.985573	-16.558946	-5.717355	6.610584	-0.116751	-0.903807	0.989663	4.923764	1.239914	-23.821808	1.232471	-11.124666	4.809242	-0.078089	-14.663645	-2.673533	1.559510	1.000303	-2.823863	7.510013	1.705667	-11.932702	-14.223637	-0.322596	6.610584	-0.116751	-0.903807	0.989663	4.923764	1.239914	-23.122574	1.232471	-10.661748	0.886024	2.845555	-8.748803	-10.229375	1.559510	-14.735740	0.346257	2.104300	6.760979	-12.885270	-10.515209	-6.681537
12	3	2.163234	8.536859	2.019233	-3.308871	-2.398633	1.930586	-17.185536	3.387894	-17.962404	0.351914	5.810443	-9.122811	-8.207747	-0.600540	-16.333766	3.941926	3.526271	-12.477871	-9.490872	-5.656183	-1.476880	7.781655	3.966259	6.709753	5.466092	4.099953	4.783842	-17.185536	3.387894	-17.962404	0.351914	5.810443	-9.122811	-8.207747	-0.600540	-16.333768	3.941926	3.526271	-12.477871	-9.490872	-5.656183	-1.476880	2.163234	8.536859	2.019233	-3.308871	-2.398633	1.930586	-2.909184	3.391419	0.911485	-5.060494	6.378653	2.738781	3.107221	-0.599129	-5.732061	-6.895336	-5.644640	-5.757094	-2.868960	3.285580	-1.118078
14	3	4.983659	4.164165	3.344212	-2.470620	1.413407	3.075409	-18.374309	4.857621	-15.767151	6.770270	-8.965677	-15.915512	-13.841603	1.760699	-1.701459	5.613760	9.099943	-19.350679	-16.712647	-14.446718	0.511604	4.983659	4.164165	3.344212	-2.470620	1.413407	3.075409	-11.842230	4.857621	-8.085471	6.769700	-4.357422	-13.523696	-5.988983	1.760700	9.811552	-0.640309	3.777764	-6.720665	-17.497890	-14.446718	-0.511852	4.983659	4.164165	3.344212	-2.470620	1.413407	3.075407	7.751707	6.733002	15.635123	-10.585951	7.374746	6.873262	10.362747	6.960491	8.036182	-11.522478	-8.008212	-1.604029	-1.391093	4.952262	-5.261146
17	3	5.627064	6.705239	-1.545799	-6.449292	-3.697625	-0.501975	7.423195	5.894999	12.607402	-14.556865	11.468368	6.263117	10.566445	7.916626	4.124085	-14.358291	-16.198767	5.437621	-6.671938	7.210577	-5.087056	5.627064	6.705239	-1.545799	-6.449292	-3.697625	-0.501975	-12.717123	0.951867	-11.482990	2.834609	-1.076141	-18.241072	-2.046036	3.582027	6.896416	-0.449559	3.525470	-6.126168	-24.072133	-7.901724	-3.235461	5.627064	6.705239	-1.545799	-6.449292	-3.697625	-0.501975	7.603267	5.895058	12.615281	-14.556865	11.468372	6.263117	10.574585	7.916626	8.174958	-14.497136	-16.227600	-0.885104	-6.671939	7.210577	-5.087241
19	3	6.055628	4.642395	5.417868	6.598435	4.224827	7.637558	-19.929869	3.189597	-24.958867	6.533104	-5.374686	-17.438095	-17.201042	4.130896	-13.941448	4.439843	9.554480	-12.119310	-18.517598	-13.896403	-6.013077	6.055628	4.642395	5.417868	6.598435	4.224827	7.637558	-7.215433	3.189680	-10.302758	-4.753738	4.553229	2.497003	-5.928072	4.132946	-17.651713	-0.407668	0.189651	-7.480290	-9.904879	-2.687104	-10.077324	6.055628	4.642395	5.417868	6.598435	4.224827	7.637558	-13.753451	3.189597	-15.786888	2.377430	3.439494	-10.835276	-11.751092	4.130895	-13.966006	0.439006	5.866180	-7.863295	-13.976383	-7.498476	-8.212027
21	3	8.630671	-0.232420	7.071501	6.939175	8.900912	6.902203	-16.928234	1.877673	-25.635340	5.552990	-8.570826	-11.594048	-16.923620	0.504509	-9.053430	5.803812	8.446943	-20.388260	-19.546151	-13.988466	-8.366511	8.630671	-0.232420	7.071501	6.939175	8.900912	6.902203	11.631885	6.465649	13.075183	-11.628939	9.965454	7.277940	9.610221	6.163479	4.443014	-14.437932	-14.466883	4.993626	-2.084143	3.958078	-13.069870	8.630671	-0.232420	7.071501	6.939175	8.900912	6.902203	11.631806	6.465649	13.035808	-11.628939	9.153777	7.277940	9.208926	6.163479	2.700121	-10.264405	-13.863618	4.978747	2.867164	3.958078	-4.449908
24	3	6.625944	2.169928	7.319076	6.471626	4.609791	5.675473	-20.734818	2.505420	-26.049724	8.213392	-2.105657	-12.305850	-11.165089	2.130859	-0.342391	6.889858	7.826391	-7.506144	-13.710904	-8.923283	-2.661869	6.625944	2.169928	7.319076	6.471626	4.609791	5.675473	5.929824	7.024586	7.325976	-2.377956	-0.381334	5.013148	8.090043	6.687863	3.373901	-4.135986	-5.031569	6.442060	6.757301	4.463458	3.798461	3.747720	3.613683	1.521645	0.885066	-1.995339	-3.415699	-20.734818	2.505420	-26.049724	8.213392	-2.105657	-12.305850	-11.165086	2.130859	-0.342391	6.889858	7.826391	-7.507276	-13.710904	-8.923283	-2.661869
27	3	1.494803	6.610767	-0.412527	-5.813794	-3.183938	-3.848159	-17.249837	1.067500	-23.608054	5.470140	-7.349981	-17.496705	-16.909800	2.353371	-5.233720	5.748022	9.311771	-20.466082	-20.465117	-16.832890	-4.688431	1.494803	6.610767	-0.412527	-5.813794	-3.183938	-3.848203	8.625709	6.001214	12.878899	-12.611040	10.185573	5.679448	10.103437	6.050935	5.416093	-12.266032	-7.058865	3.271004	-4.580142	5.800408	-13.549756	1.494803	6.610767	-0.412527	-5.813794	-3.183938	-3.848217	3.173522	5.999197	8.077110	-6.702077	10.185216	-5.994469	3.935022	6.050761	4.885225	-5.374916	-1.276201	3.270695	-9.884816	-0.332468	-7.032041
33	3	7.492694	3.341275	2.472259	-1.794554	5.293203	2.390558	-11.026480	2.348243	-12.656601	2.944714	6.363600	-6.915063	-8.365493	0.535325	-5.505396	-0.449173	2.901296	-6.287114	-14.682606	-11.999203	-1.245911	7.492694	3.341275	2.472259	-1.794554	5.293203	2.390558	-14.929063	2.348243	-25.199021	5.931234	-5.556964	-11.791106	-18.787656	0.535325	-9.989707	4.056036	9.180863	-15.913015	-21.000329	-16.470805	-1.842772	7.492694	3.341275	2.472259	-1.794554	5.293203	2.390558	9.832090	6.617770	9.767076	-5.818216	9.478845	6.126778	8.663972	6.201285	0.445057	-6.724204	-9.063738	3.298811	-2.742985	5.845121	-2.507137
