point_label,module_abbr,network_T_s,module_T_s,module_pheno_score,impurity,density,intra_density,inter_density,p_s_type
AS(AS_AS),AS,0.7088293650793649,0.6817941673710902,22.86813186813187,0.0,0.20833333333333334,0.16666666666666666,0.2708333333333333,top60
C(AS_C),C,0.2928583168967782,0.42429315476190477,11.555988988461312,0.078125,0.10666666666666667,0.13194444444444445,0.08333333333333333,top60
AS(AS_C),AS,0.2928583168967782,0.6817941673710902,24.00824175824176,0.078125,0.10666666666666667,0.13194444444444445,0.08333333333333333,top60
E(AS_E),E,0.46544480887593115,0.6873897707231039,16.333333333333336,0.0,0.12615384615384614,0.1305732484076433,0.12202380952380952,top60
AS(AS_E),AS,0.46544480887593115,0.6817941673710902,23.074296772409976,0.0,0.12615384615384614,0.1305732484076433,0.12202380952380952,top60
M(AS_M),M,0.48963176246830076,0.4442857142857143,6.257142857142856,0.0,0.1380952380952381,0.13679245283018868,0.13942307692307693,top60
AS(AS_M),AS,0.48963176246830076,0.6817941673710902,24.639299299326062,0.0,0.1380952380952381,0.13679245283018868,0.13942307692307693,top60
AS(AS_PS),AS,0.31334419160149846,0.6534559961561061,23.029452120497144,0.11290322580645161,0.13333333333333333,0.10942760942760943,0.17559523809523808,top60
PS(AS_PS),PS,0.31334419160149846,0.12723097718915685,4.090739018210907,0.11290322580645161,0.13333333333333333,0.10942760942760943,0.17559523809523808,top60
AS(AS_RS),AS,0.5785592501942304,0.676920518256322,24.632040729574065,0.013888888888888888,0.1422924901185771,0.1099290780141844,0.18303571428571427,top60
RS(AS_RS),RS,0.5785592501942304,0.8799232075895493,20.37084450904513,0.013888888888888888,0.1422924901185771,0.1099290780141844,0.18303571428571427,top60
C(C_AS_RS),C,0.43452741080366636,0.42373511904761907,15.81238492602397,0.011235955056179775,0.08971774193548387,0.083984375,0.09583333333333334,top60
AS(C_AS_RS),AS,0.43452741080366636,0.676920518256322,25.756219680827716,0.011235955056179775,0.08971774193548387,0.083984375,0.09583333333333334,top60
RS(C_AS_RS),RS,0.43452741080366636,0.8799232075895493,21.677050857697573,0.011235955056179775,0.08971774193548387,0.083984375,0.09583333333333334,top60
C(C_C),C,0.6428571428571428,0.42429315476190477,12.047619047619047,0.0,0.19444444444444445,0.28125,0.125,top60
M(C_M),M,0.6807142857142857,0.6285714285714286,27.314285714285717,0.0,0.1625,0.20833333333333334,0.11666666666666667,top60
C(C_M),C,0.6807142857142857,0.5174231150793651,21.25,0.0,0.1625,0.20833333333333334,0.11666666666666667,top60
C(C_PS),C,0.27415740389529464,0.42429315476190477,12.395695273755722,0.1282051282051282,0.14130434782608695,0.16666666666666666,0.11481481481481481,top60
PS(C_PS),PS,0.27415740389529464,0.12722322628632415,3.7044763645134773,0.1282051282051282,0.14130434782608695,0.16666666666666666,0.11481481481481481,top60
C(C_RS),C,0.5446428571428572,0.42429315476190477,18.63690476190476,0.0,0.14166666666666666,0.16071428571428573,0.125,top60
RS(C_RS),RS,0.5446428571428572,0.8807043650793651,12.38095238095238,0.0,0.14166666666666666,0.16071428571428573,0.125,top60
E(E_AS),E,0.46544480887593115,0.6873897707231039,16.333333333333336,0.0,0.12615384615384614,0.1305732484076433,0.12202380952380952,top60
AS(E_AS),AS,0.46544480887593115,0.6817941673710902,23.105522846725947,0.0,0.12615384615384614,0.1305732484076433,0.12202380952380952,top60
E(E_C),E,0.5524784710481827,0.7442680776014107,28.380952380952387,0.0,0.12857142857142856,0.13679245283018868,0.1201923076923077,top60
C(E_C),C,0.5524784710481827,0.44624255952380953,18.89880952380953,0.0,0.12857142857142856,0.13679245283018868,0.1201923076923077,top60
E(E_C_AS_RS),E,0.31393375865399503,0.7409521986354164,18.716395867124767,0.03007518796992481,0.07029598308668077,0.06555772994129158,0.07586206896551724,top60
C(E_C_AS_RS),C,0.31393375865399503,0.44327393836322415,16.253199066134183,0.03007518796992481,0.07029598308668077,0.06555772994129158,0.07586206896551724,top60
AS(E_C_AS_RS),AS,0.31393375865399503,0.6769174488519277,26.35749195728341,0.03007518796992481,0.07029598308668077,0.06555772994129158,0.07586206896551724,top60
RS(E_C_AS_RS),RS,0.31393375865399503,0.8798154688905409,21.17367375549144,0.03007518796992481,0.07029598308668077,0.06555772994129158,0.07586206896551724,top60
E(E_E),E,0.8833705357142855,0.6873897707231039,16.333333333333336,0.0,0.34444444444444444,0.29310344827586204,0.4375,top60
M(E_M),M,0.7175099206349206,0.5314285714285714,18.057142857142857,0.0,0.19523809523809524,0.16666666666666666,0.25,top60
E(E_M),E,0.7175099206349206,0.6873897707231039,22.507936507936503,0.0,0.19523809523809524,0.16666666666666666,0.25,top60
E(E_PS),E,0.29575936562178545,0.6873897707231039,16.333333333333336,0.29473684210526313,0.15833333333333333,0.24390243902439024,0.05514705882352941,top60
PS(E_PS),PS,0.29575936562178545,0.12722322628632415,3.667530443780508,0.29473684210526313,0.15833333333333333,0.24390243902439024,0.05514705882352941,top60
M(E_PS_RS_AS_C_M),M,0.2537689877497329,0.6384455632473254,35.138310877111266,0.08300395256916997,0.05897435897435897,0.05391373801916933,0.06606942889137737,top60
E(E_PS_RS_AS_C_M),E,0.2537689877497329,0.7419246724958456,30.527509493153858,0.08300395256916997,0.05897435897435897,0.05391373801916933,0.06606942889137737,top60
C(E_PS_RS_AS_C_M),C,0.2537689877497329,0.5395257426240058,28.03086382202364,0.08300395256916997,0.05897435897435897,0.05391373801916933,0.06606942889137737,top60
AS(E_PS_RS_AS_C_M),AS,0.2537689877497329,0.6411378204316052,25.023969692943062,0.08300395256916997,0.05897435897435897,0.05391373801916933,0.06606942889137737,top60
RS(E_PS_RS_AS_C_M),RS,0.2537689877497329,0.6739219405309257,26.226220949007903,0.08300395256916997,0.05897435897435897,0.05391373801916933,0.06606942889137737,top60
PS(E_PS_RS_AS_C_M),PS,0.2537689877497329,0.1282428403814374,4.56859103039574,0.08300395256916997,0.05897435897435897,0.05391373801916933,0.06606942889137737,top60
E(E_RS),E,0.3724360924398921,0.6873897707231039,16.333333333333336,0.22,0.18382352941176472,0.2734375,0.10416666666666667,top60
RS(E_RS),RS,0.3724360924398921,0.8807043650793651,13.26857912134717,0.22,0.18382352941176472,0.2734375,0.10416666666666667,top60
M(M_M),M,0.5,0.4442857142857143,6.257142857142856,0.0,0.35,0.4166666666666667,0.25,top60
M(M_PS),M,0.19264993093289137,0.4442857142857143,6.257142857142858,0.17142857142857143,0.18421052631578946,0.21978021978021978,0.15151515151515152,top60
PS(M_PS),PS,0.19264993093289137,0.12722322628632415,3.8420491711250278,0.17142857142857143,0.18421052631578946,0.21978021978021978,0.15151515151515152,top60
M(M_RS),M,0.4520089285714286,0.4442857142857143,6.257142857142859,0.08333333333333333,0.18181818181818182,0.19117647058823528,0.171875,top60
RS(M_RS),RS,0.4520089285714286,0.8807043650793651,12.380952380952381,0.08333333333333333,0.18181818181818182,0.19117647058823528,0.171875,top60
PS(PS_PS),PS,0.24583771835338442,0.12722322628632415,3.7044763645134786,0.15873015873015872,0.3,0.3235294117647059,0.2777777777777778,top60
PS(PS_RS),PS,0.35032293997874697,0.12823779771761193,3.9730579203312155,0.11578947368421053,0.20562770562770563,0.1925925925925926,0.22395833333333334,top60
RS(PS_RS),RS,0.35032293997874697,0.6728734327526064,19.15226867847156,0.11578947368421053,0.20562770562770563,0.1925925925925926,0.22395833333333334,top60
RS(RS_RS),RS,0.8807043650793651,0.8807043650793651,12.38095238095238,0.0,0.40476190476190477,0.3333333333333333,0.4583333333333333,top60
AS(AS),AS,0.7088293650793649,0.6817941673710902,22.868131868131865,0.0,0.20833333333333334,0.16666666666666666,0.2708333333333333,top60
C(C),C,0.6428571428571428,0.42429315476190477,12.047619047619047,0.0,0.19444444444444445,0.28125,0.125,top60
E(E),E,0.8833705357142855,0.6873897707231039,16.333333333333336,0.0,0.34444444444444444,0.29310344827586204,0.4375,top60
M(M),M,0.5,0.4442857142857143,6.257142857142856,0.0,0.35,0.4166666666666667,0.25,top60
PS(PS),PS,0.24583771835338442,0.12722322628632415,3.7044763645134786,0.15873015873015872,0.3,0.3235294117647059,0.2777777777777778,top60
RS(RS),RS,0.8807043650793651,0.8807043650793651,12.38095238095238,0.0,0.40476190476190477,0.3333333333333333,0.4583333333333333,top60
