point_label,module_abbr,network_T_s,module_T_s,module_pheno_score
AS(AS),AS,0.7961805555555557,0.7966346153846154,25.607692307692307
C(C),C,0.75,0.7382187499999999,14.033333333333333
E(E),E,0.918359375,0.9180555555555555,17.033333333333335
M(M),M,0.64375,0.645,7.6
PS(PS),PS,0.17793105590004388,0.08597163233790597,2.5027200381283636
RS(RS),RS,0.9164930555555556,0.9164930555555557,12.866666666666667
C(AS_C),C,0.6247243699885453,0.7382187499999999,13.43108651086511
AS(AS_C),AS,0.6247243699885453,0.7966346153846154,27.005769230769232
E(AS_E),E,0.7435378599114064,0.9180555555555555,17.033333333333335
AS(AS_E),AS,0.7435378599114064,0.7966346153846154,25.94333346408818
M(AS_M),M,0.7381315969062785,0.645,7.6000000000000005
AS(AS_M),AS,0.7381315969062785,0.7966346153846154,28.24735136829596
PS(AS_PS),PS,0.3144019460597872,0.08599920878283282,2.747110125598026
AS(AS_PS),AS,0.3144019460597872,0.7097920251747395,25.024863578205423
RS(AS_RS),RS,0.6660022650557155,0.9093014604719597,25.7411672873216
AS(AS_RS),AS,0.6660022650557155,0.7817743778112956,27.58326406975705
M(C_M),M,0.7765,0.79,29.919999999999998
C(C_M),C,0.7765,0.7521368243243243,24.375
PS(C_PS),PS,0.33964462555866026,0.08597163233790597,2.5027200381283627
C(C_PS),C,0.33964462555866026,0.7382187499999999,14.334168272449809
RS(C_RS),RS,0.8044824966699967,0.9164930555555557,12.866666666666667
C(C_RS),C,0.8044824966699967,0.7382187499999999,21.445833333333333
M(E_M),M,0.8022569444444444,0.7187500000000001,22.359999999999996
E(E_M),E,0.8022569444444444,0.9180555555555555,24.15555555555555
PS(E_PS),PS,0.5088502951806279,0.08597163233790597,2.4575698462899545
E(E_PS),E,0.5088502951806279,0.9180555555555555,17.033333333333335
RS(E_RS),RS,0.5749570871863321,0.9164930555555557,13.801321451370592
E(E_RS),E,0.5749570871863321,0.9180555555555555,17.03333333333334
PS(M_PS),PS,0.20145714748190077,0.08597163233790597,2.6017300862684816
M(M_PS),M,0.20145714748190077,0.645,7.6000000000000005
RS(M_RS),RS,0.8097120098039217,0.9164930555555557,12.866666666666669
M(M_RS),M,0.8097120098039217,0.645,7.600000000000001
RS(PS_RS),RS,0.2748574634226488,0.5448964561169155,15.856608790175917
PS(PS_RS),PS,0.2748574634226488,0.08899690526805669,2.7714405276486875
AS(AS_AS),AS,0.7961805555555557,0.7966346153846154,25.60769230769231
C(C_C),C,0.75,0.7382187499999999,14.033333333333333
E(E_E),E,0.918359375,0.9180555555555555,17.033333333333335
M(M_M),M,0.64375,0.645,7.6
PS(PS_PS),PS,0.17793105590004388,0.08597163233790597,2.5027200381283636
RS(RS_RS),RS,0.9164930555555556,0.9164930555555557,12.866666666666667
RS(C_AS_RS),RS,0.6622966113191232,0.9093014604719597,27.428672949461347
C(C_AS_RS),C,0.6622966113191232,0.7151022117512238,19.673868111594423
AS(C_AS_RS),AS,0.6622966113191232,0.7817743778112956,28.968753267210868
RS(E_C_AS_RS),RS,0.38777593175855696,0.9078620058152095,26.774038494441974
C(E_C_AS_RS),C,0.38777593175855696,0.6578208757029594,19.59052559618065
E(E_C_AS_RS),E,0.38777593175855696,0.8431677663808752,23.67192590452096
AS(E_C_AS_RS),AS,0.38777593175855696,0.7816551954530992,29.942461373310373
RS(E_PS_RS_AS_C_M),RS,0.25855780097978665,0.5465652033052769,21.870678143559395
E(E_PS_RS_AS_C_M),E,0.25855780097978665,0.8375895173620399,37.400971287824945
C(E_PS_RS_AS_C_M),C,0.25855780097978665,0.720938607170254,30.659294706463513
M(E_PS_RS_AS_C_M),M,0.25855780097978665,0.7878173695125472,36.43147417646958
AS(E_PS_RS_AS_C_M),AS,0.25855780097978665,0.6699441390579157,27.694489041628643
PS(E_PS_RS_AS_C_M),PS,0.25855780097978665,0.08900971986477811,3.323685308669941
