point_label,module,module_T_s,network_T_s,pheno_score,basin_size,network_name
AS(AS),AS,0.633090189823936,0.6408327698895651,13.98076923076923,0.2935,Single_AS
C(C),C,0.4474999999999999,0.4798055974526562,6.263888888888889,0.5012800000000001,Single_C
E(E),E,0.7292318727177881,0.7305720899470898,13.222222222222221,0.50018,Single_E
M(M),M,0.3728070175438596,0.3722222222222222,4.066666666666666,0.37314,Single_M
PS(PS),PS,0.2336783610562816,0.3449461423958545,6.756355141398846,0.29494,Single_PS
RS(RS),RS,0.7413194444444445,0.7413194444444445,10.222222222222221,0.39084,Single_RS
AS(AS_AS),AS,0.633090189823936,0.6408327698895651,13.98076923076923,0.2916333333333333,Comb_AS_AS
C(AS_C),C,0.4474999999999999,0.5051184841752794,6.2638888888888875,0.1467333333333333,Comb_AS_C
AS(AS_C),AS,0.633090189823936,0.5051184841752794,14.403846153846155,0.1467333333333333,Comb_AS_C
E(AS_E),E,0.7292318727177881,0.6501350849052425,13.222222222222221,0.1516333333333333,Comb_AS_E
AS(AS_E),AS,0.633090189823936,0.6501350849052425,15.115384615384617,0.1516333333333333,Comb_AS_E
M(AS_M),M,0.3728070175438596,0.5946349378200868,4.066666666666666,0.1519333333333333,Comb_AS_M
AS(AS_M),AS,0.633090189823936,0.5946349378200868,14.852564102564102,0.1519333333333333,Comb_AS_M
PS(AS_PS),PS,0.2336783610562816,0.3964718319458073,7.393610030715203,0.092,Comb_AS_PS
AS(AS_PS),AS,0.6319972768889177,0.3964718319458073,14.115151043288694,0.092,Comb_AS_PS
RS(AS_RS),RS,0.7413194444444445,0.5981766097334573,13.833333333333332,0.14654,Comb_AS_RS
AS(AS_RS),AS,0.633090189823936,0.5981766097334573,15.175712250712248,0.14654,Comb_AS_RS
C(C_AS),C,0.4474999999999999,0.5051184841752794,6.2638888888888875,0.14792,Comb_C_AS
AS(C_AS),AS,0.633090189823936,0.5051184841752794,14.403846153846155,0.14792,Comb_C_AS
RS(C_AS_RS),RS,0.7413194444444445,0.544249908886105,13.833333333333332,0.06584,Comb_C_AS_RS
C(C_AS_RS),C,0.4474999999999999,0.544249908886105,9.75,0.06584,Comb_C_AS_RS
AS(C_AS_RS),AS,0.633090189823936,0.544249908886105,15.598789173789173,0.06584,Comb_C_AS_RS
C(C_C),C,0.4474999999999999,0.4798055974526562,6.263888888888889,0.501,Comb_C_C
E(C_E),E,0.7292318727177881,0.5641386822928405,14.777777777777775,0.2771666666666667,Comb_C_E
C(C_E),C,0.4455158730158729,0.5641386822928405,7.513888888888888,0.2771666666666667,Comb_C_E
M(C_M),M,0.4499999999999999,0.4835482226107227,16.666666666666664,0.4564000000000001,Comb_C_M
C(C_M),C,0.4589572192513369,0.4835482226107227,10.48611111111111,0.4564000000000001,Comb_C_M
PS(C_PS),PS,0.2336783610562816,0.34286511258064234,6.756355141398846,0.1546,Comb_C_PS
C(C_PS),C,0.4474999999999999,0.34286511258064234,8.76388888888889,0.1546,Comb_C_PS
RS(C_RS),RS,0.7413194444444445,0.5683455212958692,10.222222222222221,0.26668,Comb_C_RS
C(C_RS),C,0.4474999999999999,0.5683455212958692,9.513888888888888,0.26668,Comb_C_RS
E(E_AS),E,0.7292318727177881,0.6501350849052425,13.222222222222221,0.15184,Comb_E_AS
AS(E_AS),AS,0.633090189823936,0.6501350849052425,15.115384615384617,0.15184,Comb_E_AS
E(E_C),E,0.7292318727177881,0.5641386822928405,14.777777777777775,0.27922,Comb_E_C
C(E_C),C,0.4455158730158729,0.5641386822928405,7.513888888888888,0.27922,Comb_E_C
RS(E_C_AS_RS),RS,0.7413194444444445,0.49598340961322174,13.944444444444443,0.04256,Comb_E_C_AS_RS
C(E_C_AS_RS),C,0.4455158730158729,0.49598340961322174,8.624999999999998,0.04256,Comb_E_C_AS_RS
E(E_C_AS_RS),E,0.7292318727177881,0.49598340961322174,11.88888888888889,0.04256,Comb_E_C_AS_RS
AS(E_C_AS_RS),AS,0.633090189823936,0.49598340961322174,16.40733618233618,0.04256,Comb_E_C_AS_RS
E(E_E),E,0.7292318727177881,0.7305720899470898,13.222222222222221,0.5034666666666666,Comb_E_E
M(E_M),M,0.3771929824561403,0.6031246506126988,6.0,0.26274,Comb_E_M
E(E_M),E,0.7292318727177881,0.6031246506126988,15.851851851851851,0.26274,Comb_E_M
PS(E_PS),PS,0.2336783610562816,0.47026647412669753,7.079503289546993,0.1557,Comb_E_PS
E(E_PS),E,0.7292318727177881,0.47026647412669753,13.222222222222221,0.1557,Comb_E_PS
RS(E_PS_RS_AS_C_M),RS,0.7385969065656566,0.39894634422145697,24.770833333333332,0.01814,Comb_E_PS_RS_AS_C_M
AS(E_PS_RS_AS_C_M),AS,0.6319972768889177,0.39894634422145697,17.762943066080716,0.01814,Comb_E_PS_RS_AS_C_M
C(E_PS_RS_AS_C_M),C,0.45732323232323235,0.39894634422145697,4.880555555555555,0.01814,Comb_E_PS_RS_AS_C_M
PS(E_PS_RS_AS_C_M),PS,0.23150916017242085,0.39894634422145697,7.6008056159488815,0.01814,Comb_E_PS_RS_AS_C_M
M(E_PS_RS_AS_C_M),M,0.45416666666666655,0.39894634422145697,11.666666666666666,0.01814,Comb_E_PS_RS_AS_C_M
E(E_PS_RS_AS_C_M),E,0.7292318727177881,0.39894634422145697,18.666666666666664,0.01814,Comb_E_PS_RS_AS_C_M
RS(E_RS),RS,0.7413194444444445,0.4876657154014761,10.333333333333332,0.1993666666666667,Comb_E_RS
E(E_RS),E,0.7292318727177881,0.4876657154014761,13.222222222222221,0.1993666666666667,Comb_E_RS
M(M_M),M,0.3728070175438596,0.3722222222222222,4.066666666666666,0.3764666666666666,Comb_M_M
PS(M_PS),PS,0.2336783610562816,0.3480010932642729,6.756355141398846,0.1124,Comb_M_PS
M(M_PS),M,0.3728070175438596,0.3480010932642729,4.066666666666666,0.1124,Comb_M_PS
RS(M_RS),RS,0.7413194444444445,0.652945788530466,10.222222222222221,0.147,Comb_M_RS
M(M_RS),M,0.3728070175438596,0.652945788530466,4.066666666666666,0.147,Comb_M_RS
PS(PS_PS),PS,0.2336783610562816,0.3449461423958545,6.756355141398846,0.2973333333333333,Comb_PS_PS
RS(PS_RS),RS,0.7385969065656566,0.4284362212435386,21.87361111111111,0.167,Comb_PS_RS
PS(PS_RS),PS,0.23150916017242085,0.4284362212435386,6.638226051307846,0.167,Comb_PS_RS
RS(RS_RS),RS,0.7413194444444445,0.7413194444444445,10.222222222222221,0.3935,Comb_RS_RS
