Source,Wee1,UbcH10,U_Kinetochores,Replication,Plk1_H,Plk1,pAPC,Mad2,FoxM1,f4N_DNA,Emi1,Ect2,Cytokinesis,CyclinB,CyclinA_mRNA,CyclinA,CHK1,Cdk1,Cdh1,Cdc25C,Cdc25B,Cdc25A,Cdc20,ATR,A_Kinetochores
Wee1,0.2670068891712988,-0.012432973037587147,-0.1272692327866864,-0.1298324050110854,-0.4249087013259235,-0.39753033415545647,-0.3142261351232683,0.07687306341473284,-0.29753495458355383,0.04028219319727177,0.30492053457218393,0.057236021911762136,0.05888819565330354,0.009773839712126565,-0.30019509060670796,0.09509820931080717,-0.13333193590366896,-0.4388332312596657,0.09265101369182178,-0.3379328493764769,-0.26788315142250946,-0.24954400880301342,-0.03156343471076118,-0.1312571290835119,-0.18198037197859432
UbcH10,0.3187343856725039,-0.06820838674523352,-0.19918249734805377,-0.2500005799499402,-0.49101677465398497,-0.4675414298227176,-0.25118263018643716,0.12036495254986505,-0.4764643586032976,-0.33551666022002813,0.3964080369754951,0.0619357455425257,0.0639155763267186,-0.22878236783106373,-0.4742867389089275,-0.26481541357342747,-0.25121018596797673,-0.3875504836955348,0.32102243571373373,-0.41858413880219303,-0.4279222200783385,-0.43458973363489306,0.09558480731624305,-0.251156199159536,-0.301628271476252
U_Kinetochores,0.2617191674936292,-0.1613953358906113,-0.04223233734944424,-0.2589160753596477,-0.3607322276481889,-0.34866701596518446,-0.13145434236068682,0.06496035846536082,-0.3445107424338921,-0.11795665152081243,-0.07066981451970775,-0.13761532430382004,-0.1367591261572729,-0.1507786554399798,-0.3409319411501728,-0.23898187788326627,-0.25840394518212645,-0.21769675329659996,0.3259753937629163,-0.22525466576550252,-0.22748855883909855,-0.3170191080436239,0.040033435038269415,-0.25925838889113423,0.08032578458220795
Replication,0.3318750271277415,-0.0322920713911475,0.08194796565803651,-0.05655234363968421,-0.3146762680162938,-0.34382607759380757,-0.24567952407884808,-0.006992974207824802,-0.1518092035216204,0.196862083959721,0.06947885502714063,0.09933892513954805,0.10028997976128569,-0.019270949123098978,-0.15142920263320175,-0.0031772641743557976,0.042163127600589226,-0.25478028610837566,0.16421623654421166,0.00922081023730757,0.12079645459883533,-0.21503724588121872,0.06851867005185559,0.04270224002873732,0.1044532594210477
Plk1_H,-0.21405397303349055,-0.061851164558132665,-0.14834546047298153,-0.027169251312027666,0.4610607037845451,0.32894253556868486,0.3270554597830858,-0.1310508584751076,0.21531574307635798,-0.3114194230992217,-0.21949685107936912,0.3276760139340804,0.3260431167942094,-0.12762647606350844,0.22032820798812208,-0.20966855442295668,-0.022624099384322697,0.1612957434841041,0.16722797400620956,0.22794368869726228,0.05918590474361857,0.054028150385046506,0.185905819630588,-0.02557050858371519,0.07159884293045557
Plk1,-0.09786260600979493,-0.06018461981544432,-0.12408015642917573,-0.07399446595881846,0.32688444727092875,0.09371456660421437,0.2987020199602582,-0.10593853934643316,0.09442267390967682,-0.20073103234275091,-0.19953781184991198,0.10873183438377443,0.10841001293355768,-0.13451758472338488,0.09695821515066239,-0.18539910651568253,-0.072199730451449,0.1336191122327742,0.15564527441900702,0.12372227914541478,0.059876453299497444,0.03857460033402303,0.16453804648383324,-0.07350544488438557,0.04044599247050204
pAPC,0.3172239020469475,-0.1502139562160922,-0.06620675539936144,-0.2441748637537126,-0.4215573343223249,-0.3987090161193804,-0.07841416018110828,0.26475395197346757,-0.40198026892429767,-0.27594316352398973,0.38633767947437336,0.2157354874796294,0.21756668770679247,-0.3431684995805332,-0.40207463921316206,-0.19027769119115595,-0.24652463536174146,-0.4469282696944929,0.21678409732371615,-0.4525957896837066,-0.364297534157617,-0.3588443937283349,0.15812249047840804,-0.24550018382989647,-0.3992641311196977
Mad2,-0.32586022907595563,-1.263003220051191e-4,0.05018137615686195,0.17911290785531345,0.40013820497572883,0.38220604458050345,0.10339359561288193,-0.2475840001297783,0.38384107570964515,0.1758075261719981,-0.35886869999400156,-0.2194738352909312,-0.2212345659809687,0.32298627641829547,0.3815632097357191,0.08556807846687899,0.1800363741664079,0.4335887113027864,-0.20030785122480607,0.43557624537575174,0.3503799373832145,0.34211740887281417,-0.15430801373177597,0.18015205404862475,0.37361681569063043
FoxM1,-0.28288719616528235,0.23098768688032417,0.18465113428878613,0.26265820380565497,0.5897543895861734,0.46381787749654907,0.37286616222430224,-0.1007074095696868,0.3638908247600493,0.13277358245789547,-0.37426786978061544,0.043306288875502384,0.04133631564524973,0.2694124227506468,0.4654158540261727,0.04447429084142153,0.26595930315321653,0.39926465883818496,-0.17359984467049822,0.4088833287759622,0.4286602103699889,0.4154263261104655,-0.009738113799624684,0.2642116382058047,0.25198443631690803
f4N_DNA,-0.2874397694830675,-0.021171445851519394,0.10105198015731767,-0.23248794279427817,0.3223560811107407,0.20254018404927762,0.2570394237731447,-0.07898816968565449,0.2956994314296801,-0.037515675258958193,-0.24587598093575766,0.011213694979215833,0.009859927576844183,0.06565121795692903,0.297702885072478,-0.17857834371001707,-0.22994572203019953,0.357861885434514,0.04560883929341511,0.33419449827582676,0.24132140355324788,0.15984999242079334,0.07953162377667403,-0.23136516668180168,0.26065221388343607
