Source,Wee1,UbcH10,SMAC,Plk1,pAPC,MCL_1,IAPs,FoxM1,Emi1,Cyto_C,CyclinB,CyclinA_mRNA,CyclinA,Cdk1,Cdh1,Cdc25C,Cdc25B,Cdc25A,Cdc20,Casp9,Casp8,Casp3,Casp2,BIM,BIK,BID,BCLXL,BCL2,BAX,BAK,BAD
Wee1,0.29106429217501983,-0.025202838111782394,-0.05747714277085123,-0.39916338019080083,-0.31540565988187563,0.16686375502726186,0.05779131073247544,-0.3127884890670815,0.34735146918504245,-0.05747714277085123,-0.007900998370590441,-0.31362140105267755,0.07027539814674184,-0.45691409307413433,0.13228719319721288,-0.3577057179086373,-0.31362140105267755,-0.2739755460154765,-0.015750003698469583,-0.06428450906137237,-0.05958014071667089,-0.0649662536303633,0.3079078426467498,-0.05593573844290166,-0.05593573844290166,-0.010684163673407144,0.023886168910387955,0.033246016285471185,-0.05698941399960213,-0.05698941399960213,-0.061156076839665355
UbcH10,0.47686475619910207,-0.08519190885893034,0.11285487590149437,-0.49806716963340386,-0.26634335963200617,0.24223416942056866,-0.11632178270023368,-0.5022623376489712,0.4577566753877778,0.11285487590149437,-0.24927721833273114,-0.4953928592177436,-0.293311228866235,-0.46697312961128956,0.3760193805819981,-0.46667494565845924,-0.4953928592177436,-0.4708037650528548,0.1176237467654323,0.12816099640181647,0.1389628180039139,0.13780159737199385,0.3288051524341508,0.08521927760554059,0.08521927760554059,0.12895074475107843,-0.12792816370462856,-0.1311036597635054,0.11108781393652145,0.11108781393652145,0.1452268782544012
SMAC,-0.5930975759789051,0.03125037081886089,0.5336581387768574,0.4641865844792796,0.3633992033257218,-0.5983437093909576,-0.5653991573319305,0.3635352998815639,-0.4038795571309601,0.5336581387768574,0.03567807099662201,0.34795851810345957,-0.07799816269349566,0.5248911423546063,-0.18947301823257454,0.410697684581272,0.34795851810345957,0.32603615602185276,-0.0248117660984334,0.8757179869466398,0.7976261127596439,0.8911690184520824,0.3508031794807878,0.5637671490446122,0.5637671490446122,0.5502583445337782,-0.5783897792448067,-0.6136280270059512,0.5873611965608361,0.5873611965608361,0.7981220657276995
Plk1,-0.062136681099068856,-0.061511189983127566,-0.2829421412569304,0.05511250640929292,0.2775266062711968,0.015076400958477584,0.27835411178880853,0.08256573500770661,-0.11105909046310455,-0.2829421412569304,-0.12746450458755013,0.08593182455222459,-0.17361094477711106,0.12111825812078827,0.1478272494344808,0.1187795328960227,0.08593182455222459,0.040246058478093,0.15094436157336658,-0.3204386583251246,-0.31856022925554306,-0.33144803504802595,0.006558688314669968,-0.2631378335723088,-0.2631378335723088,-0.2572211739255775,0.2538189967007322,0.2905605245532424,-0.28596909821701105,-0.28596909821701105,-0.33281208608039525
pAPC,0.42515571375829503,-0.1790067899165509,-0.24867006061852032,-0.442721359704443,-0.1020015692359066,0.322260321136454,0.24421695996411086,-0.4480347184893188,0.49873899492709006,-0.24867006061852032,-0.38412854851339195,-0.44360704834248166,-0.23446757329566242,-0.5086538844059446,0.3052483740448472,-0.5075969694094307,-0.44360704834248166,-0.4154280923054916,0.20643432831164715,-0.2634857716121043,-0.24073078100911016,-0.2605370314238139,0.4640900024839099,-0.2325443951188519,-0.2325443951188519,-0.11390529418752857,0.2018662983090486,0.22307427332032223,-0.2510019636930578,-0.2510019636930578,-0.2481994079485868
MCL_1,0.5758192711482438,-0.021369817021990936,-0.8941051127764931,-0.4595850879199236,-0.3358548477699135,0.5733668582308812,0.7986754966887417,-0.35348484348715237,0.37371129939029213,-0.8941051127764931,-0.058245573870573865,-0.28688524590163933,0.07143387993862677,-0.48233196810510276,0.22862998147816213,-0.37477716390423577,-0.28688524590163933,-0.33227248104008666,0.10254173471239339,-0.7992982456140351,-0.6,-0.7,-0.4729623809774532,-0.9797134692936342,-0.9797134692936342,-0.9766834722442999,0.9522040895454842,0.9623873084322607,-0.9849968498913009,-0.9849968498913009,-0.6
IAPs,0.6084844446235048,-0.031984829817876564,-0.5873611965608361,-0.4731090358298459,-0.3772271774195748,0.6232414865079006,0.5336581387768574,-0.37206417746964965,0.41613165904996396,-0.5873611965608361,-0.03204989201158873,-0.3635352998815639,0.08273061139481594,-0.5410304575848306,0.1904798185505115,-0.42403581580353417,-0.3635352998815639,-0.33133398078298304,0.01882823984566661,-0.9528696488440644,-0.8911690184520824,-0.9795992051467971,-0.3638253815650651,-0.5989871075530435,-0.5989871075530435,-0.5852576592580689,0.6013586925154442,0.6408035995250352,-0.6277032609072062,-0.6277032609072062,-0.8925738490830495
FoxM1,-0.35947157565161547,0.24891361078696148,0.06900493744607902,0.4759112848305863,0.3741059285721575,-0.2509573198742322,-0.06770019620516404,0.38484330651723464,-0.42703336266115927,0.06900493744607902,0.2937901527168442,0.4833114507364681,0.0752836674618732,0.4365007642509827,-0.22440291135153542,0.4375761674784881,0.4833114507364681,0.44674736564179146,-0.032346479781016554,0.07251012206857013,0.06245335538093908,0.07009753601782046,-0.38737331750303705,0.07054906697537412,0.07054906697537412,0.010163981503733188,-0.02451983841446194,-0.03343218511635617,0.06940893655046655,0.06940893655046655,0.06365516169564278
Emi1,-0.4224184280272694,0.2114945356061694,0.06163777844541862,0.4443562117157464,0.1646488377612498,-0.2579743848844298,-0.05845967493004698,0.44719320749638475,-0.39572082634685607,0.06163777844541862,0.27502449543449325,0.4429898185381613,0.24565212289623614,0.40383968563013795,-0.4242067724274004,0.405075269785023,0.4429898185381613,0.4172213687141381,-0.12694672816961733,0.06121603585427411,0.04571201734045771,0.055449487507522155,-0.35734822143408485,0.0639624207499619,0.0639624207499619,0.004820062403746277,-0.015470945172124195,-0.02211668767899558,0.06312189782574004,0.06312189782574004,0.046472094214029695
Cyto_C,-0.5790712859030371,0.03032848898784212,0.5250366738756403,0.44899938430833997,0.3479431564753875,-0.5820936720182047,-0.4601957766403769,0.3502888756089368,-0.3896187034707089,0.5250366738756403,0.02949327262541162,0.33695111847555925,-0.07361735674571887,0.5106080464589818,-0.17268050170223975,0.39668458314519583,0.33695111847555925,0.3126149718140466,-0.01215938094443912,0.87219276582475,0.7969754253308128,0.8895233705362923,0.3324590194478292,0.5510578735103201,0.5510578735103201,0.537278525307186,-0.5624973147550021,-0.5995861681043972,0.5755453513142998,0.5755453513142998,0.7976261127596439
