state_type,network_T_s,intra_module_T_s,raw_module_T_s,inter_module_sum_T_s,intra_module_sum_T_s,inter_module_T_s,impurity,density,intra_density,inter_density
dominant_module,0.5524,0.6416,0.6058,0.4269,0.566,0.4934,-0.6168,-0.3064,-0.4344,0.1085
top30_module,0.563,0.6438,0.6071,0.4281,0.5767,0.4991,-0.6192,-0.2941,-0.4133,0.0976
top60_module,0.6234,0.6418,0.5856,0.4684,0.5887,0.4852,-0.6306,-0.3003,-0.362,0.045
dominant_network,0.4961,0.1882,0.1542,0.482,0.2929,0.3752,-0.621,-0.2644,-0.572,0.3148
top30_network,0.5702,0.2307,0.1908,0.5019,0.359,0.3907,-0.6562,-0.196,-0.4633,0.2644
top60_network,0.7268,0.1477,0.0779,0.5877,0.2298,0.4575,-0.5928,0.0209,-0.316,0.4224
PC1_var,0.7132,0.1617,0.0965,0.8486,0.2516,0.6606,-0.3312,0.5019,0.1152,0.5648
NumPC_90,-0.3949,-0.3983,-0.399,-0.4969,-0.6198,-0.3868,-0.0733,-0.4914,-0.3253,-0.2928
PCA_entropy,-0.6015,-0.3862,-0.3411,-0.7193,-0.6011,-0.56,0.0779,-0.5093,-0.3254,-0.3288
