Network,G11,G12,G21,G22,Gs,GW
Comb_AS_C_E_M,0.26918714555765616,0.005797101449275361,0.005797101449275361,0.10408163265306121,0.5200962111372589,0.5536499792103355
Comb_AS_C_E_PS,0.05304562197713975,0.005863841849575716,0.005863841849575716,0.013333333333333334,0.1895405856587571,0.19458831196171136
Comb_AS_C_E_RS,0.0753055913675158,0.008505747126436782,0.008505747126436782,0.013333333333333334,0.37803724517525866,0.3843245032278826
Comb_AS_C_M_PS,0.045484839691548755,0.0064870530731590634,0.0064870530731590634,0.02179930795847751,0.12207456274259806,0.12951929201798754
Comb_AS_C_M_RS,0.11301775147928987,0.004142011834319526,0.004142011834319526,0.011834319526627219,0.42283744301812476,0.42595595226669847
Comb_AS_C_PS_RS,0.042575423333232346,0.010614608529276868,0.010614608529276868,0.008888888888888889,0.27002065297786454,0.2742968731214288
Comb_AS_CC_C_E,0.12517006802721078,0.0033154121863799286,0.0033154121863799286,0.10808691237159446,0.3521380261795826,0.3748176320604208
Comb_AS_CC_C_M,0.17932098765432086,-0.0015884652981427178,-0.0015884652981427178,0.1265662428223934,0.3639095109898429,0.3861329471743831
Comb_AS_CC_C_PS,0.060609316250674804,0.003991090493794238,0.003991090493794238,0.01020408163265306,0.1846341502762763,0.1874949776460334
Comb_AS_CC_C_RS,0.15412414347494824,0.0017846475507765826,0.0017846475507765826,0.012345679012345678,0.3229367052275428,0.32457436691060704
Comb_AS_CC_E_M,0.187,0.0043972835314091685,0.0043972835314091685,0.17246000422725322,0.3797705556279512,0.42555230917184894
Comb_AS_CC_E_PS,0.15709342560553624,0.007459359184900155,0.007459359184900155,0.05182405491506075,0.20439713327088002,0.23927047439669982
Comb_AS_CC_E_RS,0.10748299319727886,0.0034003630777824367,0.0034003630777824367,0.12376265063184574,0.2942768192435543,0.32871990089963904
Comb_AS_CC_M_PS,0.05798816568047338,0.004688833587114909,0.004688833587114909,0.05409422174638223,0.19774949150993204,0.21303837314620605
Comb_AS_CC_M_RS,0.13356263697463344,0.002159573506822083,0.002159573506822083,0.04083044982698962,0.3322405879168146,0.3419544972526073
Comb_AS_CC_PS_RS,0.013888888888888888,0.014872474841138664,0.014872474841138664,0.020009499964878993,0.20479345256939005,0.20873955290260843
Comb_AS_E_M_PS,0.19600000000000006,0.0035606722623416553,0.0035606722623416553,0.08015116742640982,0.28487196830288564,0.3287684212015921
Comb_AS_E_M_RS,0.20166204986149583,0.006094182825484769,0.006094182825484769,0.14626038781163433,0.41172428896213503,0.4726478095962711
Comb_AS_E_PS_RS,0.1401234567901234,0.010175948322320183,0.010175948322320183,0.02774857952123674,0.23751168576704035,0.2682555751382646
Comb_AS_M_PS_RS,0.05,0.01254929087205147,0.01254929087205147,0.028506208762322297,0.25663398323535097,0.26710162322902975
Comb_C_E_M_PS,0.21580696854135956,0.005040175183198991,0.005040175183198991,0.005917159763313609,0.39771580498837966,0.39669311334339624
Comb_C_E_M_RS,0.2580958936876645,0.0108695652173913,0.0108695652173913,0.02708333333333334,0.5748339135679137,0.5790404162380114
Comb_C_E_PS_RS,0.11167917414402513,0.015517241379310343,0.015517241379310343,0.017857142857142863,0.286758335179412,0.29054887321291806
Comb_C_M_PS_RS,0.21750950648178377,0.012820512820512817,0.012820512820512817,0.00902777777777778,0.35496167009007074,0.3544156220606013
Comb_CC_C_E_M,0.38891966759002805,0.007565789473684209,0.007565789473684209,0.009562482426801074,0.4511062109806614,0.4902058430139544
Comb_CC_C_E_PS,0.11392753280877843,0.0031256975150337424,0.0031256975150337424,0.010222222222222225,0.22224232182124465,0.2211018570553267
Comb_CC_C_E_RS,0.10914287714382098,0.009999999999999997,0.009999999999999997,0.013888888888888888,0.3443108838436776,0.3496716475371353
Comb_CC_C_M_PS,0.18466926849665907,-0.0023256886140365675,-0.0023256886140365675,0.006508875739644971,0.20454337269319822,0.20266225314104674
Comb_CC_C_M_RS,0.22721986589261647,0.003181818181818182,0.003181818181818182,0.01,0.40573523178445536,0.40660297933913636
Comb_CC_C_PS_RS,0.09950149562964158,0.010989010989010985,0.010989010989010985,0,0.19847751713784334,0.1947761320147552
Comb_CC_E_M_PS,0.49166666666666653,0.0068452380952380935,0.0068452380952380935,0.010654931843816157,0.24570977037032649,0.41409138497945913
Comb_CC_E_M_RS,0.49166666666666653,0.01008771929824561,0.01008771929824561,-3.0601431895186835e-4,0.2789421333237063,0.41508943624394967
Comb_CC_E_PS_RS,0.1695312499999999,0.010576923076923074,0.010576923076923074,0.06450333400062969,0.14731705582834723,0.18710706311494774
Comb_CC_M_PS_RS,0.024803881275570677,-0.012005863456249254,-0.012005863456249254,0.15010762743260472,0.10676681174561548,0.12080614578289123
Comb_E_M_PS_RS,0.1270833333333333,-0.005758329845525935,-0.005758329845525935,0.17408931938929306,0.16793570414691997,0.2267272378013837
