1	2	8.257033	-0.249439	-9.654803	3.549305	6.390227	10.362427	5.958014	-1.067345	-7.056029	-6.827559	-15.043368	-23.500460	-25.589650	-7.071701	-4.885948	6.727142	-8.923853	8.257033	5.284506	3.639585	7.466468	-2.339332	-19.342815	-6.531491	8.750441	7.800087	6.040164	10.286263	5.876942	8.874480	3.206292	6.346908	2.323016	1.712582
2	2	6.503909	5.787087	6.860057	4.193669	3.754475	-14.563068	-9.039853	6.173196	5.086309	4.216165	3.975539	4.986718	6.247645	8.076257	3.765100	3.465714	5.940093	6.503909	-0.766882	-5.028701	1.698243	8.682363	9.150679	5.809209	-2.605970	-10.051781	-11.660504	-19.789808	-28.221673	-22.445687	-4.755743	-7.069016	3.992748	-4.554614
4	2	8.499515	8.028786	8.260436	6.091163	-4.751975	-29.072558	-13.665427	7.091311	7.996770	7.463197	9.702637	10.527574	11.284024	5.782458	7.449634	3.148825	7.151484	8.499515	3.086801	-9.071425	0.110785	4.364003	8.011078	7.812008	1.194405	-6.646732	-7.488184	-8.431457	-22.708752	-21.991451	-6.193556	-5.266507	6.409604	-8.479469
6	2	7.011381	5.760263	-13.725344	1.744299	6.163758	9.658536	4.437491	0.654550	-9.943787	-11.212052	-7.305935	-16.394142	-20.089584	-5.161897	-4.913466	5.006366	-5.945752	7.011381	8.862621	5.160921	7.708277	-0.671991	-21.556500	-12.413096	6.182621	7.557413	5.465528	8.906937	11.645850	11.916217	4.669667	6.945950	2.025668	4.043450
8	2	6.988568	6.657803	6.661531	6.986423	-0.956329	-15.547390	-10.069882	7.517656	7.948804	4.561566	11.227568	9.311472	9.147415	6.819230	8.707575	0.194757	8.056072	6.988568	0.373702	-6.534675	2.665861	4.115112	10.303705	8.177847	-3.131779	-4.162613	-11.070250	-12.206690	-16.752638	-18.178781	-2.191413	-3.564286	6.075763	-4.028587
10	2	5.368481	1.911382	3.737024	7.500346	-5.216246	-12.386104	-9.511433	1.509377	6.104267	8.743946	5.498002	12.659784	10.102845	7.580129	6.419549	1.432772	2.550775	5.368481	-2.975401	-12.744529	1.641805	6.913023	10.707024	6.763884	-2.917646	-7.914554	-9.189583	-18.568862	-20.727710	-13.770434	-4.102062	1.582640	6.340568	-8.387963
11	2	6.869100	1.025469	-3.290896	3.069535	6.712579	9.012696	3.749537	0.985453	-8.206309	-12.914162	-11.259015	-18.922014	-21.899618	-2.746750	-3.792489	6.515236	-6.800102	6.869100	5.133169	5.700417	5.974924	-2.136889	-14.277846	-15.320527	8.540133	6.586896	5.613896	8.620943	8.809467	8.416319	5.658996	7.260051	5.911087	2.816068
12	2	6.291915	4.075876	6.886631	6.703845	-1.312941	-16.823721	-8.928687	6.990058	6.500517	6.356437	11.805476	11.549640	9.094121	7.489203	4.958912	0.375644	6.825575	6.291915	-2.259468	-11.620027	0.972788	6.245153	9.966513	6.829686	-3.815455	-10.896410	-7.032315	-11.235230	-15.593241	-19.537822	-4.086596	-5.943430	6.168022	-5.191349
13	2	8.441626	-3.194093	-12.729679	-0.940371	8.188090	9.876041	4.409494	-6.680971	-11.796025	-12.377115	-15.124831	-24.203068	-15.526081	-4.474594	-3.658859	6.227700	-3.890081	8.441626	3.022125	4.179439	4.563269	0.443622	-16.598569	-8.516257	3.044457	3.605326	3.775593	6.513828	7.937514	11.057471	6.973225	7.642343	-0.011842	8.125505
15	2	7.083095	4.888253	5.683818	7.106875	-7.782905	-13.333459	-11.399552	6.636104	4.447269	6.817396	11.696849	10.531415	9.791705	8.668928	5.697338	2.473898	5.415629	7.083095	0.401150	-18.191355	1.899961	4.412349	9.361856	6.819206	-4.430767	-7.495218	-9.218530	-15.239914	-20.169196	-23.165860	-3.181804	-7.104300	7.168078	-7.820978
16	2	8.131246	6.160666	7.327775	9.203913	-4.517877	-23.270303	-14.536201	7.612238	6.710116	8.681034	8.952792	10.264636	9.170350	7.961531	5.710143	0.567097	7.656217	8.131246	4.712120	-3.137265	5.575561	3.526745	3.978757	5.392677	0.950108	-9.765640	-9.266637	-5.648711	-16.230482	-16.159401	-4.847510	-5.198616	4.986155	-11.099568
17	2	5.457560	-3.326750	-12.387100	2.700300	6.294262	11.301272	7.452419	-5.480328	-7.839226	-16.780516	-13.444498	-19.497057	-21.900404	-1.551799	-1.037469	5.119712	-6.794313	5.457560	0.803521	3.801144	6.236772	-4.091855	-13.783268	-7.888585	1.090291	6.757769	2.782204	5.071595	10.455483	9.278286	7.369006	8.561000	-0.743789	4.373003
18	2	4.312092	0.944301	-8.462857	1.108970	4.691258	9.572747	5.759124	-3.064464	-10.989932	-3.542169	-12.775502	-23.347257	-15.893557	-4.432760	-5.986258	3.819239	-6.270853	4.312092	7.213459	5.300009	7.145571	-6.557259	-21.044625	-12.714221	6.084351	3.129720	6.899396	11.936988	9.563242	6.916551	3.275435	3.591603	3.476236	2.413739
