1	2	88	8.257033	-0.249439	-9.654803	3.549305	6.390227	10.362427	5.958014	-1.067345	-7.056029	-6.827559	-15.043368	-23.500460	-25.589650	-7.071701	-4.885948	6.727142	-8.923853
1	2	12	8.257033	5.284506	3.639585	7.466468	-2.339332	-19.342815	-6.531491	8.750441	7.800087	6.040164	10.286263	5.876942	8.874480	3.206292	6.346908	2.323016	1.712582
2	2	60	6.503909	5.787087	6.860057	4.193669	3.754475	-14.563068	-9.039853	6.173196	5.086309	4.216165	3.975539	4.986718	6.247645	8.076257	3.765100	3.465714	5.940093
2	2	40	6.503909	-0.766882	-5.028701	1.698243	8.682363	9.150679	5.809209	-2.605970	-10.051781	-11.660504	-19.789808	-28.221673	-22.445687	-4.755743	-7.069016	3.992748	-4.554614
3	3	83	5.220243	3.528559	5.392440	6.292711	-6.140051	-20.060542	-9.047136	5.657388	6.389093	3.857745	7.833017	10.052133	11.220588	7.699771	5.893451	-5.602535	6.642789
3	3	16	5.220243	1.959552	0.001033	4.793962	-0.562566	6.484116	4.944040	2.813256	-5.858445	-7.274371	-9.206188	-16.491936	-10.565776	-4.542894	-4.144970	0.817796	0.332561
3	3	1	5.220243	1.959552	0.001033	4.793962	-0.562566	0.689339	4.938793	2.813256	-1.780099	-6.512514	-6.608838	-15.815137	-9.726586	-4.542894	-4.113894	0.817796	0.332561
4	2	85	8.499515	8.028786	8.260436	6.091163	-4.751975	-29.072558	-13.665427	7.091311	7.996770	7.463197	9.702637	10.527574	11.284024	5.782458	7.449634	3.148825	7.151484
4	2	15	8.499515	3.086801	-9.071425	0.110785	4.364003	8.011078	7.812008	1.194405	-6.646732	-7.488184	-8.431457	-22.708752	-21.991451	-6.193556	-5.266507	6.409604	-8.479469
5	1	100	7.652890	1.374783	-11.312745	-0.815340	7.084555	10.557947	7.383003	-0.763961	-10.115185	-10.305406	-14.586475	-16.013309	-20.015673	-3.478298	-4.830319	8.597447	-7.493024
6	2	82	7.011381	5.760263	-13.725344	1.744299	6.163758	9.658536	4.437491	0.654550	-9.943787	-11.212052	-7.305935	-16.394142	-20.089584	-5.161897	-4.913466	5.006366	-5.945752
6	2	18	7.011381	8.862621	5.160921	7.708277	-0.671991	-21.556500	-12.413096	6.182621	7.557413	5.465528	8.906937	11.645850	11.916217	4.669667	6.945950	2.025668	4.043450
7	3	76	6.306883	8.724387	1.290559	7.125541	-1.340366	-23.077317	-11.839905	6.986494	8.096863	5.597336	9.841551	7.550769	5.446128	6.121913	8.105195	3.619527	6.235242
7	3	15	6.306883	4.112930	-4.579899	1.462518	5.796563	-7.108499	-1.290821	6.694580	4.505454	0.239840	-3.270113	-2.080200	-4.405733	0.286442	3.688279	6.279809	-5.475394
7	3	9	6.306883	4.112577	-4.585748	1.462518	5.796594	0.797162	3.093612	6.692940	0.100283	-5.068808	-8.615191	-16.725679	-17.484266	-3.253004	-3.349239	9.101052	-5.576774
8	2	49	6.988568	6.657803	6.661531	6.986423	-0.956329	-15.547390	-10.069882	7.517656	7.948804	4.561566	11.227568	9.311472	9.147415	6.819230	8.707575	0.194757	8.056072
8	2	51	6.988568	0.373702	-6.534675	2.665861	4.115112	10.303705	8.177847	-3.131779	-4.162613	-11.070250	-12.206690	-16.752638	-18.178781	-2.191413	-3.564286	6.075763	-4.028587
9	1	100	6.102691	-0.109727	-14.057321	0.668925	5.346611	10.617980	5.783819	-2.650894	-10.944153	-8.915466	-14.465330	-20.789043	-18.176095	-5.768140	-3.092989	8.454237	-8.563951
10	2	31	5.368481	1.911382	3.737024	7.500346	-5.216246	-12.386104	-9.511433	1.509377	6.104267	8.743946	5.498002	12.659784	10.102845	7.580129	6.419549	1.432772	2.550775
10	2	69	5.368481	-2.975401	-12.744529	1.641805	6.913023	10.707024	6.763884	-2.917646	-7.914554	-9.189583	-18.568862	-20.727710	-13.770434	-4.102062	1.582640	6.340568	-8.387963
11	2	35	6.869100	1.025469	-3.290896	3.069535	6.712579	9.012696	3.749537	0.985453	-8.206309	-12.914162	-11.259015	-18.922014	-21.899618	-2.746750	-3.792489	6.515236	-6.800102
11	2	65	6.869100	5.133169	5.700417	5.974924	-2.136889	-14.277846	-15.320527	8.540133	6.586896	5.613896	8.620943	8.809467	8.416319	5.658996	7.260051	5.911087	2.816068
12	2	80	6.291915	4.075876	6.886631	6.703845	-1.312941	-16.823721	-8.928687	6.990058	6.500517	6.356437	11.805476	11.549640	9.094121	7.489203	4.958912	0.375644	6.825575
12	2	20	6.291915	-2.259468	-11.620027	0.972788	6.245153	9.966513	6.829686	-3.815455	-10.896410	-7.032315	-11.235230	-15.593241	-19.537822	-4.086596	-5.943430	6.168022	-5.191349
13	2	91	8.441626	-3.194093	-12.729679	-0.940371	8.188090	9.876041	4.409494	-6.680971	-11.796025	-12.377115	-15.124831	-24.203068	-15.526081	-4.474594	-3.658859	6.227700	-3.890081
13	2	9	8.441626	3.022125	4.179439	4.563269	0.443622	-16.598569	-8.516257	3.044457	3.605326	3.775593	6.513828	7.937514	11.057471	6.973225	7.642343	-0.011842	8.125505
14	1	100	5.576558	4.667887	9.430343	6.450627	-3.664901	-22.592904	-14.933580	5.869850	4.430461	5.104155	8.973121	11.921081	8.294811	7.919363	6.165251	-2.766678	7.196257
15	2	17	7.083095	4.888253	5.683818	7.106875	-7.782905	-13.333459	-11.399552	6.636104	4.447269	6.817396	11.696849	10.531415	9.791705	8.668928	5.697338	2.473898	5.415629
15	2	83	7.083095	0.401150	-18.191355	1.899961	4.412349	9.361856	6.819206	-4.430767	-7.495218	-9.218530	-15.239914	-20.169196	-23.165860	-3.181804	-7.104300	7.168078	-7.820978
16	2	91	8.131246	6.160666	7.327775	9.203913	-4.517877	-23.270303	-14.536201	7.612238	6.710116	8.681034	8.952792	10.264636	9.170350	7.961531	5.710143	0.567097	7.656217
16	2	9	8.131246	4.712120	-3.137265	5.575561	3.526745	3.978757	5.392677	0.950108	-9.765640	-9.266637	-5.648711	-16.230482	-16.159401	-4.847510	-5.198616	4.986155	-11.099568
17	2	75	5.457560	-3.326750	-12.387100	2.700300	6.294262	11.301272	7.452419	-5.480328	-7.839226	-16.780516	-13.444498	-19.497057	-21.900404	-1.551799	-1.037469	5.119712	-6.794313
17	2	25	5.457560	0.803521	3.801144	6.236772	-4.091855	-13.783268	-7.888585	1.090291	6.757769	2.782204	5.071595	10.455483	9.278286	7.369006	8.561000	-0.743789	4.373003
18	2	67	4.312092	0.944301	-8.462857	1.108970	4.691258	9.572747	5.759124	-3.064464	-10.989932	-3.542169	-12.775502	-23.347257	-15.893557	-4.432760	-5.986258	3.819239	-6.270853
18	2	33	4.312092	7.213459	5.300009	7.145571	-6.557259	-21.044625	-12.714221	6.084351	3.129720	6.899396	11.936988	9.563242	6.916551	3.275435	3.591603	3.476236	2.413739
19	2	51	7.389360	2.524836	5.097864	7.547871	-5.492875	-20.730327	-11.623330	3.390680	7.180034	8.580433	8.234535	10.810098	9.338188	3.605926	6.223754	4.025587	4.215314
19	2	49	7.389360	-3.050223	-6.793764	1.106751	4.606276	4.963217	6.598917	-3.715786	-2.407270	-8.179741	-11.344341	-16.147824	-24.756579	-8.417136	-3.167036	6.639873	-6.272885
20	2	42	7.484603	8.135393	6.529413	6.297435	0.867397	-15.344009	-9.670422	6.000051	6.195019	6.525605	12.258732	9.834152	11.979557	6.821337	6.599837	0.794632	7.900268
20	2	58	7.484603	2.065472	-7.398570	-0.148669	6.972994	10.273488	5.435863	4.096530	-7.547366	-10.488583	-10.106330	-19.063422	-14.317965	-0.905117	-5.234000	5.050401	-6.663992
21	1	100	8.641109	-0.223425	-12.523231	0.101196	5.357585	9.096197	6.459331	-6.694934	-12.041092	-6.583694	-17.711411	-24.067177	-20.130647	-5.267929	-2.067337	7.211198	-9.025528
22	2	55	5.403711	-0.539128	-10.551698	-1.525097	5.061564	10.291167	6.654225	-4.363953	-11.245911	-8.438673	-16.536977	-22.309225	-22.051260	-4.205301	-3.819832	7.769012	-15.168062
22	2	45	5.403711	5.489006	3.046269	5.074722	-0.970181	-11.800883	-16.287546	5.416878	6.080223	6.256601	8.736329	9.024799	9.385299	6.986010	6.615922	6.125531	1.340356
23	2	85	7.078348	-2.505581	-13.957182	2.367603	6.250295	8.911678	6.546178	-4.955411	-11.505123	-8.766363	-9.515844	-21.013053	-22.655801	-6.635777	-2.690360	4.411394	-2.454808
23	2	15	7.078348	2.737546	2.602165	6.636355	-0.807790	-18.875861	-4.435401	3.964270	4.053942	6.251642	10.061791	9.169608	8.511598	6.074795	6.896619	-1.869370	6.731503
24	1	100	9.606553	4.637013	6.041254	4.983332	0.267510	-22.708169	-17.022857	9.242059	7.015497	6.666684	1.790714	8.584826	11.066114	8.006203	7.258441	-0.064755	4.540972
25	2	22	6.495282	-1.239934	-12.675240	-0.998541	7.701525	8.616755	8.563354	-3.171821	-13.069753	-7.499611	-14.482110	-13.149115	-18.962083	-5.321013	-0.488672	6.606880	-2.629568
25	2	78	6.495282	5.062689	8.415671	5.073004	3.078595	-13.636513	-7.017793	5.411392	5.241244	6.342411	5.669158	12.189471	8.578618	4.918499	9.578485	1.143623	8.935030
26	1	100	4.751344	-3.906669	-8.782119	2.301136	7.360802	10.790154	5.941204	-9.370363	-8.589582	-11.345169	-12.329759	-25.692294	-15.382361	-4.011652	-1.723301	7.180166	-9.493512
27	2	17	6.500165	1.498303	4.362930	7.026087	-7.956608	-17.296061	-10.984645	4.544079	6.603438	7.111709	10.108496	6.202670	8.999607	8.924176	7.922998	0.464026	5.649824
27	2	83	6.500165	-5.140751	-12.862605	0.800875	3.085673	9.539366	6.821079	-0.989003	-4.296880	-9.045979	-16.485942	-18.188166	-24.190345	-4.285608	-3.784570	6.594360	-11.488727
28	2	87	6.918267	-2.640087	-9.072992	-0.081992	8.606359	10.381750	8.772419	-2.800017	-12.732939	-6.652328	-15.736284	-20.763431	-25.413077	-5.963399	-5.467102	4.951290	-1.830043
28	2	13	6.918267	3.140934	3.732294	5.732175	5.536422	-12.412891	-5.957363	3.254387	2.202798	5.432535	3.084071	4.031637	3.824669	6.422835	7.110366	0.526486	7.425469
29	1	100	1.829874	-3.966624	-12.940185	2.868623	6.510105	10.208615	6.040372	-7.196995	-2.073266	-10.013661	-17.507745	-16.656514	-19.215055	-7.846972	-0.150538	7.149055	-6.439614
30	2	57	9.162471	-1.450381	-12.940203	1.509772	2.460009	5.598574	3.766060	-2.417328	-10.225111	-7.470123	-11.968151	-20.345420	-19.464408	-2.896543	-6.539580	6.362881	-9.913315
30	2	43	9.162471	5.144738	4.491871	5.206850	-1.343621	-20.081838	-13.132502	6.447317	4.158776	7.858467	8.153647	9.977666	9.690717	6.498936	6.631767	3.825443	2.841883
31	2	32	7.139577	-1.362666	-7.028931	2.097097	6.789136	9.183293	6.799307	-0.744271	-12.003312	-10.216850	-11.555290	-22.809962	-20.213774	-3.415523	-4.854629	6.019369	-10.491213
31	2	68	7.139577	4.925677	8.632227	5.826623	0.545912	-19.205340	-18.064557	6.719292	5.443736	6.809180	4.845881	8.878564	11.995018	7.959057	6.427570	3.893988	1.657252
32	3	57	8.854018	9.044363	9.093890	7.713614	2.275430	-17.937208	-11.828742	5.989747	6.757633	6.924623	5.922755	3.914624	9.060060	4.095841	7.149755	-1.048974	5.614046
32	3	13	8.854018	7.336740	-1.816010	1.410814	8.593529	9.740424	7.617186	-0.669074	-6.281601	-10.211091	-11.328752	-17.064763	-24.852092	-5.728577	-3.372305	5.145390	1.847028
32	3	30	8.854018	2.839867	-10.348005	1.316195	8.640725	9.761025	7.698203	-2.586490	-6.281602	-10.212920	-15.155942	-17.065244	-24.852092	-5.728577	-3.372305	5.145390	-4.675108
33	2	66	7.834527	-0.382290	-8.734477	-0.022619	6.566380	8.306240	6.802025	-3.971746	-15.434237	-7.317566	-11.044001	-14.947009	-21.959916	-2.330089	-5.895427	7.120016	-9.612852
