5	1	7.652890	1.374783	-11.312745	-0.815340	7.084555	10.557947	7.383003	-0.763961	-10.115185	-10.305406	-14.586475	-16.013309	-20.015673	-3.478298	-4.830319	8.597447	-7.493024
9	1	6.102691	-0.109727	-14.057321	0.668925	5.346611	10.617980	5.783819	-2.650894	-10.944153	-8.915466	-14.465330	-20.789043	-18.176095	-5.768140	-3.092989	8.454237	-8.563951
14	1	5.576558	4.667887	9.430343	6.450627	-3.664901	-22.592904	-14.933580	5.869850	4.430461	5.104155	8.973121	11.921081	8.294811	7.919363	6.165251	-2.766678	7.196257
21	1	8.641109	-0.223425	-12.523231	0.101196	5.357585	9.096197	6.459331	-6.694934	-12.041092	-6.583694	-17.711411	-24.067177	-20.130647	-5.267929	-2.067337	7.211198	-9.025528
24	1	9.606553	4.637013	6.041254	4.983332	0.267510	-22.708169	-17.022857	9.242059	7.015497	6.666684	1.790714	8.584826	11.066114	8.006203	7.258441	-0.064755	4.540972
26	1	4.751344	-3.906669	-8.782119	2.301136	7.360802	10.790154	5.941204	-9.370363	-8.589582	-11.345169	-12.329759	-25.692294	-15.382361	-4.011652	-1.723301	7.180166	-9.493512
29	1	1.829874	-3.966624	-12.940185	2.868623	6.510105	10.208615	6.040372	-7.196995	-2.073266	-10.013661	-17.507745	-16.656514	-19.215055	-7.846972	-0.150538	7.149055	-6.439614
39	1	0.693146	-4.498663	-16.488612	0.425325	6.368951	10.641198	7.403801	-5.103999	-3.330765	-10.428168	-20.327831	-20.405777	-22.483887	-5.474982	-3.514738	6.230977	-4.058053
40	1	7.559932	-0.103864	-8.890274	0.168966	5.898208	12.320816	6.165971	-5.002508	-9.595376	-11.769815	-13.367915	-18.847598	-22.437697	0.328886	-2.103385	4.400745	-3.443301
56	1	5.293014	-7.697781	-16.200166	-0.006059	8.441854	12.792891	6.382449	-5.882092	-0.269712	-10.040693	-11.080618	-20.262951	-25.273696	-4.828519	-0.611312	7.650246	-9.969155
59	1	4.189020	-5.745817	-8.733149	-1.776205	6.804098	6.284793	7.511964	-1.641289	-11.502620	-6.036723	-17.581129	-24.229407	-24.339302	-3.337796	-9.014576	8.668447	-11.907022
66	1	6.155081	-3.777647	-16.626329	0.919421	8.268567	9.220440	8.269862	-5.215551	-10.212420	-8.882704	-15.752527	-25.327083	-22.728870	-8.212194	-6.285485	7.312021	-8.956125
71	1	6.909760	1.195754	-12.778221	1.490901	5.609429	10.190008	7.835441	-5.853000	-8.042168	-12.856819	-15.468199	-23.239583	-27.077124	-5.013169	-2.709149	8.507240	-9.036938
88	1	6.535530	-1.229627	-12.320133	1.860581	5.302946	12.338434	5.440211	-3.912486	-5.525241	-0.460077	-17.216082	-19.534387	-27.801356	-1.254784	-5.708172	8.213761	-11.080492
89	1	5.442466	1.763655	-10.987672	-0.931131	6.934420	9.902641	6.835807	0.327255	-8.665484	-5.178257	-16.127922	-18.101336	-24.219250	-4.080818	-3.415167	6.527649	-10.709023
