11	4	-10.273080	0.237687	2.667303	5.877832	6.205706	7.359455	3.707906	0.561574	-8.495873	1.645294	-18.576658	6.083962	1.884242	4.144528	1.175442	-10.572201	6.879608	10.071035	8.039038	-17.508425	5.913595	5.706280	5.926269	4.787893	8.821557	5.496577	-11.758950	0.237648	2.667303	6.585013	6.352110	7.530608	3.707906	0.561573	-10.133728	6.341356	8.827017	6.682228	1.884240	4.144533	0.856716	8.099909	-10.423284	-18.317804	-5.065624	11.087949	-6.096095	-9.213983	-4.704091	-6.028390	-5.562178	-2.241106	8.784876	6.041918	6.571059	3.473973	2.645002	2.280512	7.760532	6.182691	4.782794	-8.999701	-18.590235	2.511375	7.215292	0.739413	4.179482	-10.572201	6.879608	10.071142	8.039038	-17.508425	5.913595	6.606912	5.926269	5.367040	8.822068	5.496577	8.768509	6.041918	6.571059	3.668604	2.906023	2.281566	7.760532	6.182691	4.781877	-4.299216	8.827017	2.796257	7.215290	0.739413	3.884684	8.099909	-10.423284	-18.317804	-5.065624	11.087949	-6.096095	-8.749104	-4.704091	-5.668319	-5.562651	-2.241106
19	4	7.429562	7.030043	7.882035	2.208037	0.625523	0.719494	6.227667	4.932723	5.760845	-1.278587	9.748699	-2.392755	6.906505	5.389623	6.423725	6.294214	-7.851236	-13.689119	-8.358224	9.053719	-6.089968	-11.300643	-4.381069	-10.872940	-7.502876	-0.896031	7.429572	7.030043	7.882035	2.205624	0.625523	0.719494	6.227667	4.932723	5.760874	-7.395292	-16.375780	-2.393918	6.906505	5.389623	6.423817	-8.824624	7.369699	9.343729	8.922324	-17.814480	7.100767	7.516908	7.166734	1.955047	7.722302	7.258653	-4.614668	0.669287	3.856836	5.332530	0.625528	0.719494	-0.045048	-0.772765	-0.004764	5.798332	9.748699	1.427663	0.291587	7.261773	5.166731	6.294217	-7.851470	-13.689125	-8.361645	9.053719	-6.089988	-12.009463	-4.381086	-10.872961	-7.502892	-0.896037	-3.733007	0.669347	3.856870	2.239724	0.625523	0.719494	-0.045010	-0.772765	-0.001520	-0.318400	-16.375780	-2.377215	0.292220	7.261773	6.422490	-8.824622	7.369699	9.343729	8.922318	-17.814480	7.100767	7.516519	7.166734	1.955047	7.722302	7.258653
22	4	-7.284654	0.852299	2.606921	5.616098	2.880525	1.543576	2.133320	1.881426	1.884619	7.829874	11.338169	7.847399	2.287864	6.776577	3.374660	4.067799	-7.365804	-17.219024	-10.225177	11.032448	-9.090146	-12.056830	-2.094904	-10.188384	-6.265914	-6.426724	5.749486	7.175664	7.629931	1.815465	2.678138	1.369115	6.154235	5.939957	7.599916	0.005729	11.338169	5.927540	7.720523	0.542070	8.103360	4.067799	-7.365804	-17.219024	-10.225177	11.032448	-9.090146	-10.243742	-2.094904	-6.952728	-6.265898	-6.426724	-7.231341	0.852299	2.606921	5.453902	2.880017	1.543105	2.133320	1.881435	1.955310	2.437671	-10.427929	7.791118	2.287864	6.776577	3.827824	-13.336512	6.136340	9.801579	5.643150	-10.557231	7.517980	9.447270	4.829450	0.555999	2.108021	4.926206	5.968277	7.175664	7.629931	0.199863	2.200541	1.058842	6.154503	5.940940	7.662553	-5.388175	-10.441350	5.265549	7.720524	0.542070	8.103495	-13.504077	6.136435	10.595903	5.687691	-10.557266	7.517980	12.450167	4.829456	3.662596	7.017027	5.747484
25	4	-10.049876	0.815110	4.590647	7.115099	8.048449	6.333436	2.245447	-0.829474	-5.763677	3.717022	-14.116110	5.732579	1.024833	0.524204	-0.334499	-11.873384	6.281139	10.442891	6.767904	-14.238404	6.740541	4.653534	7.040662	1.480881	6.764966	7.709810	-10.050344	0.815110	4.590647	7.115389	8.048523	6.333445	2.245447	-0.829474	-5.763918	8.694031	7.717809	5.732688	1.024814	0.524205	-0.334507	1.313408	-8.577854	-19.000809	-9.160590	9.556476	-11.898938	-17.214887	-0.104758	-6.713891	-6.919765	-3.079885	-10.049876	0.815110	4.590648	7.115099	8.048449	6.333436	2.245447	-0.829474	-5.763677	3.717108	-8.385186	5.732579	1.024833	0.524204	-0.334499	-9.501445	5.930231	4.040422	3.631890	-9.226958	6.518098	-1.462650	7.038444	1.480881	3.405437	7.469114	3.894052	6.325910	9.354684	1.701130	3.743059	4.657601	6.804663	5.733045	8.170602	-3.682504	7.717806	-0.192217	5.748106	-4.885047	6.264904	1.313406	-8.575410	-13.956532	-9.154137	9.556426	-11.898938	-9.741421	-0.104754	-0.554768	-2.876401	-3.079302
28	4	-13.688865	0.764247	-2.657906	6.297099	6.919989	4.297040	3.716221	4.242228	-4.467567	6.723047	9.990360	5.388712	-0.006863	5.618631	2.703813	8.454525	-12.438157	-17.554530	-8.590038	9.814377	-7.121330	-19.548350	-3.969742	-8.306890	-10.791844	-2.232059	6.060408	6.726094	3.758630	1.327199	1.240425	-1.372879	6.512070	8.288109	6.597077	-3.424988	9.990360	-0.212234	4.293526	5.616465	4.113761	8.454524	-12.438157	-17.201482	-8.590038	9.814377	-7.121330	-18.204733	-3.969742	-6.797923	-10.791844	-2.232055	6.060412	6.726094	3.758630	-0.086839	0.974413	-1.372902	6.512070	8.288109	6.697973	-9.002979	-15.794396	-0.395608	4.293526	5.616465	4.165167	-5.336902	4.329270	10.335394	5.800204	-13.965817	8.292945	5.140677	6.329865	5.765240	5.690643	8.635484	-10.068806	0.815510	-2.657906	4.763148	6.919645	4.297040	3.716221	4.247052	-2.649107	1.144607	-15.402787	3.615233	-0.006863	5.618631	3.485574	-5.335971	4.329233	10.327523	5.764640	-13.952437	8.292881	4.267691	6.329865	5.608453	5.689726	8.635483
30	4	-6.236970	-2.741968	1.753159	4.775510	6.086370	6.243278	-1.086437	-0.560689	-7.412912	6.777291	9.896815	4.495452	1.052338	7.146380	-3.103268	5.890385	-10.713180	-17.504465	-10.990406	10.261041	-7.426731	-17.606007	0.759668	-9.834377	-11.123293	-1.692386	-4.338980	-2.422399	1.753159	4.212602	5.776079	5.508178	-1.086432	-0.559944	-3.365029	0.556495	-4.500138	3.948163	1.054085	7.146380	-2.168680	-9.966947	2.347091	4.181173	4.104190	-9.896032	7.150698	1.672822	7.225174	1.766675	4.834756	6.914703	3.294446	3.008162	1.757631	-1.387095	2.870308	0.395461	5.500702	5.721615	2.078967	-8.149803	-9.325965	0.127985	6.733981	3.540532	2.580286	-11.506057	2.676522	9.500710	7.995119	-10.166355	7.217355	3.976201	7.348818	2.446111	6.381706	6.914841	3.294432	3.008162	1.757631	-0.531462	2.892753	0.395730	5.500701	5.721614	2.078148	-1.932715	9.896815	0.157586	6.733981	3.540533	2.577999	5.890385	-10.713180	-17.504465	-10.990406	10.261041	-7.426711	-16.142615	0.759668	-9.157432	-11.123293	-1.692386
33	4	-7.807151	2.562612	2.500933	7.596765	6.700481	8.860694	-1.345845	2.861570	-8.191385	5.009053	9.784381	8.022190	0.593460	4.369491	3.432759	4.395959	-6.205193	-17.748668	-7.839826	11.347322	-3.593489	-9.666014	-5.134931	-7.382365	-10.818043	2.854844	3.515453	8.828141	6.775650	1.401831	4.785446	8.652185	2.920088	9.006064	1.149696	-10.742968	-12.203276	1.704623	6.452218	2.788923	6.815006	-6.477687	7.162906	9.126417	6.642434	-9.771426	7.988313	8.990328	3.336723	4.411723	7.210019	9.199596	3.515453	8.828141	6.775650	1.401831	4.785446	8.652185	2.920088	9.006064	1.149696	-5.791332	9.784381	1.704623	6.452218	2.788923	6.815006	4.395959	-6.205193	-17.748668	-7.839826	11.347322	-3.593489	-9.002922	-5.134931	-5.147361	-10.817697	2.854844	-7.681902	2.562612	2.500933	7.137821	6.700447	8.860694	-1.345840	2.861579	-7.718594	0.057559	-12.192309	8.016275	0.593460	4.369491	3.436928	-6.477686	7.162906	9.126370	6.642419	-9.771409	7.988313	8.328841	3.336723	2.183004	7.109911	9.199596
34	4	-0.944744	-1.438941	1.810067	2.509196	2.617219	1.235723	3.339182	3.441380	4.335406	0.003681	-13.003604	1.635087	6.603906	1.649430	6.889405	-12.236358	5.822509	12.718020	7.252947	-13.071661	6.472058	12.192462	3.684510	6.900257	2.192538	5.249130	6.266183	4.851259	5.881998	2.425089	2.614112	1.235714	6.243439	6.073310	7.991287	-2.991550	8.850891	1.630177	6.604858	1.648590	6.889406	6.420254	-9.423229	-12.466675	-8.908532	10.546442	-12.152452	-8.076352	-5.706972	-4.447412	-14.885176	-1.815588	-5.576582	-1.441642	1.808798	7.069555	5.662140	6.547769	0.025194	1.163372	-6.927247	4.683194	8.852164	6.380269	0.461637	7.394737	1.480413	6.420254	-9.423228	-12.466485	-8.908532	10.546442	-12.152452	-10.917156	-5.706972	-8.172022	-14.895136	-1.815588	6.266183	4.851259	5.881998	2.425067	2.614111	1.235714	6.243439	6.073310	7.991287	-7.669227	-13.003604	1.630176	6.604858	1.648590	6.889406	-12.236358	5.822509	12.718020	7.252947	-13.071661	6.472058	12.192462	3.684510	6.900258	2.192538	5.249130
36	4	-5.024926	1.300986	1.038896	1.873021	4.170761	2.720548	-1.784701	3.183808	-1.438775	1.738807	-4.812658	0.747870	0.663431	7.089222	8.366870	-12.336053	6.025361	9.118912	6.655324	-15.512842	6.616792	8.822225	5.775141	4.404527	2.120253	3.171464	-11.517664	1.293624	1.036899	4.633608	5.574934	5.624902	-1.784701	3.183808	-6.348268	7.340301	9.624376	1.416537	0.030273	7.089222	7.541542	5.853011	-10.784294	-4.354543	-10.651984	10.266774	-9.444085	-11.845532	-4.388050	-6.458305	-12.174607	-5.873661	7.541699	7.048088	7.510501	-2.009984	4.170636	2.720531	4.662713	7.439130	3.515757	-6.267234	-4.812663	0.747810	6.188300	2.431647	8.562314	-12.336053	6.025361	9.118940	6.655324	-15.512842	6.616792	8.822879	5.775141	4.412909	2.120254	3.171464	7.541699	7.048088	7.510501	-2.008940	4.170636	2.720531	4.662713	7.439130	3.515747	-0.666201	9.624373	0.747810	6.188300	2.431647	8.562303	5.853011	-10.768958	-4.314625	-10.651984	10.266774	-9.444085	-11.836548	-4.388050	-6.399917	-12.174505	-5.873661
46	4	-2.642491	0.670179	-0.348154	-0.702759	0.165067	1.539287	-0.529717	1.382303	0.546308	-1.745350	-17.444681	0.786688	4.681965	6.292194	7.068976	-7.237704	5.861606	9.213947	7.171568	-11.958869	7.346870	10.269230	4.605328	4.882666	7.066102	6.566171	9.627498	5.491058	5.037909	-3.662672	0.165067	1.539287	4.684524	7.226918	6.328663	-14.010869	-17.444681	0.786688	8.672644	3.898840	7.068976	-7.237704	5.861606	9.213947	7.171568	-11.958869	7.346870	10.269230	4.605328	4.882666	7.066102	6.566171	9.627498	5.491058	5.037909	-3.662490	0.165067	1.539287	4.684524	7.226918	6.328663	-9.693253	9.565276	0.786688	8.672644	3.898840	7.068976	7.679471	-7.681767	-18.223024	-9.861929	7.201213	-8.235973	-4.957485	-6.598191	-5.657995	-9.951021	-2.230602	-2.643167	0.670179	-0.348154	2.104187	0.165639	1.539486	-0.529723	1.382302	0.546221	2.572435	9.565276	0.790251	4.681965	6.292194	7.068975	7.679471	-7.681767	-18.223024	-9.861929	7.201213	-8.235973	-4.957485	-6.598191	-5.657995	-9.951021	-2.230602
