Network,G11,G12,G21,G22,Gs,GW
Comb_AS_C_E_M_PS,0.0574063615680341,0.0047302793990036665,0.0047302793990036665,0.01171875,0.21700757747994948,0.21752624050964997
Comb_AS_C_E_M_RS,0.0804892664771376,0.0066071428571428574,0.0066071428571428574,0.01171875,0.41119429016515086,0.4127545548947098
Comb_AS_C_E_PS_RS,0.04180801560377087,0.001089583221024924,0.001089583221024924,0.02128099173553719,0.17121023138739744,0.17638405355753783
Comb_AS_C_M_PS_RS,0.05293325327730041,0.008379954102060685,0.008379954102060685,0.0078125,0.24470964600508097,0.24648808096535307
Comb_AS_CC_C_E_M,0.19807956104252417,0.0024755077658303467,0.0024755077658303467,0.09961289844166146,0.4008056910625768,0.42563710405713406
Comb_AS_CC_C_E_PS,0.04831327249746955,0.005635960273035673,0.005635960273035673,0.010380622837370242,0.16058313487536038,0.16181173369161048
Comb_AS_CC_C_E_RS,0.020216049382716025,8.690181867542532e-4,8.690181867542532e-4,0.20185185185185178,0.2166901910159384,0.2970062712484455
Comb_AS_CC_C_M_PS,0.060942097389534836,0.003958451478472958,0.003958451478472958,0.01849830720166114,0.08123861576631058,0.0858514973969692
Comb_AS_CC_C_M_RS,0.12259678266856847,0.0030523627075351215,0.0030523627075351215,0.01,0.2553567181392477,0.2569431560331398
Comb_AS_CC_C_PS_RS,0.03479718556789698,0.009448395781429269,0.009448395781429269,0.006920415224913495,0.2057516329403506,0.2051047852934985
Comb_AS_CC_E_M_PS,0.16507936507936508,0.005865999467853455,0.005865999467853455,0.04890498569943692,0.2205399152826383,0.26365741159607636
Comb_AS_CC_E_M_RS,0.11968,0.0027321178120617144,0.0027321178120617144,0.11323463687299308,0.29586498410422596,0.334042276385648
Comb_AS_CC_E_PS_RS,0.11349999999999995,0.008980143593910408,0.008980143593910408,0.018651185564046525,0.17316298834475352,0.1992477149124222
Comb_AS_CC_M_PS_RS,0.03828125,0.010852887046236322,0.010852887046236322,0.018942521515327375,0.19028617222392596,0.199457972005674
Comb_AS_E_M_PS_RS,0.15041322314049585,0.008057202483948532,0.008057202483948532,0.02598722327691266,0.24230362895150892,0.2809339795313409
Comb_C_E_M_PS_RS,0.16558711308149918,0.011999999999999999,0.011999999999999999,0.016888888888888894,0.36284673506879495,0.3638769703111372
Comb_CC_C_E_M_PS,0.14882386738085462,0.0026619951364298356,0.0026619951364298356,0.00510204081632653,0.3055188770800303,0.30352178193207047
Comb_CC_C_E_M_RS,0.17990510157112896,0.0074441687344913125,0.0074441687344913125,0.011834319526627219,0.4339527261797146,0.4361610037965462
Comb_CC_C_E_PS_RS,0.07873666542223356,0.011538461538461537,0.011538461538461537,0.017857142857142863,0.23191065788583318,0.23400703097996886
Comb_CC_C_M_PS_RS,0.13538490824015892,0.009259259259259257,0.009259259259259257,0.00902777777777778,0.26693825638414004,0.2683070010674115
Comb_CC_E_M_PS_RS,0.49166666666666653,0.005476190476190475,0.005476190476190475,0.013478536142916865,0.24523579861340203,0.41549316352662735
